object_id,ein,BndRfrncCd,PrcdrsCrrctvActnInd
201931019349300333,141338498,A,true
201931019349300218,910236600,A,1
201940089349301129,596046500,A,true
201900999349300535,370661494,A,1
201900999349300535,370661494,B,1
201900999349300535,370661494,C,1
201900999349300535,370661494,D,1
201940569349300119,470376524,A,1
201930749349300603,840402707,A,true
201930459349300823,222586208,R000010,A,1
201930459349300823,222586208,R000010,B,1
201930459349300823,222586208,R000010,C,1
201930459349300823,222586208,R000010,D,1
201900159349300855,362167773,A,0
201900159349300855,362167773,B,0
201900159349300855,362167773,C,0
201930659349300838,520591694,A,1
201900219349300015,592961536,A,1
201940359349301054,231352664,A,1
201940359349301054,231352664,B,1
201900799349300340,540505922,A,1
201900799349300340,540505922,B,1
201900799349300340,540505922,C,1
201900809349300240,030482006,RetDoc1053100001,A,0
201900809349300240,030482006,RetDoc1053100001,B,0
201900809349300240,030482006,RetDoc1053100001,C,0
201900809349300240,030482006,RetDoc1053100001,D,0
201930869349300133,930386858,A,1
201910919349300316,231352621,R000010,A,1
201910919349300316,231352621,R000010,B,1
201910919349300316,231352621,R000010,C,1
201910919349300316,231352621,R000010,D,1
201910889349300616,042111203,A,1
201910889349300616,042111203,B,1
201910889349300616,042111203,C,1
201930949349300013,221487354,A,true
201930949349300013,221487354,B,true
201930949349300013,221487354,C,true
201930949349300013,221487354,D,true
201920119349300102,131916574,A,1
201920919349300307,340714687,A,true
201920919349300307,340714687,B,true
201930659349300333,350868096,A,true
201900509349300600,750827421,A,true
201900509349300600,750827421,B,true
201920159349300102,620535755,A,1
201920159349300102,620535755,B,1
201940459349300519,340868798,A,1
201930959349300208,560529953,A,0
201930959349300628,042103585,RetDoc1053100001,A,1
201930959349300628,042103585,RetDoc1053100001,B,1
201930959349300628,042103585,RetDoc1053100001,C,1
201930959349300628,042103585,RetDoc1053100001,D,1
201930979349300603,620485733,A,1
201930979349300603,620485733,B,1
201930979349300603,620485733,C,1
201900079349300305,350868101,A,false
201910919349300006,540505977,A,true
201910919349300006,540505977,B,true
201910919349300006,540505977,C,true
201910919349300006,540505977,D,true
201900919349300850,160755807,A,0
201900919349300850,160755807,B,0
201900849349300635,344431169,IRS990ScheduleK1,A,true
201900849349300635,344431169,IRS990ScheduleK1,B,true
201900849349300635,344431169,IRS990ScheduleK1,C,true
201900849349300635,344431169,IRS990ScheduleK1,D,true
201910329349301231,751081109,A,true
201910329349301231,751081109,B,true
201930299349300218,042108346,A,0
201940999349300919,350868086,A,true
201833179349306403,420681049,RetDoc1053100001,A,1
201833179349306403,420681049,RetDoc1053100001,B,1
201833179349306403,420681049,RetDoc1053100001,C,1
201833179349306403,420681049,RetDoc1053100001,D,1
201921009349300802,951684793,A,1
201940999349300529,560529999,A,0
201940999349300529,560529999,B,0
201940999349300529,560529999,C,0
201900929349300835,250965430,A,1
201900929349300835,250965430,B,1
201900929349300865,240795495,RetDoc1053100001,A,1
201900929349300865,240795495,RetDoc1053100001,B,1
201900929349300865,240795495,RetDoc1053100001,C,1
201900929349300865,240795495,RetDoc1053100001,D,1
201900929349300910,390808497,A,1
201900929349300910,390808497,B,1
201900929349300910,390808497,C,1
201900919349300420,410693979,A,1
201900919349300420,410693979,B,1
201900919349300420,410693979,C,1
201920849349300032,390806154,A,1
201920849349300032,390806154,B,1
201930859349300928,131740445,A,false
201930859349300928,131740445,B,false
201910889349300401,231352641,IRS990ScheduleK,A,true
201910889349300401,231352641,IRS990ScheduleK,B,true
201901019349300135,620465076,A,false
201901019349300135,620465076,B,false
201910959349301001,560530242,A,1
201910959349301001,560530242,B,1
201920949349300927,520591661,A,true
201920949349300927,520591661,B,true
201920949349300927,520591661,C,true
201900709349300125,340714629,A,false
201900779349300880,166031585,A,1
201920439349300852,112157078,A,0
201900109349301920,420681046,A,1
201900109349301920,420681046,B,1
201900109349301920,420681046,C,1
201901019349300960,410693968,A,0
201901019349300960,410693968,B,0
201910529349300116,231352692,A,1
201910929349300631,951643992,A,true
201910929349300631,951643992,B,true
201910929349300631,951643992,C,true
201920859349300327,560556753,A,1
201920859349300327,560556753,B,1
201900989349300705,420680408,A,1
201900849349301450,160743942,A,0
201900849349301450,160743942,B,0
201940459349300149,620488046,A,1
201930929349300113,381308480,A,1
201920529349300407,580568687,A,0
201901009349301060,911838771,A,0
201901009349301060,911838771,B,0
201940949349300339,042271070,A,1
201910599349300706,344427516,A,true
201930869349300018,581216007,A,false
201920589349300232,250965212,A,1
201920589349300232,250965212,B,1
201930369349300113,131628149,R000010,A,0
201930369349300113,131628149,R000010,B,0
201930369349300113,131628149,R000010,C,0
201930369349300113,131628149,R000010,D,0
201940949349300419,570324906,A,1
201940949349300419,570324906,B,1
201930949349300733,570474291,A,1
201930949349300733,570474291,B,1
201930949349300733,570474291,C,1
201920639349300507,480777079,IRS990ScheduleK,A,true
201920639349300507,480777079,IRS990ScheduleK,B,true
201920639349300507,480777079,IRS990ScheduleK,C,true
201920639349300507,480777079,IRS990ScheduleK,D,true
201920379349300432,420680460,A,1
201920379349300432,420680460,B,1
201920379349300432,420680460,C,1
201940719349300979,952962604,A,1
201940719349300979,952962604,B,1
201940719349300979,952962604,C,1
201910729349300631,530196549,A,true
201910729349300631,530196549,B,true
201910729349300631,530196549,C,true
201910729349300631,530196549,D,true
201911019349300111,411607453,A,1
201911019349300111,411607453,B,1
201911019349300236,941156628,A,true
201911019349300236,941156628,B,true
201911019349300441,150545841,A,true
201911019349300441,150545841,B,true
201911019349300441,150545841,C,true
201911019349300441,150545841,D,true
201911019349300506,042620216,A,1
201930809349300813,135562314,A,true
201930809349300813,135562314,B,true
201833189349305598,141423161,A,1
201833189349305598,141423161,B,1
201930739349300018,530196583,R000010,A,1
201930739349300018,530196583,R000010,B,1
201930739349300018,530196583,R000010,C,1
201930739349300018,530196583,R000010,D,1
201931009349300243,750926755,A,false
201910919349300611,340714818,A,1
201930099349300013,590624401,A,1
201930099349300013,590624401,B,1
201900649349300920,420680372,A,1
201900929349300215,420680389,A,1
201803199349310525,810231774,A,0
201803199349310525,810231774,B,0
201803199349310525,810231774,C,0
201911009349300211,111630830,IRS990ScheduleK,A,true
201911009349300211,111630830,IRS990ScheduleK,B,true
201911009349300211,111630830,IRS990ScheduleK,C,true
201911009349300211,111630830,IRS990ScheduleK,D,true
201940939349300234,590859121,A,true
201910509349301201,341695897,A,true
201910509349301201,341695897,B,true
201940779349300324,231352668,A,true
201940779349300324,231352668,B,true
201940779349300324,231352668,C,true
201930919349300543,362166964,A,true
201921009349300427,240795506,A,1
201921009349300427,240795506,B,1
201921009349300427,240795506,C,1
201921009349300427,240795506,D,1
201910239349300021,271870108,A,0
201910239349300021,271870108,B,0
201920859349301112,250965557,RetDoc1053100001,A,0
201920859349301112,250965557,RetDoc1053100001,B,0
201920859349301112,250965557,RetDoc1053100001,C,0
201920859349301112,250965557,RetDoc1053100001,D,0
201940429349300884,161476258,A,1
201910519349301206,231352620,R000010,A,1
201910519349301206,231352620,R000010,B,1
201910519349301206,231352620,R000010,C,1
201910519349301206,231352620,R000010,D,1
201940429349301179,420686467,A,1
201940619349300704,150533545,A,false
201940619349300704,150533545,B,false
201940819349301049,630400608,A,true
201940819349301049,630400608,B,true
201940819349301049,630400608,C,true
201940829349300304,820200907,A,1
201931059349300828,042103545,A,true
201931059349300828,042103545,B,true
201931059349300828,042103545,C,true
201931059349300828,042103545,D,true
201900499349300020,440545286,A,0
201900499349300020,440545286,B,0
201900499349300015,610444650,IRS990ScheduleK1,A,true
201900499349300015,610444650,IRS990ScheduleK1,B,true
201900499349300015,610444650,IRS990ScheduleK1,C,true
201900499349300015,610444650,IRS990ScheduleK1,D,true
201920399349301112,530199507,A,true
201940919349300214,160743996,A,0
201940929349300439,350867954,A,1
201940929349300439,350867954,B,1
201940929349300439,350867954,C,1
201940929349300439,350867954,D,1
201930989349301213,930309970,A,1
201930989349301213,930309970,B,1
201900959349300810,630288811,A,true
201900529349300605,042002060,A,1
201900529349300605,042002060,B,1
201900379349301120,390821861,A,1
201900379349301120,390821861,B,1
201930649349300708,420707114,A,1
201930649349300708,420707114,B,1
201940949349300609,741159753,A,true
201940949349300609,741159753,B,true
201940949349300609,741159753,C,true
201900539349300615,941585735,A,1
201910529349300536,431007642,A,0
201940569349300114,042104778,A,0
201940569349300924,350868095,A,false
201940569349300924,350868095,B,false
201940569349301059,610470593,A,0
201940569349301059,610470593,B,0
201940569349301059,610470593,C,0
201940569349301059,610470593,D,0
201930439349300448,381369604,A,1
201930439349300448,381369604,B,1
201930439349300448,381369604,C,1
201900959349301150,350868158,A,true
201900959349301150,350868158,B,true
201900959349301150,350868158,C,true
201900959349301100,580685908,A,0
201920899349300207,340714681,A,true
201920899349300207,340714681,B,true
201940999349300414,362169157,A,false
201940999349300414,362169157,B,false
201940999349300414,362169157,C,false
201931059349301333,630288841,A,0
201931059349301333,630288841,B,0
201940929349300744,410695524,A,1
201940929349300744,410695524,B,1
201910949349301021,410695527,A,1
201910949349301021,410695527,B,1
201910949349301021,410695527,C,1
201910949349301021,410695527,D,1
201940609349300904,430653369,A,true
201940609349300904,430653369,B,true
201940609349300904,430653369,C,true
201940609349300904,430653369,D,true
201940609349301024,390477970,A,1
201941899349300534,741554976,A,false
201911629349300016,370662594,A,true
