object_id,ein,SttsWhrGmngCndctdCd
201540239349300839,111733439,NY
201520379349301252,381374230,MI
201520759349300442,941156599,CA
201500729349300130,390806196,WI
201540759349300624,131967322,NY
201500839349300720,351087173,IN
201521109349300332,340714687,OH
201511059349301106,420680412,IA
201531039349301203,610448560,KY
201511049349301106,750827465,TX
201521259349301717,350868152,IN
201541249349300544,042103544,MA
201531259349301468,250965557,PA
201501349349304480,221529785,NJ
201521349349303007,390806261,WI
201541339349303674,362167725,IL
201541329349304059,381366958,MI
201541349349306829,720423889,LA
201501359349306050,530196603,DC
201530499349300013,350868074,IN
201531049349300608,610482955,KY
201511349349300721,350868188,IN
201521329349302162,390826049,WI
201501359349305610,381359081,MI
201501269349301815,430654876,MO
201501359349302600,030179403,VT
201500919349300135,370661494,IL
201531189349300148,951860996,CA
201511329349301451,251024358,PA
201521349349301402,111797182,NY
201531359349304633,141442493,NY
