object_id,ein,TxImpsdAmt,TxRmbrsdAmt,TtlBlncDAmt
201923169349301547,340714585,-,-,7444253
201903199349311455,111635088,-,-,-
201933199349313523,953797687,-,-,-
201912889349300246,344429091,-,-,-
201912849349301461,480543782,-,-,-
201913439349300841,620548913,-,-,-
201913519349300816,750827421,-,-,-
201903089349301190,350895832,-,-,-
202001929349301615,231365353,-,-,-
201913169349306776,550643304,-,-,-
202041979349305184,042103542,-,-,833572
202041979349307414,951664112,-,-,1125978
202021929349302767,820200907,-,-,-
201912849349300401,381443369,-,-,-
202001929349302775,521272129,-,-,-
202041069349300824,160743040,-,-,-
202020699349301007,042111203,-,-,-
202020319349300222,620485733,-,-,-
201943189349303504,131624135,-,-,-
201933269349301003,930386890,-,-,-
201923179349308327,742358522,-,-,-
202011689349300911,630312914,-,-,-
201933369349300203,160909446,-,-,-
202010569349300701,560657294,-,-,-
202010079349300536,362216176,-,-,-
202000379349300105,131624158,-,-,3605887
201923199349304272,581494136,-,-,-
201933199349317668,521241927,-,-,-
202041419349301659,951699394,-,-,753076
202031609349300923,431560263,-,-,-
201943199349319864,942933165,-,-,-
202021489349300987,420703280,-,-,-
202031369349303828,020274509,-,-,-
202041359349301949,591023117,-,-,-
201933129349301853,042104451,-,-,-
202041979349301854,210634501,-,-,5635726
202041979349307089,370661219,-,-,-
202010499349300046,381359083,-,-,-
201913199349305111,410956618,-,-,-
202021409349300347,362181973,-,-,-
202030479349300708,381284777,-,-,67927
202030159349300018,420698196,-,-,-
201923199349305957,231352008,-,-,-
202021959349303612,050258810,-,-,-
202001919349303150,951644048,-,-,-
201943199349301934,210634484,-,-,55293
202001949349300600,610444763,-,-,546565
202020289349301607,596046500,-,-,-
202041339349302829,310538525,-,-,-
202020599349301402,956001907,-,-,90000
202041979349301799,510067938,-,-,-
202010419349300701,231416559,-,-,237980
202001429349300900,440545813,-,-,-
202040599349301229,231501197,-,-,-
202031689349300528,362593545,-,-,-
202000769349300545,350867954,-,-,-
202030429349300313,741400699,-,-,-
201923189349312322,430654874,-,-,54669
202022309349302177,540506332,-,-,-
201922849349301677,341037893,-,-,-
202000709349300415,620484185,-,-,-
201903169349301975,240795439,-,-,-
202030489349300103,620535755,-,-,-
202001259349300000,953127273,-,-,-
201903189349302870,454620000,-,-,-
202000339349300250,237032625,-,-,133431
202041609349301094,590949880,-,-,-
202011269349302156,480547702,-,-,-
202021619349300027,710240352,-,-,-
202010989349300831,930386858,-,-,-
202011369349303671,020222182,-,-,-
202011369349303706,141338580,-,-,-
202001259349300305,256068246,-,-,-
202040849349300734,410695524,-,-,-
202021899349300727,042103558,-,-,-
202021959349301617,560529999,-,-,-
202010209349300716,750851900,-,-,-
202001969349303715,440556862,-,-,-
202030719349301318,830340684,-,-,50000
201903189349310175,420680452,-,-,-
202020459349300812,160871487,-,-,543270
202031679349300623,470378777,-,-,113281
202031059349300313,590637903,-,-,-
201933119349302203,340753531,-,-,-
202041339349302344,250969449,-,-,-
202011839349300836,520591667,-,-,-
202000239349301015,042767880,-,-,6797284
202001959349303015,540793767,-,-,-
202021479349300867,460224604,-,-,-
202041009349300524,231352652,-,-,-
201913199349306876,581249683,-,-,-
202012539349300006,581494136,-,-,-
201913189349309996,362739299,-,-,-
202000429349300540,310747997,-,-,-
202031329349300908,231352683,-,-,683428
202011069349301111,231352615,-,-,-
202001289349301475,350869045,-,-,-
202031979349303368,570314404,-,-,-
202041889349301204,251801532,-,-,-
202021909349301702,133716314,-,-,-
202031679349300403,941279798,-,-,-
202001269349302150,953909672,-,-,-
202020999349300017,410693979,-,-,-
201913189349310451,420504780,-,-,-
202011149349300811,042108376,-,-,-
202041009349300444,166031585,-,-,-
202041979349304529,042152671,-,-,139100
202041979349301344,135604699,-,-,-
202000719349301410,730739626,-,-,-
202000239349300700,943204136,-,-,-
202012249349301701,720535375,-,-,-
202041329349301204,470376583,-,-,-
202021329349300207,250965591,-,-,-
202001959349302810,231352187,-,-,10679
202001419349301100,626001104,-,-,-
202031369349303108,954625327,-,-,2000000
202031339349301533,231353385,-,-,-
202030369349301408,381627600,-,-,157042
201913189349301541,591092732,-,-,-
202020519349301127,231409675,-,-,-
202010509349301301,910564993,-,-,-
202010509349301416,951744369,-,-,-
202012279349300726,010238552,-,-,-
202012279349300836,060646844,-,-,-
201913179349303056,150532245,-,-,-
202020839349300902,160743942,-,-,-
202031979349305813,591146751,-,-,-
201913139349200411,650473019,-,-,70000
202021269349301812,362167725,-,-,-
201923189349304737,251065148,-,-,-
202041979349304134,570314395,-,-,-
201913189349303731,550357045,-,-,-
202030729349300008,660537875,-,-,-
202020459349300222,430652667,-,-,-
202012469349300421,540646523,-,-,-
202040639349300814,746066216,-,-,-
201923199349312582,540568200,-,-,-
202001289349302225,526072925,-,-,-
202032239349301418,330499514,-,-,371833
201943179349308369,237034324,-,-,-
202040589349301414,030482006,-,-,-
202010979349300716,362191252,-,-,-
202030979349301043,221494428,-,-,-
201933189349310983,741180155,-,-,-
202040739349300039,236002304,-,-,246662
202010949349300536,370864020,-,-,-
202032469349301663,451171945,-,-,-
202031209349300938,221500645,-,-,-
202041679349300814,660201206,-,-,-
202001009349300800,160746864,-,-,-
202020809349300922,350868086,-,-,-
202031009349301553,560529940,-,-,-
202020919349300502,231352641,-,-,5969
202011299349300336,741109620,-,-,10000
202040919349300834,590624401,-,-,-
201933179349302913,141338428,-,-,-
202031339349301118,341037893,-,-,-
202031339349301123,590624364,-,-,-
202000779349301200,042005934,-,-,-
202040909349300604,381358014,-,-,-
202041819349300909,156019050,-,-,-
202021359349302367,231352661,-,-,3667
201923169349300502,550526150,-,-,-
202021359349302327,050306206,-,-,-
202001339349301990,952462737,-,-,470139
202031069349301118,362515868,-,-,-
202022259349300517,430653493,-,-,-
202011369349302556,231365971,-,-,-
202011369349302606,542110067,-,-,-
202041979349303804,610444671,-,-,-
202041979349303834,060646936,-,-,-
202011209349301021,570314408,-,-,-
202031909349302358,620516509,-,-,-
202040569349300809,410693960,-,-,-
201943199349321899,362169147,-,-,-
202011369349304466,135562167,-,-,-
202041349349302444,042300472,-,-,-
202001189349300445,956002998,-,-,-
202011069349300021,150545841,-,-,-
201903159349303420,540715569,-,-,-
202022269349301522,042790311,-,-,-
202041929349302624,630417508,-,-,-
201903199349319925,363196629,-,-,-
202030839349300558,530199507,-,-,-
202010869349300601,580593414,-,-,-
202011059349301911,750926755,-,-,-
202041349349302239,350868149,-,-,-
202021339349301017,041958460,-,-,-
202030839349300418,420707120,-,-,-
202041069349300704,900394713,-,-,79706
202031339349302598,430746185,-,-,-
202000429349301530,580685908,-,-,-
202021369349305222,540505990,-,-,-
202041359349303369,610444780,-,-,-
202021359349302342,620476301,-,-,-
201931349349303158,042104847,-,-,336657
202011909349301571,730774245,-,-,-
202021969349303432,430743910,-,-,96270
202031269349301148,350868125,-,-,-
202020099349300302,640303069,-,-,97000
202001329349302080,910564961,-,-,-
202041749349300714,560529990,-,-,-
202021929349301527,010211781,-,-,-
202011199349301501,420680344,-,-,-
202001919349301975,560532314,-,-,-
202022389349300047,410682405,-,-,-
202031509349301318,250965600,-,-,-
202030659349300718,941279803,-,-,104044
202001919349300145,020222111,-,-,-
201943189349306189,160743032,-,-,-
202041689349300144,231653718,-,-,532
201941339349302304,231365971,-,-,-
202011299349300021,381367080,-,-,-
202010249349300116,470376524,-,-,-
202040509349301019,426081293,-,-,-
202041349349301004,231355135,-,-,-
202010459349301421,440589787,-,-,-
202041329349300514,250965557,-,-,-
201913199349318161,111661359,-,-,-
202001479349300875,381366958,-,-,-
202031059349301248,141338498,-,-,-
202040979349300804,250965376,-,-,-
202021359349303002,420680372,-,-,-
202040769349300144,941712371,-,-,-
202011369349303436,810378943,-,-,-
202011399349301151,010271210,-,-,-
201923459349300107,350715530,-,-,-
202001899349300710,150533561,-,-,-
202000769349301805,741277664,-,-,-
202022219349300507,010211534,-,-,-
202000359349301400,750808791,-,-,-
202001539349301415,341226547,-,-,-
202000079349300235,350868101,-,-,-
202000649349301125,231526668,-,-,-
202030629349301653,381393841,-,-,171062
201933179349302743,752684723,-,-,1834118
202021969349306157,950948050,-,-,-
202031979349305593,440545286,-,-,-
202020349349300827,510107088,-,-,330000
202002309349302210,721025017,-,-,-
202031009349300143,050277222,-,-,-
202041339349302554,620528217,-,-,-
202001919349301885,314379507,-,-,-
202041599349300004,951644026,-,-,-
202022479349300322,350895832,-,-,34165
