object_id,ein,OfAssstncTxt,RgnTxt,RcpntCnt,MnnrOfCshDsbrsmntTxt,NnCshAssstncAmt,DscrptnOfNnCshAsstTxt,VltnMthdUsdDsc
201512879349301636,410694721,TUITION ASSISTANCE AND SCHOLARSHIPS,EAST ASIA AND THE PACIFIC,17,304651,CREDIT STUDENT ACCOUNT,0,N/A,N/A
201512879349301636,410694721,TUITION ASSISTANCE AND SCHOLARSHIPS,EUROPE (INCLUDING ICELAND & GREENLAND),26,307435,CREDIT STUDENT ACCOUNT,0,N/A,N/A
201512879349301636,410694721,TUITION ASSISTANCE AND SCHOLARSHIPS,MIDDLE EAST AND NORTH AFRICA,3,94229,CREDIT STUDENT ACCOUNT,0,N/A,N/A
201512879349301636,410694721,TUITION ASSISTANCE AND SCHOLARSHIPS,NORTH AMERICA,2,27000,CREDIT STUDENT ACCOUNT,0,N/A,N/A
201512879349301636,410694721,TUITION ASSISTANCE AND SCHOLARSHIPS,SOUTH AMERICA,1,8441,CREDIT STUDENT ACCOUNT,0,N/A,N/A
201512879349301636,410694721,TUITION ASSISTANCE AND SCHOLARSHIPS,SOUTH ASIA,2,43969,CREDIT STUDENT ACCOUNT,0,N/A,N/A
201512879349301636,410694721,TUITION ASSISTANCE AND SCHOLARSHIPS,SUB-SAHARAN AFRICA,8,172345,CREDIT STUDENT ACCOUNT,0,N/A,N/A
201542789349300519,620535755,CASH SCHOLARSHIPS FOR U.S. STUDENTS STUDYING ABROAD,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS,",1,6000,SCHOLARSHIPS ARE CREDITED DIRECTLY TO THE STUDENT'S ACCOUNT,0,N/A,N/A
201542789349300519,620535755,CASH SCHOLARSHIPS FOR U.S. STUDENTS STUDYING ABROAD,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIU",3,23362,SCHOLARSHIPS ARE CREDITED DIRECTLY TO THE STUDENT'S ACCOUNT,0,N/A,N/A
201503209349316020,116039909,GRANTS,MIDDLE EAST AND NORTH AFRICA,20,458408,WIRE/CHECK
