object_id,ein,SttsWhrGmngCndctdCd
201733149349300543,390978445,WI
201713499349300956,596046500,FL
201830169349300628,560532303,NC
201800859349300215,941156599,CA
201800459349301225,250965576,PA
201840959349300224,370661494,IL
201831029349300243,410695524,MN
201810579349301301,350868074,IN
201800749349300505,340714687,OH
201841359349304194,231352665,PA
201841359349301739,610444780,KY
201801319349303570,381624684,MI
201830959349300418,390806297,WI
201801319349303455,111797182,NY
201841359349301234,720423889,LA
201801349349305610,050258810,RI
201821349349305072,460224600,SD
201801349349300925,350868188,IN
201831169349300428,237275328,WA
201801349349308040,381366958,MI
201831309349303963,141442493,NY
201841289349301344,362167725,IL
201811939349300106,111630906,NY
201831359349305693,941156617,CA
201811319349304331,810235407,MT
201831319349302248,430654876,MO
201801359349309370,381359081,MI
201811359349313176,951860996,CA
201831319349304603,030179403,VT
201831359349305763,530196603,DC
201831359349305763,530196603,VA
201801359349311505,381374230,MI
201811349349301701,640303084,MS
201811319349302211,060662150,CT
201811349349309436,391024723,WI
201841349349304989,820200906,ID
201831359349306798,310537516,OH
201813169349303331,390978445,WI
