object_id,ein,SttsWhrGmngCndctdCd
202001019349300300,430654876,MO
202121339349303267,381624684,MI
202031819349301673,460224600,SD
202031969349302758,381359081,MI
202131329349304783,361408475,IL
202041959349302509,810235407,MT
202041959349302509,810235407,MS
202031979349302223,720423889,LA
202021969349302142,231352665,PA
202001979349300735,530196603,DC
202001979349300735,530196603,VA
202021969349301312,042121659,MA
202001979349303330,362174823,IL
202031069349300113,350868074,IN
202041919349302074,111630906,NY
202121349349305997,060662150,CT
202023179349309257,381357020,MI
202001069349301110,420680412,IA
202130979349301333,410695524,MN
202013539349301406,596046500,FL
202101379349307790,381359081,MI
202001369349301870,141442493,NY
202120619349300522,160743150,NY
202111349349300811,951860996,CA
202001789349301610,050258810,RI
202011509349300121,382015048,MI
202031569349300418,381624684,MI
202011429349301701,391024723,WI
202101349349307560,516000297,DE
202001369349304935,941156599,CA
202111349349303431,310537516,OH
202101029349300640,370661494,IL
202111349349301751,381374230,MI
202111349349301766,250965557,PA
202111349349306156,610444780,KY
202131319349300033,820200906,ID
202131359349302593,362174823,IL
202111339349302211,941156599,CA
202141059349301674,420680412,IA
202101279349302660,460224600,SD
202021709349301712,951860996,CA
202131349349303313,391024723,WI
202101339349300225,231352665,PA
202121209349300422,382015048,MI
202121339349302112,141442493,NY
202101349349303945,111797182,NY
202101269349302205,430654876,MO
202121339349301122,250965591,PA
202111349349302221,350868188,IN
202141349349301639,520591672,MD
202110679349300531,231365953,PA
202141379349304349,050258810,RI
202121259349302907,042121659,MA
202101209349300445,381366958,MI
202141369349300444,810235407,MT
202130719349300243,381358014,MI
202141049349301704,480547702,KS
202101349349305250,250965576,PA
