object_id,ein,DnrAdvsdFndsHldCnt,FndsAndOthrAccntsHldCnt,DnrAdvsdFndsCntrAmt,FndsAndOthrAccntsCntrAmt,DnrAdvsdFndsGrntsAmt,FndsAndOthrAccntsGrntsAmt,DnrAdvsdFndsVlEOYAmt,FndsAndOthrAccntsVlEOYAmt,DsclsdOrgLgCtrlInd,DsclsdFrChrtblPrpsInd,HstrcLndArInd,HstrcStrctrInd,PrtctnNtrlHbttInd,PrsrvtnOpnSpcInd,PrsrvtnPblcUsInd,TtlEsmntsCnt,TtlAcrgCnt,HstrcStrctrEsmntsCnt,HstrcStrctrEsmntsAftrCnt,MdfdEsmntsCnt,SttsEsmntsHldCnt,WrttnPlcyMntrngInd,StffHrsSpntEnfrcmntCnt,ExpnssIncrrdEnfrcmntAmt,Sctn170hRqrStsfdInd,ArtPblcExhbtnAmnts_RvnsInclddAmt,ArtPblcExhbtnAmnts_AsstsInclddAmt,HldWrksArt_RvnsInclddAmt,HldWrksArt_AsstsInclddAmt,SkdD_CllctnUsdPbExhbtnInd,SkdD_CllUsdSchlrlyRsrchInd,SkdD_CllctnUsdPrsrvtnInd,SkdD_CllUsdLnOrExchPrgInd,CllctnUsdOthrPrpss_OthrPrpssDsc,CllctnUsdOthrPrpss_CllctnUsdOthrPrpssInd,SkdD_SlctdAsstsSlInd,AgntTrstEtcInd,BgnnngBlncAmt,AddtnsDrngYrAmt,DstrbtnsDrngYrAmt,EndngBlncAmt,InclEscrwCstdlAcctLbInd,ExplntnPrvddInd,CYEndwmtFnd_BgnnngYrBlncAmt,CYEndwmtFnd_CntrbtnsAmt,CYEndwmtFnd_InvstmntErnngsOrLsssAmt,CYEndwmtFnd_GrntsOrSchlrshpsAmt,CYEndwmtFnd_OthrExpndtrsAmt,CYEndwmtFnd_AdmnstrtvExpnssAmt,CYEndwmtFnd_EndYrBlncAmt,CYMns1YrEndwmtFnd_BgnnngYrBlncAmt,CYMns1YrEndwmtFnd_CntrbtnsAmt,CYMns1YrEndwmtFnd_InvstmntErnngsOrLsssAmt,CYMns1YrEndwmtFnd_GrntsOrSchlrshpsAmt,CYMns1YrEndwmtFnd_OthrExpndtrsAmt,CYMns1YrEndwmtFnd_AdmnstrtvExpnssAmt,CYMns1YrEndwmtFnd_EndYrBlncAmt,CYMns2YrEndwmtFnd_BgnnngYrBlncAmt,CYMns2YrEndwmtFnd_CntrbtnsAmt,CYMns2YrEndwmtFnd_InvstmntErnngsOrLsssAmt,CYMns2YrEndwmtFnd_GrntsOrSchlrshpsAmt,CYMns2YrEndwmtFnd_OthrExpndtrsAmt,CYMns2YrEndwmtFnd_AdmnstrtvExpnssAmt,CYMns2YrEndwmtFnd_EndYrBlncAmt,CYMns3YrEndwmtFnd_BgnnngYrBlncAmt,CYMns3YrEndwmtFnd_CntrbtnsAmt,CYMns3YrEndwmtFnd_InvstmntErnngsOrLsssAmt,CYMns3YrEndwmtFnd_GrntsOrSchlrshpsAmt,CYMns3YrEndwmtFnd_OthrExpndtrsAmt,CYMns3YrEndwmtFnd_AdmnstrtvExpnssAmt,CYMns3YrEndwmtFnd_EndYrBlncAmt,CYMns4YrEndwmtFnd_BgnnngYrBlncAmt,CYMns4YrEndwmtFnd_CntrbtnsAmt,CYMns4YrEndwmtFnd_InvstmntErnngsOrLsssAmt,CYMns4YrEndwmtFnd_GrntsOrSchlrshpsAmt,CYMns4YrEndwmtFnd_OthrExpndtrsAmt,CYMns4YrEndwmtFnd_AdmnstrtvExpnssAmt,CYMns4YrEndwmtFnd_EndYrBlncAmt,SkdD_BrdDsgntdBlncEOYPct,SkdD_PrmnntEndwmntBlncEOYPct,SkdD_TrmEndwmntBlncEOYPct,SkdD_EndwmntsHldUnrltdOrgInd,SkdD_EndwmntsHldRltdOrgInd,SkdD_RltdOrgLstSchRInd,SkdD_TtlBkVlLndBldngsAmt,Lnd_InvstmntCstOrOthrBssAmt,Lnd_OthrCstOrOthrBssAmt,Lnd_BkVlAmt,Bldngs_InvstmntCstOrOthrBssAmt,Bldngs_OthrCstOrOthrBssAmt,Bldngs_DprctnAmt,Bldngs_BkVlAmt,LshldImprvmnts_InvstmntCstOrOthrBssAmt,LshldImprvmnts_OthrCstOrOthrBssAmt,LshldImprvmnts_DprctnAmt,LshldImprvmnts_BkVlAmt,Eqpmnt_InvstmntCstOrOthrBssAmt,Eqpmnt_OthrCstOrOthrBssAmt,Eqpmnt_DprctnAmt,Eqpmnt_BkVlAmt,OthrLndBldngs_InvstmntCstOrOthrBssAmt,OthrLndBldngs_OthrCstOrOthrBssAmt,OthrLndBldngs_DprctnAmt,OthrLndBldngs_BkVlAmt,SkdD_TtlBkVlScrtsAmt,ClslyHldEqtyIntrsts_BkVlAmt,FnnclDrvtvs_BkVlAmt,ClslyHldEqtyIntrsts_MthdVltnCd,FnnclDrvtvs_MthdVltnCd,TtlBkVlPrgrmRltdAmt,TtlBkVlOthrAsstsAmt,TtlLbltyAmt,FdrlIncmTxLbltyAmt,FtntTxtInd,TtlRvEtcAdtdFnclStmtAmt,NtUnrlzdGnsInvstAmt,DntdSrvcsAndUsFcltsAmt,RcvrsPrrYrGrntsAmt,OthrRvnAmt,RvnNtRprtdAmt,RvnSbttlAmt,InvstmntExpnssNtIncldAmt,OthrRvnsNtInclddAmt,RvnNtRprtdFnclStmtAmt,TtlRvnPrFrm990Amt,TtExpnsEtcAdtdFnclStmtAmt,DntdSrvcsUsFcltsAmt,PrrYrAdjstmntsAmt,LsssRprtdAmt,OthrExpnssInclddAmt,ExpnssNtRprtdAmt,ExpnssSbttlAmt,InvstmntExpnssNtIncld2Amt,OthrExpnssNtInclddAmt,ExpnssNtRptFnclStmtAmt,TtlExpnssPrFrm990Amt,TtExpnsEtcAdtdFnclStmtAmt,DntdSrvcsUsFcltsAmt,PrrYrAdjstmntsAmt,LsssRprtdAmt,OthrExpnssInclddAmt,ExpnssNtRprtdAmt,ExpnssSbttlAmt,InvstmntExpnssNtIncld2Amt,OthrExpnssNtInclddAmt,ExpnssNtRptFnclStmtAmt,TtlExpnssPrFrm990Amt
201423179349301927,226019101,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,1,3.00,-,-,-,1,false,-,-,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126867416,-,8573195,8573195,-,170947149,103146083,67801066,-,845327,549168,296159,-,210074460,179050131,31024329,-,19172667,-,19172667,-,-,-,-,-,-,15562018,63348369,0,X,443715691,-,-,-,-19893613,-19893613,463609304,-,2546244,2546244,466155548,432689495,-,-,-,-,-,432689495,-,20526638,20526638,453216133,432689495,-,-,-,-,-,432689495,-,20526638,20526638,453216133
201433149349302058,020267883,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1740417,-,51568,-,-1711985,80000,-,2818563,-,144249,-,-,1222395,1740417,3942214,65419,32587,-,-,1221657,2818563,3351081,100349,493995,-,-,3211,3942214,-,-,-,-,-,-,-,-,-,-,false,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201443179349303604,231352008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43310907,3540277,3952710,-,995466,-,49808428,34956582,5642329,3687000,-,975004,-,43310907,34827356,1711521,-301942,-,1280353,-,34956582,31985325,380624,3087692,-,626285,-,34827356,25984363,2165832,5124590,-,1289460,-,31985325,0.35110,0.50640,0.14250,0,1,1,3100200,-,-,-,-,-,-,-,-,4454935,2570819,1884116,-,13489730,12273646,1216084,-,-,-,-,34259253,-,-,-,-,-,-,2040603,-,X,38104597,1522643,-,-,1213896,2736539,35368058,-,-,0,35368058,32638835,-,-,-,-,0,32638835,-,-,0,32638835,32638835,-,-,-,-,0,32638835,-,-,0,32638835
201443179349303609,210634462,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,439000,-,-,-,-,-,439000,439000,-,-,-,-,-,439000,439000,-,-,-,-,-,439000,439000,-,-,-,-,-,439000,439000,-,-,-,-,-,439000,-,1.00000,-,false,false,-,351461821,-,3798931,3798931,-,230043509,40774491,189269018,-,128398711,77805071,50593640,-,295591892,251614906,43976986,-,68618474,4795228,63823246,-,-,-,-,-,-,-,89914411,0,-,948405000,-2728000,-,-,-50607000,-53335000,1001740000,315432,-,315432,1002055432,895817000,-,-,-,41622000,41622000,854195000,315432,66856000,67171432,921366432,895817000,-,-,-,41622000,41622000,854195000,315432,66856000,67171432,921366432
201443159349302919,042104451,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,26562,125914,100660,51816,0,-,31672196,41726,832102,-,446044,-,32099980,14153144,55026,17871003,-,406977,-,31672196,13884621,77569,548238,-,357284,-,14153144,12841346,883557,587361,-,427643,-,13884621,11739881,76639,1513541,-,488715,-,12841346,0.52960,0.47040,0.00000,0,0,-,30701828,-,522323,522323,-,23285765,15168805,8116960,-,38643648,26940744,11702904,-,14055635,12637451,1418184,-,11267846,2326389,8941457,7773196,-,-,-,-,17000000,21868359,2544293,-,X,47625936,555687,-,-,-18871091,-18315404,65941340,-,-711018,-711018,65230322,45230107,-,-,-,711018,711018,44519089,-,18848570,18848570,63367659,45230107,-,-,-,711018,711018,44519089,-,18848570,18848570,63367659
201403249349300010,237034324,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,0,-,-,-,-,-,-,-,578268,-,7742,-,-,-,586010,583724,-,7897,-,13353,-,578268,592703,-,7997,-,16976,-,583724,622985,-,-4820,-,25462,-,592703,618376,-,4609,-,-,-,622985,-,0.29830,0.70170,0,0,-,9743098,7696613,-,7696613,1024566,-,-,1024566,-,-,-,-,4153582,-,3131663,1021919,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10236876,-,241300,-,-,241300,9995576,-,635724,635724,10631300,8348077,241300,-,-,-,241300,8106777,-,635724,635724,8742501,8348077,241300,-,-,-,241300,8106777,-,635724,635724,8742501
201433219349303453,470385129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55681788,-,3522831,3522831,-,-,-,-,-,-,-,-,-,193467482,142913654,50553828,-,1605129,-,1605129,-,-,-,-,-,-,-,5100115,-,-,199285443,1840771,-,-,2796395,4637166,194648277,-,-,-,194648277,175558610,-,-,-,3615579,3615579,171943031,-,-,-,171943031,175558610,-,-,-,3615579,3615579,171943031,-,-,-,171943031
201443189349301799,410693962,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663324373,3277124,83608954,21861979,7433195,2472841,718442436,597674972,2347751,96843007,22085432,8826115,2629810,663324373,638449674,4229032,-10495862,22528016,9742856,2237000,597674972,572459775,1203062,97223301,22808234,7688303,1939927,638449674,523140564,4137481,77027500,22142081,7857812,1845877,572459775,0.08000,0.43000,0.49000,1,0,-,221837057,-,1740824,1740824,14559153,289106403,86953947,216711609,-,-,-,-,-,13680941,10296317,3384624,-,-,-,-,374288204,-,-,-,-,-,-,10854929,-,X,212732146,43324818,-,-,4969292,48294110,164438036,1640424,-,1640424,166078460,147019302,-,-,-,907612,907612,146111690,1640424,-,1640424,147752114,147019302,-,-,-,907612,907612,146111690,1640424,-,1640424,147752114
201443189349301864,420680452,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,409386470,40087047,59414890,3820990,-,1063949,504003468,402694127,10820990,44751469,48054272,-,825844,409386470,393764418,14837391,-4633215,-,-,1274466,402694128,345461149,7133406,46487853,3862243,-,1455747,393764418,247692356,25092385,77357269,3399333,-,1281528,345461149,0.94550,0.03540,0.01910,0,1,1,229199872,-,11282819,11282819,-,237887827,158677945,79209882,-,11590959,8317722,3273237,-,408745871,281252716,127493155,-,15122636,7181857,7940779,-,-,-,-,-,-,-,181386281,27846,X,716927000,17549940,-,-,4172,17554112,699372888,1131827,3321113,4452940,703825828,617155000,-,-,-,4228,4228,617150772,1131827,32574819,33706646,650857418,617155000,-,-,-,4228,4228,617150772,1131827,32574819,33706646,650857418
201403499349301200,237410494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2122651,-,106013,-,220000,-,2008664,1964860,-,157791,-,-,-,2122651,1857327,-,107533,-,-,-,1964860,1571857,204212,81258,-,-,-,1857327,1476542,-,95315,-,-,-,1571857,1.00000,-,-,false,false,-,1140683,-,400000,400000,-,1696311,1013709,682602,-,-,-,-,-,242735,184654,58081,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1490331,21429,-,-,-,21429,1468902,-,-,-,1468902,1788501,-,-,-,8631,8631,1779870,-,-,-,1779870,1788501,-,-,-,8631,8631,1779870,-,-,-,1779870
