object_id,ein,OfAssstncTxt,RgnTxt,RcpntCnt,CshGrntAmt,MnnrOfCshDsbrsmntTxt,VltnMthdUsdDsc
201903199349311450,980149857,Stipends,Central America and the Caribbean,392140
201943529349300639,620481463,SCHOLARSHIPS TO ELIGIBLE STUDENTS,9,40454,ACCOUNT CREDIT
201913519349300816,750827421,Tuition discount,East Asia and the Pacific,82,144262,Tuit discount
201913519349300816,750827421,Tuition Discount,Central America and the Caribbean,10,23940,Tuit discount
201913519349300816,750827421,Tuition Discount,North America Not the United States,20,29970,Tuit Discount
201913519349300816,750827421,Tuition Discount,South America,44,63870,Tuit discount
201913519349300816,750827421,Tuition discount,Europe including Iceland and Greenland,4,4250,Tuit discount
201913519349300816,750827421,Tuition discount,Middle East and North Africa,1,1304,Tuit discount
202041979349305184,042103542,Educational Awards,North America,3,12400,wire
202041979349305184,042103542,Educational Awards,East Asia and the Pacific,6,18884,wire,2445,Housing
202041979349305184,042103542,Educational Awards,Europe (Including Iceland and Greenland),28,338662,Wire
202041979349305184,042103542,Educational Awards,Middle East and North Africa,1,300,Wire
202041979349305184,042103542,Educational Awards,Sub-Saharan Africa,2,4500,Wire
202041979349307414,951664112,FINANCIAL AID,14,292372,CREDIT,N/A,N/A
202041979349307414,951664112,FINANCIAL AID,95,833962,CREDIT,N/A,N/A
202041979349307414,951664112,FINANCIAL AID,4,144416,CREDIT,N/A,N/A
202041979349307414,951664112,FINANCIAL AID,72,1834810,CREDIT,N/A,N/A
202041979349307414,951664112,FINANCIAL AID,4,91993,CREDIT,N/A,N/A
202041979349307414,951664112,FINANCIAL AID,2,68524,CREDIT,N/A,N/A
202041979349307414,951664112,FINANCIAL AID,7,144805,CREDIT,N/A,N/A
202041979349307414,951664112,FINANCIAL AID,1,36986,CREDIT,N/A,N/A
202041979349307414,951664112,FINANCIAL AID,Sub-Saharan Africa,14,292372,CREDIT,N/A,N/A
202041979349307414,951664112,FINANCIAL AID,East Asia and the Pacific,95,833962,CREDIT,N/A,N/A
202041979349307414,951664112,FINANCIAL AID,Central America and the Caribbean,4,144416,CREDIT,N/A,N/A
