object_id,ein,RgnTxt,PrpsOfGrntTxt,CshGrntAmt,MnnrOfCshDsbrsmntTxt,VltnMthdUsdDsc
201913519349300816,750827421,Sub-Saharan Africa,furnishings,19000,wire transfer
201912979349300626,631222148,"NORTH AMERICA - CANADA AND MEXICO, BUT",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201912979349300626,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201912979349300626,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201912979349300626,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201912979349300626,631222148,CENTRAL AMERICA AND THE CARIBBEAN -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201912979349300626,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201912979349300626,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201912979349300626,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
202020699349301007,042111203,Central America and the Caribbean,Research,6000,wire transfer,0
202020699349301007,042111203,East Asia and the Pacific,Research,27038,wire transfer,0
202020699349301007,042111203,South America,Research,11834,wire transfer,0
202041979349301854,210634501,Central America and the Caribbean,RES/EDU/TRAV,36105,CHECK,N/A,N/A
202041979349301854,210634501,East Asia and the Pacific,RES/EDU/TRAV,927043,CHECK,N/A,N/A
202041979349301854,210634501,Europe (Including Iceland and Greenland),RES/EDU/TRAV,8307208,CHECK,N/A,N/A
202041979349301854,210634501,Middle East and North Africa,RES/EDU/TRAV,694350,CHECK,N/A,N/A
202041979349301854,210634501,North America (Canada & Mexico only),RES/EDU/TRAV,974042,CHECK,N/A,N/A
202041979349301854,210634501,Russia and Neighboring States,RES/EDU/TRAV,35737,CHECK,N/A,N/A
202041979349301854,210634501,South America,RES/EDU/TRAV,270821,CHECK,N/A,N/A
202041979349301854,210634501,South Asia,RES/EDU/TRAV,77520,CHECK,N/A,N/A
202041979349301854,210634501,Sub-Saharan Africa,RES/EDU/TRAV,1398873,CHECK,N/A,N/A
201903399349301020,237099472,Europe (Including Iceland and Greenland),Program Service Study Abroad,2210989,Wire Transfe
202012269349301736,203467419,"Beni, DRC",Construction Costs,262596,Wire Trans
202012269349301736,203467419,"Beni, DRC",Faculty Develop,35250,Wire Trans
202012269349301736,203467419,"Beni, DRC",General Operations,749110,Wire trans
202012269349301736,203467419,"Beni, DRC",Intl Staff Support,88595,Wire Trans
202012269349301736,203467419,"Beni, DRC",Tuition,15447,Wire Trans
202030699349301008,986001141,"North America (including Canada and Mexico, but not the United States)",Research,88264000,EFT check draft,0
202030699349301008,986001141,Europe (including Iceland and Greenland),Research,820000,EFT check draft,0
202030699349301008,986001141,Sub-Saharan Africa,Research,351000,EFT check draft,0
202030699349301008,986001141,East Asia and the Pacific,Research,225000,EFT check draft,0
202030699349301008,986001141,South Asia,Research,80000,EFT check draft,0
202030699349301008,986001141,South America,Research,62000,EFT check draft,0
202030699349301008,986001141,Middle East and North Africa,Research,35000,EFT check draft,0
