object_id,ein,BndRfrncCd,PrcdrsCrrctvActnInd
201800889349300500,251120678,RetDoc1053100001,A,1
201800889349300500,251120678,RetDoc1053100001,B,1
201800889349300500,251120678,RetDoc1053100001,C,1
201800889349300500,251120678,RetDoc1053100001,D,1
201800679349300825,350868095,A,false
201800679349300825,350868095,B,false
201800859349300215,941156599,A,1
201830829349300613,540573801,A,1
201830829349300613,540573801,B,1
201830469349301953,620488046,A,1
201830669349300143,430356250,A,true
201830669349300143,430356250,B,true
201830669349300143,430356250,C,true
201830669349300143,430356250,D,true
201800659349300040,344427516,A,true
201840529349300989,410693968,A,0
201840529349300989,410693968,B,0
201800869349300500,580566143,A,0
201800869349300500,580566143,B,0
201840119349300829,930461940,A,0
201800869349300905,160746864,A,1
201800869349300905,160746864,B,1
201800869349300905,160746864,C,1
201810869349300606,314379435,A,1
201810869349300606,314379435,B,1
201810859349300711,362170136,A,true
201810859349300711,362170136,B,true
201800889349301100,362169157,A,false
201800889349301100,362169157,B,false
201800889349301100,362169157,C,false
201840249349300129,381369604,A,1
201840249349300129,381369604,B,1
201840249349300129,381369604,C,1
201800279349300315,610470593,RetDoc1053100001,A,0
201800279349300315,610470593,RetDoc1053100001,B,0
201800279349300315,610470593,RetDoc1053100001,C,0
201800279349300315,610470593,RetDoc1053100001,D,0
201820509349300632,362167048,IRS990ScheduleK,A,true
201820509349300632,362167048,IRS990ScheduleK,B,true
201820509349300632,362167048,IRS990ScheduleK,C,true
201820509349300632,362167048,IRS990ScheduleK,D,true
201840259349301314,420681046,A,1
201840259349301314,420681046,B,1
201840259349301314,420681046,C,1
201810229349300726,111733439,A,true
201820529349301137,911036794,A,0
201820529349301137,911036794,B,0
201820859349300777,640303086,A,0
201820729349300307,750851900,A,false
201820729349300307,750851900,B,false
201810749349300911,350867954,A,1
201810749349300911,350867954,B,1
201810749349300911,350867954,C,1
201820889349300107,741159753,A,true
201820889349300107,741159753,B,true
201820889349300107,741159753,C,true
201820889349300107,741159753,D,true
201840449349300149,340868798,A,1
201840749349300514,930391586,A,1
201840749349300514,930391586,B,1
201820579349301152,231352668,A,true
201820579349301152,231352668,B,true
201820579349301152,231352668,C,true
201830659349300008,930401259,A,0
201830659349300008,930401259,B,0
201820659349300437,231352641,IRS990ScheduleK,A,true
201820659349300437,231352641,IRS990ScheduleK,B,true
201840959349300224,370661494,A,1
201840959349300224,370661494,B,1
201840959349300134,520591608,A,1
201821029349300147,741143128,A,true
201821029349300147,741143128,B,true
201821029349300147,741143128,C,true
201821029349300147,741143128,D,true
201810679349300641,362216176,A,false
201820659349300327,560530242,A,1
201820659349300327,560530242,B,1
201820659349300327,560530242,C,1
201811019349301311,941156628,A,true
201811019349301311,941156628,B,true
201811019349301311,941156628,C,true
201811019349301311,941156628,D,true
201801009349300225,560529953,A,0
201800899349300715,370661496,A,1
201800899349300715,370661496,B,1
201800669349300765,150533545,A,false
201800669349300765,150533545,B,false
201800539349301120,141468399,A,false
201800539349301120,141468399,B,false
201840249349301509,860294012,A,true
201810589349300521,344428219,A,true
201830729349300643,530196549,A,true
201830729349300643,530196549,B,true
201830729349300643,530196549,C,true
201840469349301889,250965212,A,1
201840469349301889,250965212,B,1
201840469349301889,250965212,C,1
201840469349301889,250965212,D,1
201840549349300109,231352652,RetDoc1053100001,A,1
201840549349300109,231352652,RetDoc1053100001,B,1
201840549349300109,231352652,RetDoc1053100001,C,1
201840549349300109,231352652,RetDoc1053100001,D,1
201830999349300328,630288811,A,true
201801019349301035,750926755,A,false
201800959349300705,460280847,A,0
201800959349300705,460280847,B,0
201811029349301301,042199867,A,true
201811029349301301,042199867,B,true
201811029349301301,042199867,C,true
201811029349301301,042199867,D,true
201831029349300243,410695524,A,1
201800599349301500,350868096,A,true
201800599349301500,350868096,B,true
201840999349300324,042104149,A,1
201840999349300324,042104149,B,1
201840999349300324,042104149,C,1
201840999349300304,240795506,A,1
201840999349300304,240795506,B,1
201840999349300304,240795506,C,1
201840999349300304,240795506,D,1
201800879349300705,237223216,A,true
201800879349300705,237223216,B,true
201800999349300885,741109631,A,true
201800609349300925,250965557,RetDoc1053100001,A,0
201800609349300925,250965557,RetDoc1053100001,B,0
