object_id,ein,SkdH_FnnclAssstncPlcyInd,SkdH_WrttnPlcyInd,SkdH_MstHsptlsPlcyInd,SkdH_IndvHsptlTlrdPlcyInd,SkdH_AllHsptlsPlcyInd,SkdH_FPGRfrncFrCrInd,FrCrOthPrcntg_OthrInd,SkdH_Prcnt200Ind,FrCrOthPrcntg_FrCrOthrPct,SkdH_Prcnt100Ind,SkdH_Prcnt150Ind,SkdH_Prcnt200DInd,DscntdCrOthPrcntg_DscntdCrOthrPct,DscntdCrOthPrcntg_OthrInd,SkdH_Prcnt250Ind,SkdH_Prcnt300Ind,SkdH_Prcnt350Ind,SkdH_Prcnt400Ind,SkdH_FPGRfrncDscntdCrInd,SkdH_FrCrMdcllyIndgntInd,SkdH_FnnclAssstncBdgtInd,SkdH_ExpnssExcdBdgtInd,SkdH_UnblTPrvdCrInd,SkdH_AnnlCmmntyBnftRprtInd,SkdH_RprtPblcllyAvlblInd,FnnclAssstncAtCstTyp_ActvtsOrPrgrmsCnt,FnnclAssstncAtCstTyp_PrsnsSrvdCnt,FnnclAssstncAtCstTyp_TtlCmmntyBnftExpnsAmt,FnnclAssstncAtCstTyp_DrctOffsttngRvnAmt,FnnclAssstncAtCstTyp_NtCmmntyBnftExpnsAmt,FnnclAssstncAtCstTyp_TtlExpnsPct,UnrmbrsdMdcd_ActvtsOrPrgrmsCnt,UnrmbrsdMdcd_PrsnsSrvdCnt,UnrmbrsdMdcd_TtlCmmntyBnftExpnsAmt,UnrmbrsdMdcd_DrctOffsttngRvnAmt,UnrmbrsdMdcd_NtCmmntyBnftExpnsAmt,UnrmbrsdMdcd_TtlExpnsPct,UnrmbrsdCsts_ActvtsOrPrgrmsCnt,UnrmbrsdCsts_PrsnsSrvdCnt,UnrmbrsdCsts_TtlCmmntyBnftExpnsAmt,UnrmbrsdCsts_DrctOffsttngRvnAmt,UnrmbrsdCsts_NtCmmntyBnftExpnsAmt,UnrmbrsdCsts_TtlExpnsPct,TtlFnnclAssstncTyp_ActvtsOrPrgrmsCnt,TtlFnnclAssstncTyp_PrsnsSrvdCnt,TtlFnnclAssstncTyp_TtlCmmntyBnftExpnsAmt,TtlFnnclAssstncTyp_DrctOffsttngRvnAmt,TtlFnnclAssstncTyp_NtCmmntyBnftExpnsAmt,TtlFnnclAssstncTyp_TtlExpnsPct,CmmntyHlthSrvcs_ActvtsOrPrgrmsCnt,CmmntyHlthSrvcs_PrsnsSrvdCnt,CmmntyHlthSrvcs_TtlCmmntyBnftExpnsAmt,CmmntyHlthSrvcs_DrctOffsttngRvnAmt,CmmntyHlthSrvcs_NtCmmntyBnftExpnsAmt,CmmntyHlthSrvcs_TtlExpnsPct,HlthPrfssnsEdctn_ActvtsOrPrgrmsCnt,HlthPrfssnsEdctn_PrsnsSrvdCnt,HlthPrfssnsEdctn_TtlCmmntyBnftExpnsAmt,HlthPrfssnsEdctn_DrctOffsttngRvnAmt,HlthPrfssnsEdctn_NtCmmntyBnftExpnsAmt,HlthPrfssnsEdctn_TtlExpnsPct,SbsdzdHlthSrvcs_ActvtsOrPrgrmsCnt,SbsdzdHlthSrvcs_PrsnsSrvdCnt,SbsdzdHlthSrvcs_TtlCmmntyBnftExpnsAmt,SbsdzdHlthSrvcs_DrctOffsttngRvnAmt,SbsdzdHlthSrvcs_NtCmmntyBnftExpnsAmt,SbsdzdHlthSrvcs_TtlExpnsPct,Rsrch_ActvtsOrPrgrmsCnt,Rsrch_PrsnsSrvdCnt,Rsrch_TtlCmmntyBnftExpnsAmt,Rsrch_DrctOffsttngRvnAmt,Rsrch_NtCmmntyBnftExpnsAmt,Rsrch_TtlExpnsPct,CshAndInKndCntrbtns_ActvtsOrPrgrmsCnt,CshAndInKndCntrbtns_PrsnsSrvdCnt,CshAndInKndCntrbtns_TtlCmmntyBnftExpnsAmt,CshAndInKndCntrbtns_DrctOffsttngRvnAmt,CshAndInKndCntrbtns_NtCmmntyBnftExpnsAmt,CshAndInKndCntrbtns_TtlExpnsPct,TtlOthrBnfts_ActvtsOrPrgrmsCnt,TtlOthrBnfts_PrsnsSrvdCnt,TtlOthrBnfts_TtlCmmntyBnftExpnsAmt,TtlOthrBnfts_DrctOffsttngRvnAmt,TtlOthrBnfts_NtCmmntyBnftExpnsAmt,TtlOthrBnfts_TtlExpnsPct,TtlCmmntyBnfts_ActvtsOrPrgrmsCnt,TtlCmmntyBnfts_PrsnsSrvdCnt,TtlCmmntyBnfts_TtlCmmntyBnftExpnsAmt,TtlCmmntyBnfts_DrctOffsttngRvnAmt,TtlCmmntyBnfts_NtCmmntyBnftExpnsAmt,TtlCmmntyBnfts_TtlExpnsPct,TtlCmmnttyBldngActy_ActvtsOrPrgrmsCnt,TtlCmmnttyBldngActy_PrsnsSrvdCnt,TtlCmmnttyBldngActy_TtlCmmntyBnftExpnsAmt,TtlCmmnttyBldngActy_DrctOffsttngRvnAmt,TtlCmmnttyBldngActy_NtCmmntyBnftExpnsAmt,TtlCmmnttyBldngActy_TtlExpnsPct,PhysclImprvAndHsng_ActvtsOrPrgrmsCnt,PhysclImprvAndHsng_PrsnsSrvdCnt,PhysclImprvAndHsng_TtlCmmntyBnftExpnsAmt,PhysclImprvAndHsng_DrctOffsttngRvnAmt,PhysclImprvAndHsng_NtCmmntyBnftExpnsAmt,PhysclImprvAndHsng_TtlExpnsPct,EcnmcDvlpmnt_ActvtsOrPrgrmsCnt,EcnmcDvlpmnt_PrsnsSrvdCnt,EcnmcDvlpmnt_TtlCmmntyBnftExpnsAmt,EcnmcDvlpmnt_DrctOffsttngRvnAmt,EcnmcDvlpmnt_NtCmmntyBnftExpnsAmt,EcnmcDvlpmnt_TtlExpnsPct,CmmntySpprt_ActvtsOrPrgrmsCnt,CmmntySpprt_PrsnsSrvdCnt,CmmntySpprt_TtlCmmntyBnftExpnsAmt,CmmntySpprt_DrctOffsttngRvnAmt,CmmntySpprt_NtCmmntyBnftExpnsAmt,CmmntySpprt_TtlExpnsPct,EnvrnmntlImprvmnts_ActvtsOrPrgrmsCnt,EnvrnmntlImprvmnts_PrsnsSrvdCnt,EnvrnmntlImprvmnts_TtlCmmntyBnftExpnsAmt,EnvrnmntlImprvmnts_DrctOffsttngRvnAmt,EnvrnmntlImprvmnts_NtCmmntyBnftExpnsAmt,EnvrnmntlImprvmnts_TtlExpnsPct,LdrshpDvlpmnt_ActvtsOrPrgrmsCnt,LdrshpDvlpmnt_PrsnsSrvdCnt,LdrshpDvlpmnt_TtlCmmntyBnftExpnsAmt,LdrshpDvlpmnt_DrctOffsttngRvnAmt,LdrshpDvlpmnt_NtCmmntyBnftExpnsAmt,LdrshpDvlpmnt_TtlExpnsPct,CltnBldng_ActvtsOrPrgrmsCnt,CltnBldng_PrsnsSrvdCnt,CltnBldng_TtlCmmntyBnftExpnsAmt,CltnBldng_DrctOffsttngRvnAmt,CltnBldng_NtCmmntyBnftExpnsAmt,CltnBldng_TtlExpnsPct,HlthImprvmntAdvccy_ActvtsOrPrgrmsCnt,HlthImprvmntAdvccy_PrsnsSrvdCnt,HlthImprvmntAdvccy_TtlCmmntyBnftExpnsAmt,HlthImprvmntAdvccy_DrctOffsttngRvnAmt,HlthImprvmntAdvccy_NtCmmntyBnftExpnsAmt,HlthImprvmntAdvccy_TtlExpnsPct,WrkfrcDvlpmnt_ActvtsOrPrgrmsCnt,WrkfrcDvlpmnt_PrsnsSrvdCnt,WrkfrcDvlpmnt_TtlCmmntyBnftExpnsAmt,WrkfrcDvlpmnt_DrctOffsttngRvnAmt,WrkfrcDvlpmnt_NtCmmntyBnftExpnsAmt,WrkfrcDvlpmnt_TtlExpnsPct,OthrCmmnttyBldngActy_ActvtsOrPrgrmsCnt,OthrCmmnttyBldngActy_PrsnsSrvdCnt,OthrCmmnttyBldngActy_TtlCmmntyBnftExpnsAmt,OthrCmmnttyBldngActy_DrctOffsttngRvnAmt,OthrCmmnttyBldngActy_NtCmmntyBnftExpnsAmt,OthrCmmnttyBldngActy_TtlExpnsPct,BdDbtExpnsRprtdInd,BdDbtExpnsAmt,BdDbtExpnsAttrbtblAmt,RmbrsdByMdcrAmt,CstOfCrRmbrsdByMdcrAmt,MdcrSrplsOrShrtfllAmt,CstAccntngSystmInd,CstTChrgRtInd,OthrInd,WrttnDbtCllctnPlcyInd,FnnclAssstncPrvsnInd,HsptlFcltsCnt,FcltyNm
201623209349312427,263162145,true,true,-,-,X,true,-,X,-,-,-,-,-,-,-,-,-,X,true,true,true,false,-,true,true,-,7701,9733558,-,9733558,0.02820,-,11442,49027632,30203353,18824279,0.05460,-,-,-,-,-,-,-,19143,58761190,30203353,28557837,0.08280,14,4121,181438,-,181438,0.00050,2,261,1476343,-,1476343,0.00430,-,-,-,-,-,-,1,-,30167,-,30167,0.00010,11,3504,443039,-,443039,0.00130,28,7886,2130987,-,2130987,0.00620,28,27029,60892177,30203353,30688824,0.08900,4,16709,349649,-,349649,0.00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,16709,349649,-,349649,0.00100,-,-,-,-,-,-,-,-,-,-,-,-,false,6968789,-,63664820,70617140,-6952320,-,X,-,true,true,1,28
201710419349301101,131624158,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16103333,6320481,9782852,0.02610,-,-,-,-,-,-,-,-,16103333,6320481,9782852,0.02610,-,-,16103333,6320481,9782852,0.02610,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,0,-,1,-
201741359349300914,660561027,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,17446727,13532501,3914226,0.08220,1,-,17446727,13532501,3914226,0.08220,9,278,3800,-,3800,0.00010,5,-,16636,-,16636,0.00030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,278,20436,-,20436,0.00040,15,278,17467163,13532501,3934662,0.08270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,4422879,-,7282217,2610631,4671586,-,-,-,false,-,1,1
201721029349300107,590624458,1,1,X,-,-,1,-,X,-,-,-,-,-,-,-,-,-,-,0,1,1,0,-,0,-,-,-,8770000,-,8770000,0.00270,-,-,128655780,88313322,40342458,0.01240,-,-,-,-,-,-,-,-,137425780,88313322,49112458,0.01510,-,-,3246849,3255617,-8768,0.00000,-,-,19839449,3792507,16046942,0.00490,-,-,1224092,1224092,-,-,-,-,170852094,165741141,5110953,0.00160,-,-,143544,100000,43544,0.00000,-,-,195306028,174113357,21192671,0.00650,-,-,332731808,262426679,70305129,0.02160,-,-,1926124,1646643,279481,0.00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1926124,1646643,279481,0.00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,82695669,0,243643278,292116938,-48473660,-,-,X,1,1,3,-
201711359349307756,951642394,true,true,-,-,X,true,-,X,-,-,-,-,-,-,-,-,X,-,true,true,true,true,false,true,true,-,-,5814430,-,5814430,0.00130,-,-,172184894,151905274,20279620,0.00450,-,-,-,-,-,-,-,-,177999324,151905274,26094050,0.00580,-,-,696452,-,696452,0.00020,-,-,28341344,4300297,24041047,0.00540,-,-,-,-,-,-,-,-,244891742,244891742,-,-,-,-,338689,-,338689,0.00010,-,-,274268227,249192039,25076188,0.00570,-,-,452267551,401097313,51170238,0.01150,-,-,212500,-,212500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212500,-,212500,-,-,-,-,-,-,-,true,10259484,-,279999903,364148263,-84148360,-,X,-,true,true,3,1
201701339349300005,530204707,1,1,-,-,-,1,-,-,-,-,X,-,325.000000000000,X,-,-,-,-,1,0,1,0,-,1,1,-,-,3209006,0,3209006,0.00360,-,-,123142041,114394232,8747809,0.00980,-,-,8541848,3839021,4702827,0.00520,-,-,134892895,118233253,16659642,0.01860,-,-,-,-,-,-,-,-,46365876,26061548,20304328,0.02260,-,-,39194234,27198117,11996117,0.01340,-,-,34178000,34178000,-,-,-,20129,718288,-,718288,0.00080,-,20129,120456398,87437665,33018733,0.03680,-,20129,255349293,205670918,49678375,0.05540,-,-,718288,718288,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,718288,718288,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8763162,0,50277193,51829055,-1551862,X,-,-,1,1,1,-
201731329349305733,160743209,true,true,-,-,-,true,-,X,-,-,-,-,-,-,-,-,-,X,true,true,true,true,false,true,true,-,-,18801933,10368306,8433627,0.00260,-,-,411916487,316839800,95076687,0.02940,-,-,1939686,1186597,753089,0.00020,-,-,432658106,328394703,104263403,0.03220,-,-,1828459,302704,1525755,0.00040,-,-,113234306,12048141,101186166,0.03120,-,-,136556227,108914390,27641837,0.00860,-,-,304463379,304463379,0,0.00000,-,-,484129,0,484129,0.00020,-,-,556566500,425728614,130837887,0.04040,-,-,989224606,754123317,235101290,0.07260,-,-,241193,0,241196,0.00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13968,0,13968,0.00000,-,-,-,-,-,-,-,-,194955,0,194955,0.00010,-,-,3719,0,3719,0.00000,-,-,9222,0,9222,0.00000,-,-,17938,0,17938,0.00000,-,-,1391,0,1394,0.00000,false,18391808,312687,224236916,250573419,-26336503,X,-,-,true,true,1,8
201731289349301003,620476822,1,1,X,-,-,1,-,X,-,-,-,-,-,-,X,-,-,-,1,1,1,0,-,1,1,-,-,73324651,-,73324651,0.01730,-,-,391905768,305573428,86332340,0.02040,-,-,-,-,-,-,-,-,465230419,305573428,159656991,0.03770,-,-,6361524,1170736,5190788,0.00120,-,-,116826161,28017174,88808987,0.02090,-,-,-,-,-,-,-,-,421303936,304605827,116698109,0.02750,-,-,-,-,-,-,-,-,544491621,333793737,210697884,0.04960,-,-,1009722040,639367165,370354875,0.08730,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,17131048,388489,310031318,389231669,-79200351,-,X,-,1,1,2,12
201731329349303163,231352685,true,true,-,-,X,true,X,-,300.,-,-,-,-,-,-,X,-,-,true,true,false,-,-,true,true,-,-,3446950,0,3446950,0.00060,-,-,330704469,250208523,80495946,0.01430,-,-,0,0,0,0.00000,-,-,334151419,250208523,83942896,0.01490,-,-,0,0,0,0.00000,-,-,119689182,46701233,72987949,0.01290,-,-,0,0,0,0.00000,-,-,664663450,536184937,128478513,0.02280,-,-,0,0,0,0.00000,-,-,784352632,582886170,201466462,0.03570,-,-,1118504051,833094693,285409358,0.05060,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,true,88071842,69836897,496247420,545530248,-49282828,-,X,-,true,true,1,16
201711329349303671,720423889,1,1,-,-,X,1,-,-,-,X,-,X,-,-,-,-,-,-,1,1,1,1,0,1,1,-,-,625000,-,625000,0.0006,-,-,13987000,20350000,-6363000,0,-,-,-,-,-,-,0,0,14612000,20350000,-5738000,0.0006,-,-,9927000,0,9927000,0.0098,-,-,3521000,2669000,852000,0.0008,-,-,0,0,0,0,-,-,0,0,0,0,-,-,0,0,0,0,0,0,13448000,2669000,10779000,0.0106,0,0,28060000,23019000,5041000,0.0112,0,0,6102000,-4715000,1387000,0.001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6102000,-4715000,1387000,0.001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,433000,616000,13169000,12441000,728000,-,X,-,1,1,1,-
