object_id,ein,BsnssNm_BsnssNmLn1Txt
201602919349300015,240795439,METZ AND ASSOCIATES LTD,2 WOODLAND DR,DALLAS,PA,18612,FOOD SERVICE,177771
201602919349300015,240795439,BUSINESS CARD,PO BOX 15796,WILMINGTON,DE,19886,CREDIT CARDS-BUSINESS EXPENSES,167436
201602919349300015,240795439,KNOWLES ASSOCIATES INSURANCE,316 PENN AVE,SCRANTON,PA,18503,INSURANCE BROKER FOR CAMPUS,150875
201642989349301074,710236867,EAST HARDING INC,2230 COTTONDALE LANE SUITE 3,LITTLE ROCK,AR,72202,CONSTRUCTION,1982160
201642989349301074,710236867,ARAMARK CAMPUS SERVICES,27310 NETWORK PLACE,CHICAGO,IL,60673,FOOD SERVICE,1419265
201642989349301074,710236867,HARNESS ROOFING INC,415 S MAIN,HARRISON,AR,72601,CONSTRUCTION,400629
201642989349301074,710236867,JUMP COMPANY,1120 SOUTH 6TH SUITE 502,ST LOUIS,MO,63104,BRANDING CONSULTANT,166018
201642989349301074,710236867,EBSCO INFORMATION SERVICES,PO BOX 204661,DALLAS,TX,75320,ONLINE MEDIA,154423
201622919349301112,951916051,Provider Contract Foodservice,7119 Indiana Avenue,Riverside,CA,92504,Cafeteria Services,1225854
201622919349301112,951916051,2400 E Katella Ave Holdings LLC,2400 E Katella Ave Suite 600,Anaheim,CA,92806,Office Space Rent,581933
201622919349301112,951916051,Payne Janitorial Services Inc,641 S Palm St Unit B,La Habra,CA,90631,Janitorial Services,296831
201622919349301112,951916051,Direct Print & Promotion,545 W Allen Ave 5,San Dimas,CA,91773,Printing Services,234869
201622919349301112,951916051,NCS Pearson Inc,13036 Collection Center Drive,Chicago,IL,60693,Online Classroom License,219962
201632879349300938,900131526,LANDMARK BUILDERS OF THE TRIAD INC,3520 TRIAD CT,WINSTON SALEM,NC,27107,CONSTRUCTION,511435
201632879349300938,900131526,MOSER MAYER PHOENIX ASSOCIATES PA,328 EAST MARKET STREET SUITE 200,GREENSBORO,NC,27401,ARCHITECTURE/ENGINEERING,428121
201632879349300938,900131526,NEW ATLANTIC CONTRACTING INC,2635 REYNOLDA ROAD,WINSTON SALEM,NC,27106,CONSTRUCTION,176465
201632879349300938,900131526,CARL ZEISS MICROSCOPY LLC,ONE ZEISS DRIVE,THORNWOOD,NY,10594,LABORATORY EQUIPMENT,175228
