object_id,ein,FrgnCntryCd
201623029349300717,840600653,MX
201602609349300320,237417722,CS
201612639349300046,462795989,IT
201623069349300122,980149857,CS
201642749349301024,980150041,CA
201622819349300402,381443369,SN
201622819349300402,381443369,RP
201622819349300402,381443369,TH
201622819349300402,381443369,HK
201623149349302402,370706154,CJ
201603129349302435,136171197,MX
201623029349300217,640303086,UK
201623029349300217,640303086,CJ
201633079349301433,410694721,MX
201633079349301433,410694721,GT
201633079349301433,410694721,ES
201633079349301433,410694721,NU
201633079349301433,410694721,WA
201623159349300622,620812782,IT
201623129349302082,463779216,HA
201623209349305232,980148939,NZ
201603199349310290,770495439,OC
201613209349318556,731679393,KS
201633209349316463,650216638,NU
201633209349302843,430471057,CJ
201623209349312977,830454800,EC
201643199349310374,350868181,EI
201633369349300708,431658069,KS
201643169349301529,580593438,CJ
201613439349300326,590624459,CJ
201643519349300229,540575812,CA
201613499349300521,530196583,IT
201633479349300138,710430687,CJ
201613409349300421,237069575,CA
201623489349300937,530196603,CJ
201623489349300937,530196603,DR
201623489349300937,530196603,EG
201623489349300937,530196603,ES
201623489349300937,530196603,FR
201623489349300937,530196603,GM
201623489349300937,530196603,GT
201623489349300937,530196603,HA
201623489349300937,530196603,HO
201623489349300937,530196603,IN
201623489349300937,530196603,IT
201623489349300937,530196603,MX
201623489349300937,530196603,NU
201623489349300937,530196603,QA
201623489349300937,530196603,SP
201623489349300937,530196603,TU
201623489349300937,530196603,UK
201633499349300213,237213309,CA
201623569349300307,593086453,UK
201603489349300425,980042539,CA
201720419349301672,042104258,IT
201720119349300012,131916574,CJ
201730349349300923,990255042,JA
201700319349300425,131628149,UK
201710139349301431,420680389,CJ
201720169349300537,620485733,UK
201700419349300830,980072997,IT
201710319349300836,237075717,SZ
201730449349301208,135596846,LE
201730449349301208,135596846,JO
201720349349300952,540505922,ST
201710399349300621,382410852,CJ
201740329349300329,420680460,CA
201740329349300329,420680460,CJ
201740329349300329,420680460,GK
201700129349300715,620518288,BE
201710099349300431,410698301,CJ
201710099349300431,410698301,SZ
201700289349300410,231352692,CJ
201700289349300410,231352692,BD
201700289349300410,231352692,VI
201700469349301030,590949880,SP
201710449349301216,390806297,UK
201720179349301302,381369604,CA
201730449349302358,560530242,IT
201730099349300323,420680466,IT
201730099349300323,420680466,MT
201730099349300323,420680466,UK
201730099349300323,420680466,GM
201700629349301000,621504678,UK
201730469349303193,930401259,AU
201700729349300115,910236600,IT
201710799349300201,750851900,UK
201710469349302271,160743126,CJ
201700739349301015,430653369,CJ
201710529349300401,350868074,UK
201740459349302144,710239576,UK
201720629349300907,540505977,CJ
201710739349300781,941156599,CJ
201700609349300125,344428219,GM
201720419349301297,540506314,FR
201720419349301297,540506314,UK
201730449349300628,390833608,CJ
201700469349300720,150532239,FR
201700469349300720,150532239,KE
201700469349300720,150532239,SP
201700469349300720,150532239,UK
201700469349302080,910473310,CJ
201700469349302080,910473310,CS
201740469349301394,131632522,CJ
201700419349301605,410693960,CJ
201730319349300408,231352664,BD
201730319349300408,231352664,CJ
201730319349300408,231352664,EI
201730319349300408,231352664,VI
201730339349300208,231352698,BD
201730339349300208,231352698,CJ
201730339349300208,231352698,EI
201730339349300208,231352698,JE
201730339349300208,231352698,UC
201730739349300033,986001062,AS
201730739349300033,986001062,BE
201730739349300033,986001062,BU
201730739349300033,986001062,CA
201730739349300033,986001062,CB
201730739349300033,986001062,CH
201730739349300033,986001062,CI
201730739349300033,986001062,EZ
201730739349300033,986001062,FR
201730739349300033,986001062,HK
201730739349300033,986001062,HU
201730739349300033,986001062,IN
201730739349300033,986001062,LO
201730739349300033,986001062,PE
201730739349300033,986001062,PK
201730739349300033,986001062,RI
201730739349300033,986001062,RS
201730739349300033,986001062,UK
201730739349300033,986001062,UP
201730739349300033,986001062,VM
201700729349300710,530196549,BE
201700729349300710,530196549,SP
201740589349301034,930391586,CS
201710419349301101,131624158,VI
201710419349301101,131624158,CJ
201710419349301101,131624158,UK
201710419349301101,131624158,CA
201710419349301101,131624158,GM
201710419349301101,131624158,FR
201710419349301101,131624158,IT
201710419349301101,131624158,NL
201710419349301101,131624158,NO
201710419349301101,131624158,SW
201710419349301101,131624158,SZ
201730739349301043,952944594,OC
201700679349300145,986001141,CA
201730829349300518,540506306,CJ
201730829349300518,540506306,GK
201740599349300729,741109748,CJ
201701089349300230,160743150,UK
201731089349300038,410708577,UK
201701089349301300,362722198,CH
201721109349301007,381358014,FR
201721109349301007,381358014,GM
201721109349301007,381358014,KE
201721109349301007,381358014,SP
201720989349300607,250965376,IT
201711029349300736,750800689,UK
201711079349300946,953075415,UK
201740909349300524,340714818,AU
201711029349300116,042300472,SP
201700979349300740,111630830,FR
201700979349300740,111630830,IT
201700979349300740,111630830,SP
201701089349300625,590624440,AS
