object_id,ein,SkdH_FnnclAssstncPlcyInd,SkdH_WrttnPlcyInd,SkdH_MstHsptlsPlcyInd,SkdH_IndvHsptlTlrdPlcyInd,SkdH_AllHsptlsPlcyInd,SkdH_FPGRfrncFrCrInd,FrCrOthPrcntg_OthrInd,SkdH_Prcnt200Ind,FrCrOthPrcntg_FrCrOthrPct,SkdH_Prcnt100Ind,SkdH_Prcnt150Ind,SkdH_Prcnt200DInd,DscntdCrOthPrcntg_DscntdCrOthrPct,DscntdCrOthPrcntg_OthrInd,SkdH_Prcnt250Ind,SkdH_Prcnt300Ind,SkdH_Prcnt350Ind,SkdH_Prcnt400Ind,SkdH_FPGRfrncDscntdCrInd,SkdH_FrCrMdcllyIndgntInd,SkdH_FnnclAssstncBdgtInd,SkdH_ExpnssExcdBdgtInd,SkdH_UnblTPrvdCrInd,SkdH_AnnlCmmntyBnftRprtInd,SkdH_RprtPblcllyAvlblInd,FnnclAssstncAtCstTyp_ActvtsOrPrgrmsCnt,FnnclAssstncAtCstTyp_PrsnsSrvdCnt,FnnclAssstncAtCstTyp_TtlCmmntyBnftExpnsAmt,FnnclAssstncAtCstTyp_DrctOffsttngRvnAmt,FnnclAssstncAtCstTyp_NtCmmntyBnftExpnsAmt,FnnclAssstncAtCstTyp_TtlExpnsPct,UnrmbrsdMdcd_ActvtsOrPrgrmsCnt,UnrmbrsdMdcd_PrsnsSrvdCnt,UnrmbrsdMdcd_TtlCmmntyBnftExpnsAmt,UnrmbrsdMdcd_DrctOffsttngRvnAmt,UnrmbrsdMdcd_NtCmmntyBnftExpnsAmt,UnrmbrsdMdcd_TtlExpnsPct,UnrmbrsdCsts_ActvtsOrPrgrmsCnt,UnrmbrsdCsts_PrsnsSrvdCnt,UnrmbrsdCsts_TtlCmmntyBnftExpnsAmt,UnrmbrsdCsts_DrctOffsttngRvnAmt,UnrmbrsdCsts_NtCmmntyBnftExpnsAmt,UnrmbrsdCsts_TtlExpnsPct,TtlFnnclAssstncTyp_ActvtsOrPrgrmsCnt,TtlFnnclAssstncTyp_PrsnsSrvdCnt,TtlFnnclAssstncTyp_TtlCmmntyBnftExpnsAmt,TtlFnnclAssstncTyp_DrctOffsttngRvnAmt,TtlFnnclAssstncTyp_NtCmmntyBnftExpnsAmt,TtlFnnclAssstncTyp_TtlExpnsPct,CmmntyHlthSrvcs_ActvtsOrPrgrmsCnt,CmmntyHlthSrvcs_PrsnsSrvdCnt,CmmntyHlthSrvcs_TtlCmmntyBnftExpnsAmt,CmmntyHlthSrvcs_DrctOffsttngRvnAmt,CmmntyHlthSrvcs_NtCmmntyBnftExpnsAmt,CmmntyHlthSrvcs_TtlExpnsPct,HlthPrfssnsEdctn_ActvtsOrPrgrmsCnt,HlthPrfssnsEdctn_PrsnsSrvdCnt,HlthPrfssnsEdctn_TtlCmmntyBnftExpnsAmt,HlthPrfssnsEdctn_DrctOffsttngRvnAmt,HlthPrfssnsEdctn_NtCmmntyBnftExpnsAmt,HlthPrfssnsEdctn_TtlExpnsPct,SbsdzdHlthSrvcs_ActvtsOrPrgrmsCnt,SbsdzdHlthSrvcs_PrsnsSrvdCnt,SbsdzdHlthSrvcs_TtlCmmntyBnftExpnsAmt,SbsdzdHlthSrvcs_DrctOffsttngRvnAmt,SbsdzdHlthSrvcs_NtCmmntyBnftExpnsAmt,SbsdzdHlthSrvcs_TtlExpnsPct,Rsrch_ActvtsOrPrgrmsCnt,Rsrch_PrsnsSrvdCnt,Rsrch_TtlCmmntyBnftExpnsAmt,Rsrch_DrctOffsttngRvnAmt,Rsrch_NtCmmntyBnftExpnsAmt,Rsrch_TtlExpnsPct,CshAndInKndCntrbtns_ActvtsOrPrgrmsCnt,CshAndInKndCntrbtns_PrsnsSrvdCnt,CshAndInKndCntrbtns_TtlCmmntyBnftExpnsAmt,CshAndInKndCntrbtns_DrctOffsttngRvnAmt,CshAndInKndCntrbtns_NtCmmntyBnftExpnsAmt,CshAndInKndCntrbtns_TtlExpnsPct,TtlOthrBnfts_ActvtsOrPrgrmsCnt,TtlOthrBnfts_PrsnsSrvdCnt,TtlOthrBnfts_TtlCmmntyBnftExpnsAmt,TtlOthrBnfts_DrctOffsttngRvnAmt,TtlOthrBnfts_NtCmmntyBnftExpnsAmt,TtlOthrBnfts_TtlExpnsPct,TtlCmmntyBnfts_ActvtsOrPrgrmsCnt,TtlCmmntyBnfts_PrsnsSrvdCnt,TtlCmmntyBnfts_TtlCmmntyBnftExpnsAmt,TtlCmmntyBnfts_DrctOffsttngRvnAmt,TtlCmmntyBnfts_NtCmmntyBnftExpnsAmt,TtlCmmntyBnfts_TtlExpnsPct,TtlCmmnttyBldngActy_ActvtsOrPrgrmsCnt,TtlCmmnttyBldngActy_PrsnsSrvdCnt,TtlCmmnttyBldngActy_TtlCmmntyBnftExpnsAmt,TtlCmmnttyBldngActy_DrctOffsttngRvnAmt,TtlCmmnttyBldngActy_NtCmmntyBnftExpnsAmt,TtlCmmnttyBldngActy_TtlExpnsPct,PhysclImprvAndHsng_ActvtsOrPrgrmsCnt,PhysclImprvAndHsng_PrsnsSrvdCnt,PhysclImprvAndHsng_TtlCmmntyBnftExpnsAmt,PhysclImprvAndHsng_DrctOffsttngRvnAmt,PhysclImprvAndHsng_NtCmmntyBnftExpnsAmt,PhysclImprvAndHsng_TtlExpnsPct,EcnmcDvlpmnt_ActvtsOrPrgrmsCnt,EcnmcDvlpmnt_PrsnsSrvdCnt,EcnmcDvlpmnt_TtlCmmntyBnftExpnsAmt,EcnmcDvlpmnt_DrctOffsttngRvnAmt,EcnmcDvlpmnt_NtCmmntyBnftExpnsAmt,EcnmcDvlpmnt_TtlExpnsPct,CmmntySpprt_ActvtsOrPrgrmsCnt,CmmntySpprt_PrsnsSrvdCnt,CmmntySpprt_TtlCmmntyBnftExpnsAmt,CmmntySpprt_DrctOffsttngRvnAmt,CmmntySpprt_NtCmmntyBnftExpnsAmt,CmmntySpprt_TtlExpnsPct,EnvrnmntlImprvmnts_ActvtsOrPrgrmsCnt,EnvrnmntlImprvmnts_PrsnsSrvdCnt,EnvrnmntlImprvmnts_TtlCmmntyBnftExpnsAmt,EnvrnmntlImprvmnts_DrctOffsttngRvnAmt,EnvrnmntlImprvmnts_NtCmmntyBnftExpnsAmt,EnvrnmntlImprvmnts_TtlExpnsPct,LdrshpDvlpmnt_ActvtsOrPrgrmsCnt,LdrshpDvlpmnt_PrsnsSrvdCnt,LdrshpDvlpmnt_TtlCmmntyBnftExpnsAmt,LdrshpDvlpmnt_DrctOffsttngRvnAmt,LdrshpDvlpmnt_NtCmmntyBnftExpnsAmt,LdrshpDvlpmnt_TtlExpnsPct,CltnBldng_ActvtsOrPrgrmsCnt,CltnBldng_PrsnsSrvdCnt,CltnBldng_TtlCmmntyBnftExpnsAmt,CltnBldng_DrctOffsttngRvnAmt,CltnBldng_NtCmmntyBnftExpnsAmt,CltnBldng_TtlExpnsPct,HlthImprvmntAdvccy_ActvtsOrPrgrmsCnt,HlthImprvmntAdvccy_PrsnsSrvdCnt,HlthImprvmntAdvccy_TtlCmmntyBnftExpnsAmt,HlthImprvmntAdvccy_DrctOffsttngRvnAmt,HlthImprvmntAdvccy_NtCmmntyBnftExpnsAmt,HlthImprvmntAdvccy_TtlExpnsPct,WrkfrcDvlpmnt_ActvtsOrPrgrmsCnt,WrkfrcDvlpmnt_PrsnsSrvdCnt,WrkfrcDvlpmnt_TtlCmmntyBnftExpnsAmt,WrkfrcDvlpmnt_DrctOffsttngRvnAmt,WrkfrcDvlpmnt_NtCmmntyBnftExpnsAmt,WrkfrcDvlpmnt_TtlExpnsPct,OthrCmmnttyBldngActy_ActvtsOrPrgrmsCnt,OthrCmmnttyBldngActy_PrsnsSrvdCnt,OthrCmmnttyBldngActy_TtlCmmntyBnftExpnsAmt,OthrCmmnttyBldngActy_DrctOffsttngRvnAmt,OthrCmmnttyBldngActy_NtCmmntyBnftExpnsAmt,OthrCmmnttyBldngActy_TtlExpnsPct,BdDbtExpnsRprtdInd,BdDbtExpnsAmt,BdDbtExpnsAttrbtblAmt,RmbrsdByMdcrAmt,CstOfCrRmbrsdByMdcrAmt,MdcrSrplsOrShrtfllAmt,CstAccntngSystmInd,CstTChrgRtInd,OthrInd,WrttnDbtCllctnPlcyInd,FnnclAssstncPrvsnInd,HsptlFcltsCnt,FcltyNm
201803199349303295,111631796,true,true,-,-,-,true,-,-,-,X,-,-,-,-,-,-,-,X,true,true,true,true,false,true,true,-,-,13129732,2895183,10234549,0.01260,-,-,156377536,154305825,2071711,0.00260,-,-,-,-,-,-,-,-,169507268,157201008,12306260,0.01520,-,-,1002714,-,1002714,0.00120,-,-,88701542,26785143,61916399,0.07630,-,-,11455181,11234984,220197,0.00030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101159437,38020127,63139310,0.07780,-,-,270666705,195221135,75445570,0.09300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,true,21366877,1680384,156222778,141420550,14802228,-,X,-,true,true,1,4
201833189349304138,363196629,true,true,-,-,X,true,-,X,-,-,-,-,600.,X,-,-,-,-,true,true,true,true,false,true,true,-,-,7476509,113567,7362942,0.01190,-,-,84800628,112903662,-,-,-,-,-,-,-,-,-,-,92277137,113017229,7362942,0.01190,-,-,3719972,-,3719972,0.00600,-,-,32212214,6059021,26153193,0.04220,-,-,4471788,4149142,322646,0.00050,-,-,-,-,-,-,-,-,684159,-,684159,0.00110,-,-,41088133,10208163,30879970,0.04980,-,-,133365270,123225392,38242912,0.06170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,22132576,-,106004982,95666174,10338808,-,X,-,true,true,1,7
201803189349309990,362739299,1,1,-,-,X,1,-,X,-,-,-,-,600.000000000000,X,-,-,-,-,1,1,1,0,-,1,1,-,14941,2898352,0,2898352,0.00720,-,69978,58810634,43536196,15274438,0.03810,-,-,-,-,-,-,-,84919,61708986,43536196,18172790,0.04530,-,68191,2649479,462967,2186512,0.00550,-,482,466733,32361,434372,0.00110,-,-,-,-,-,-,-,-,332347,112932,219415,0.00050,-,2020,16486708,7718196,8768512,0.02190,-,70693,19935267,8326456,11608811,0.02900,-,155612,81644253,51862652,29781601,0.07430,-,26098,185103,-,185103,0.00050,-,-,-,-,-,-,-,-,-,-,-,-,-,26098,185103,0,185103,0.00050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3797068,0,103575242,100984944,2590298,-,X,-,1,1,3,3
201813169349302906,390830664,1,1,-,-,X,1,-,X,-,-,-,-,-,-,-,-,X,-,1,1,0,-,-,1,1,-,926,1072504,-,1072504,0.00620,-,34257,23289800,18302113,4987687,0.02910,-,-,-,-,-,-,-,35183,24362304,18302113,6060191,0.03530,21,841656,1487136,-,1487136,0.00870,4,37954,995631,-,995631,0.00580,4,1723,3476108,-,3476108,0.02020,-,-,-,-,-,-,6,631915,1764539,-,1764539,0.01030,35,1513248,7723414,-,7723414,0.04500,35,1548431,32085718,18302113,13783605,0.08030,5,241352,54909,-,54909,0.00020,1,1,-,-,-,-,1,239442,5704,-,5704,0.00000,1,854,40733,-,40733,0.00020,1,55,422,-,422,0.00000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1000,8050,-,8050,0.00000,0,4243720,1113377,23657070,26973293,-3316223,-,X,-,1,1,1,2
201833179349300403,340753531,true,true,-,-,-,true,X,-,0000000250.000000000000,-,-,-,-,-,-,-,-,X,true,true,true,true,false,true,true,-,-,1153784,907266,246518,0.00080,-,-,33940943,18909026,15031917,0.04650,-,-,-,-,-,-,-,-,35094727,19816292,15278435,0.04730,-,-,957236,37981,919255,0.00280,-,-,618905,28118,590787,0.00180,-,-,12856574,10510137,2346437,0.00730,-,-,-,-,-,-,-,-,61857,1820,60037,0.00020,-,-,14494572,10578056,3916516,0.01210,-,-,49589299,30394348,19194951,0.05940,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,true,4511180,-,79607118,88290087,-8682969,-,-,X,true,true,1,8
201833169349301343,310785684,true,true,-,-,X,true,-,X,-,-,-,-,-,-,-,-,-,X,true,true,true,false,-,true,true,-,-,787860,787860,0,0.0,-,-,61973614,46663663,15309951,0.0503,-,-,0,0,0,0.0,0,0,62761474,47451523,15309951,0.0503,-,-,683445,11976,671469,0.0022,-,-,635595,0,635595,0.0021,-,-,754602,312841,441761,0.0015,-,-,0,0,0,0.0,-,-,143467,200,143267,0.0005,0,0,2217109,325017,1892092,0.0062,0,0,64978583,47776540,17202043,0.0566,0,0,34935,0,34935,0.0001,-,-,-,-,0,0.0,-,-,-,-,0,0.0,-,-,34751,-,34751,0.0001,-,-,184,-,184,0.0000,-,-,-,-,0,0.0,-,-,-,-,0,0.0,-,-,-,-,0,0.0,-,-,-,-,0,0.0,-,-,-,-,0,0.0,false,28294112,0,57726674,56531919,1194755,X,-,-,true,true,2,40
201912279349301841,640306253,1,1,-,-,X,1,-,X,-,-,-,-,-,-,-,-,-,X,1,1,1,1,0,1,1,-,-,843009,-,843009,0.01110,-,-,2899934,1811020,1088914,0.01440,-,-,44046,21900,22146,0.00030,-,-,3786989,1832920,1954069,0.02580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8829881,5466972,3362909,0.04440,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8829881,5466972,3362909,0.04440,-,-,12616870,7299892,5316978,0.07020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,424810,31245,6041129,3805528,2235601,X,-,-,1,1,1,1
201942279349303564,540506332,1,1,-,-,X,1,-,X,-,-,-,-,-,-,-,-,-,X,1,0,1,0,-,1,1,-,-,55016356,-,55016356,0.04710,-,-,130290526,108153914,22136612,0.01890,-,-,-,-,-,-,-,-,185306882,108153914,77152968,0.06600,10362,27885,3247313,433256,2814057,0.00240,1722,1223,49370559,11242461,38128098,0.03260,-,-,-,-,-,-,2,2337,719762,-,719762,0.00060,83,7647,1870344,110000,1760344,0.00150,12169,39092,55207978,11785717,43422261,0.03710,12169,39092,240514860,119939631,120575229,0.10310,143,13502,560044,5453,554591,0.00030,2,-,10500,-,10500,0.00000,12,7425,168381,-,168381,0.00010,44,1200,48203,-,48203,0.00000,1,-,150,-,150,0.00000,-,-,-,-,-,-,61,963,9652,4194,5458,0.00000,16,3905,30977,1259,29718,0.00000,7,9,292181,-,292181,0.00020,-,-,-,-,-,-,0,81687854,-,273707962,281546878,-7838916,-,X,-,1,1,2,95
201922259349301202,060646554,1,1,-,-,-,1,X,-,250.000000000000,-,-,-,550.000000000000,X,-,-,-,-,1,1,1,1,0,1,1,-,21427,61665320,56755277,4910043,0.00920,-,119948,144358328,105851520,38506808,0.07250,-,0,0,0,-,-,-,141375,206023648,162606797,43416851,0.08170,11,2774,1255915,0,1255915,0.00240,3,183,13595279,0,13595279,0.02560,3,37794,30366199,25815396,4550803,0.00860,0,0,0,0,-,-,2,75852,212143,0,212143,0.00040,19,116603,45429536,25815396,19614140,0.03700,19,257978,251453184,188422193,63030991,0.11870,14,889,90219,-,90219,0.00020,1,0,12500,0,12500,0.00000,1,0,29530,0,29530,0.00010,3,704,43094,0,43094,0.00010,0,0,0,0,-,-,0,0,0,0,-,-,1,0,1158,0,1158,0.00000,0,0,0,0,-,-,1,185,3937,0,3937,0.00000,7,0,0,0,-,-,1,13097196,-,196582546,203745055,-7162509,X,-,-,1,1,1,24
201912259349302266,362167060,true,true,-,-,X,true,-,X,-,-,-,-,600,X,-,-,-,-,true,true,true,true,false,true,true,-,-,16678807,170449,16508358,0.0102,-,-,135457902,107450168,28007734,0.0173,-,-,-,-,0,0.0,0,0,152136709,107620617,44516092,0.0276,-,-,1928344,-,1928344,0.0012,-,-,58782252,12588821,46193431,0.0286,-,-,43051561,23131808,19919753,0.0123,-,-,25924445,19975294,5949151,0.0037,-,-,2495991,-,2495991,0.0015,0,0,132182593,55695923,76486670,0.0474,0,0,284319302,163316540,121002762,0.0749,0,0,31675,0,31675,0.0000,-,-,-,-,0,0.0,-,-,-,-,0,0.0,-,-,43,-,43,0.0000,-,-,-,-,0,0.0,-,-,1007,-,1007,0.0000,-,-,48,-,48,0.0000,-,-,30223,-,30223,0.0000,-,-,354,-,354,0.0000,-,-,-,-,0,0.0,true,8354279,-,458933245,499626251,-40693006,-,X,-,true,true,4,32
