object_id,ein,Dsc,BkVlAmt,MthdVltnCd
201613209349307101,237424429,BONDS AND FIXED INCOME FUNDS,3964268,F
201613209349307101,237424429,MUTUAL FUNDS,7724630,F
201613209349307101,237424429,CASH AND CASH EQUIVALENTS,2890772,F
201613209349307101,237424429,PRIVATE EQUITY FUNDS,110500,F
201613209349307101,237424429,CASH VALUE OF LIFE INSURANCE,85259,F
201633209349310688,351358522,Financial derivatives and other financial products
201633209349310688,351358522,Closely-held equity interests
201643169349302144,570314415,Time deposits and money market,2311455,F
201643169349302144,570314415,Municipal securities - annuity,181726,F
201643169349302144,570314415,Cash surrender value of life insurance,62933,F
201643199349310564,560767736,LIMITED PARTNERSHIPS,8045487,F
201643199349310564,560767736,CASH EQUIVALENTS,4065768,F
201643169349301529,580593438,PRIVATE EQUITIES,17508370,F
201643169349301529,580593438,REAL ESTATE,915300,F
201603469349300300,043663198,Financial derivatives and other financial products
201603469349300300,043663198,Closely-held equity interests
201613499349300521,530196583,MONEY MARKET FUNDS AND TEMPORARY INVESTMENTS,1417150,F
201613499349300521,530196583,OTHER LEVEL 2 & 3 INVESTMENTS,188947657,F
201613499349300521,530196583,REAL ESTATE,32150001,F
201613499349300521,530196583,LIMITED PARTNERSHIP & PRIVATE EQUITY,25609134,F
201613499349300521,530196583,VENTURE CAPITAL,4556970,F
201623489349300937,530196603,Private Fund Investments,1043985753,F
201643209349313144,274600814,CORPORATE BONDS,255923,F
201623569349300222,840442429,INVESTMENT IN REAL ESTATE,7223844,C
201643549349300659,470418641,COINS,9180,F
201643549349300659,470418641,MINERAL RIGHTS,188703,F
201643549349300659,470418641,ART WORK,5000,F
201643549349300659,470418641,BONDS,19953,F
201643549349300659,470418641,CDS,799394,F
201643549349300659,470418641,MONEY MARKET ACCOUNTS,739147,F
201643549349300659,470418641,MUTUAL FUNDS,2681165,F
201643549349300659,470418641,LOAN PARTICIPATION CONTRACT,136173,F
201643549349300659,470418641,LIMITED PARTNERSHIPS,273117,F
201623339349300732,610492351,OTHER SECURITIES,52080907,F
201643209349307744,251065148,SECURITIES,29777630,F
201643199349310599,942933165,MUTUAL FUNDS,80459500,F
201623169349302652,362167773,TRUST STOCK FUNDS,7390872,F
201623169349302652,362167773,OTHER INVESTMENTS,771073,F
201623169349302652,362167773,LAND,13950000,F
201623169349302652,362167773,NORTHERN TRUST TRUST STOCK FUNDS,36245439,F
201623169349302652,362167773,MAKENA INVESTMENT FUND,3289542,F
