object_id,ein,BndRfrncCd,PrcdrsCrrctvActnInd
201923169349301547,340714585,RetDoc1053100001,A,1
201923169349301547,340714585,RetDoc1053100001,B,1
201923169349301547,340714585,RetDoc1053100001,C,1
201923169349301547,340714585,RetDoc1053100001,D,1
201933199349307538,710236856,A,true
201933199349307538,710236856,B,true
201943199349302004,160743102,A,0
201912889349300246,344429091,A,true
201912889349300246,344429091,B,true
201913519349300816,750827421,A,true
201913519349300816,750827421,B,true
201903089349301190,350895832,A,1
201913169349306776,550643304,990K:1,A,true
202041979349305184,042103542,IRS990ScheduleK,A,true
202041979349305184,042103542,IRS990ScheduleK,B,true
202041979349305184,042103542,IRS990ScheduleK,C,true
202041979349305184,042103542,IRS990ScheduleK,D,true
202041979349307414,951664112,IRS990ScheduleK,A,true
202041979349307414,951664112,IRS990ScheduleK,B,true
202041979349307414,951664112,IRS990ScheduleK,C,true
202041979349307414,951664112,IRS990ScheduleK,D,true
202031969349302723,580603153,A,0
202021929349302767,820200907,A,1
201912849349300401,381443369,A,true
202041069349300824,160743040,A,true
202041069349300824,160743040,B,true
202041069349300824,160743040,C,true
202020699349301007,042111203,A,1
202020699349301007,042111203,B,1
202020699349301007,042111203,C,1
202020319349300222,620485733,A,1
201943189349303504,131624135,IRS990ScheduleK,A,true
201943189349303504,131624135,IRS990ScheduleK,B,true
201943189349303504,131624135,IRS990ScheduleK,C,true
201923179349308327,742358522,A,1
201923179349308327,742358522,B,1
201923179349308327,742358522,C,1
202011689349300911,630312914,IRS990ScheduleK1,A,true
202011689349300911,630312914,IRS990ScheduleK1,B,true
202011689349300911,630312914,IRS990ScheduleK1,C,true
202011689349300911,630312914,IRS990ScheduleK1,D,true
202001149349301525,951641455,A,1
202000799349300935,520705392,A,false
202002529349300650,340714460,A,1
202010569349300701,560657294,A,0
202010569349300701,560657294,B,0
201913119349301796,810231774,A,0
201913119349301796,810231774,B,0
201913119349301796,810231774,C,0
202041369349305314,951664123,A,1
202040949349300014,560556753,A,1
202040949349300014,560556753,B,1
202000379349300105,131624158,RetDoc1053100001,A,1
202000379349300105,131624158,RetDoc1053100001,B,1
202000379349300105,131624158,RetDoc1053100001,C,1
202000379349300105,131624158,RetDoc1053100001,D,1
202010919349301701,952962604,A,1
201932959349300308,340909974,A,0
201932959349300308,340909974,B,0
202021399349300237,540573801,A,1
202021399349300237,540573801,B,1
202011899349301786,050312747,A,1
202011899349301786,050312747,B,1
202011899349301786,050312747,C,1
202021489349300987,420703280,A,1
202021489349300987,420703280,B,1
202010729349300726,840402707,A,true
201923189349306802,581581103,A,0
202041419349301764,941156566,A,true
202031369349303828,020274509,A,true
202031369349303828,020274509,B,true
202031369349303828,020274509,C,true
202031369349303828,020274509,D,true
202040839349300359,410694747,A,1
202040839349300359,410694747,B,1
202041359349301949,591023117,A,true
202041359349301949,591023117,B,true
202041359349301949,591023117,C,true
202041359349301949,591023117,D,true
201933129349301853,042104451,A,1
202011919349301236,131624067,A,true
202011919349301236,131624067,B,true
202011919349301236,131624067,C,true
202011919349301236,131624067,D,true
202041979349301854,210634501,IRS990ScheduleK1,A,true
