SkdD_TtlBkVlScrtsAmt|Total of book value
ClslyHldEqtyIntrsts_BkVlAmt|Closely held equity interests; Book value
FnnclDrvtvs_BkVlAmt|Financial derivatives; Book value
ClslyHldEqtyIntrsts_MthdVltnCd|Closely held equity interests; Method of valuation
FnnclDrvtvs_MthdVltnCd|Financial derivatives; Method of valuation
