object_id,ein,CntrctrNm_PrsnNm,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
202031959349303373,042103578,CEDAR ROCK CAPITAL PARTNERS,11 BROADWAY SUITE 965,NEW YORK,NY,10019,INVESTMENT MGMT,455423
202041059349300414,420680404,CAMBRIDGE ASSOCIATES LLC,125 HIGH STREET,BOSTON,MA,02110,INVESTMENT MGMT,298470
202041059349300414,420680404,SODEXO INC AFFILIATES,610 WEST 4TH STREET,STORM LAKE,IA,50588,FOOD SERVICE,2359308
202041059349300414,420680404,MOGO MARKETING MEDIA INC,21 TAMAL VISTA BLVD SUITE 207,CARTE MADERA,CA,94925,MARKETING,438750
202041059349300414,420680404,EAB GLOBAL INC,2445 M STREET NW,WASHIGTON,DC,20037,EDUCATIONAL SERVICES,394470
202041059349300414,420680404,JENZABAR,PO BOX 55018,BOSTON,MA,02205,TECHNOLOGY,270307
202041059349300924,363005527,Akademos Inc,200 Connecticut Ave 3C,Norwalk,CT,06854,Online College Bookstore,254903
202041059349300924,363005527,Best Quality Facility Services LLC,10015 Pacific Ave,Franklin Park,IL,60131,Cleaning and maintenance,134477
202001279349300320,580566116,Holder Construction Group LLC,3300 Riverwood Parkway Suite 1200,Atlanta,GA,303393967,Construction/Contractor,7310093
202001279349300320,580566116,Aramark Services Inc,141 E College Ave,Decatur,GA,30030,Food service contractor,3016394
202001279349300320,580566116,Padgett Services LLC,140 Mountain Brook Dr,Canton,GA,30115,HVAC & Mechanical Maintenance,870046
202001279349300320,580566116,Hogan Construction Group LLC,5075 Avalon Ridge Parkway,Norcross,GA,30071,Construction/Contractor,763780
202001279349300320,580566116,Jenkins & Peer Architects,112 South Tryon Street,Charlotte,NC,28284,Architects/Contractor,647465
202003509349300130,470418641,ALADDIN FOOD MANAGEMENT SERVICES,2400 ANSYS DR SUITE 404,CANONSBURG,PA,15317,FOOD SERVICE,979538
202003509349300130,470418641,PLEXUSS INC,231 MARKET PLACE SUITE 241,SAN RAMON,CA,94583,EDUCATION TECHNOLOGY,522250
202003509349300130,470418641,JLC INC,PO BOX 147,YORK,NE,68467,CONSTRUCTION,304814
202003509349300130,470418641,JENZABAR,PO BOX 55018,BOSTON,MA,02205,TECHNOLOGY,107758
202003509349300130,470418641,CONNECTED U,1050 E 2ND STREET 155,EDMOND,OK,73034,EDUCATION,100625
202033189349301553,160743126,METZ CULINARY MANAGEMENT,2 WOODLAND DRIVE,DALLAS,PA,18612,FOOD SERVICE,1621458
202041059349301334,260152908,VITROBERTSON LLC,2305 HISTORIC DECATUR,SAN DIEGO,CA,92106,MARKETING,4843149
202041059349301334,260152908,UNITED HEALTH INSURANCE COMPANY,DEPT 846940,LOS ANGELES,CA,90084,HEALTH SERVICES,3277336
202041059349301334,260152908,FIDELITY MANAGEMENT TRUST COMPANY,82 DEVONSHIRE ST F38,BOSTON,MA,02109,RETIREMENT SERVICES,2777588
202041059349301334,260152908,TIAA-CREFF SERVICES,8500 ANDREW CARNEGIE BLVD,CHARLOTTE,NC,28262,RETIREMENT SERVICES,2662947
202041059349301334,260152908,KAISER FOUNDATION HEALTH PLAN INC,PO BOX 80204,LOS ANGELES,CA,90080,HEALTH SERVICES,2334554
202041969349300214,042103552,Bond Brothers Inc,145 Spring Street,EVERETT,MA,02149,Construction,22938436
202041969349300214,042103552,Sodexo Inc,PO Box 360170,PITTSBURGH,PA,152516170,Food Service,16320375
202041969349300214,042103552,Consigli Construction Co Inc,72 Sumner Street,MILFORD,MA,01757,Construction,3744957
202041969349300214,042103552,Integration Partners Corp,12 Hartwell Avenue,LEXINGTON,MA,02421,Telecommunication,2535586
202041969349300214,042103552,Collaborative Solutions LLC,11190 Sunrise Valley Drive Suite 1,RESTON,VA,20191,Consulting,2346109
202041969349300229,042104230,Aqueduct Technologies Inc,333 Wyman Street Suite 300,WALTHAM,MA,02451,IT Managed Services,311163
202041969349300229,042104230,Foley Hoag LLP,155 Seaport Boulevard,BOSTON,MA,02210,Legal,255430
202041969349300229,042104230,Solomon McCown Co Inc,177 Milk Street Suite 610,BOSTON,MA,02109,Communications,173349
202041969349300229,042104230,Wise Construction,21 East Street,WINCHESTER,MA,01890,Construction,147457
202041969349300229,042104230,Clappazzola Partners,PO Box 419,MASPHEE,MA,02649,Event Planning,121000
202041969349301239,042103637,Turner Construction Company,2 Seaport Lane - 2nd Floor,Boston,MA,02210,Construction,65594803
202041969349301239,042103637,Skidmore Owings Merrill LLP,14 Wall Street,New York,NY,10005,Engineering,7429085
202041969349301239,042103637,Elaine Construction Company,1037 Chestnut Street,Newton Upper Falls,MA,02464,Construction,2324630
