object_id,ein,RcptOfIntAnntsRntsRyltsInd,GftGrntOrCpCntrTOthOrgInd,GftGrntCpCntrFrmOthOrgInd,LnsOrGrntsTOthrOrgInd,LnsOrGrntsFrmOthOrgInd,DvRltdOrgnztnInd,AsstSlTOthrOrgInd,AsstPrchsFrmOthrOrgInd,AsstExchngInd,RntlOfFcltsTOthOrgInd,RntlOfFcltsFrmOthOrgInd,PrfrmOfSrvcsFrOthOrgInd,PrfrmOfSrvcsByOthrOrgInd,ShrngOfFcltsInd,PdEmplysShrngInd,RmbrsmntPdTOthrOrgInd,RmbrsmntPdByOthrOrgInd,TrnsfrTOthrOrgInd,TrnsfrFrmOthrOrgInd
201612439349300026,042964630,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
201612439349300601,251525572,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201612449349300636,946181807,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201612449349300786,221936892,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201632469349300108,223091017,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
201632519349300313,611339396,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false
201642509349300209,300308421,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201642519349300434,650880021,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
201602399349300625,050482260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201612459349300426,132626135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201612459349300431,820476202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201612459349301101,410128105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201612469349300231,364150724,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
201612509349300356,311358126,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201612509349300501,431769074,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
201612529349300801,660380485,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201602449349301405,522198798,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
