object_id,ein,SttsWhrGmngCndctdCd
201603199349310195,390978445,WI
201623489349300937,530196603,DC
201730139349301653,560532303,NC
201720839349300517,250965557,PA
201710529349300401,350868074,IN
201710739349300781,941156599,CA
201700449349300620,250965576,PA
201720419349301657,381624684,MI
201710869349300231,370661494,IL
201741239349301299,580568698,GA
201701289349300805,340714687,OH
201731239349300308,350868152,IN
201710939349300956,131967322,NY
201740979349300739,610448560,KY
201710459349303916,941156617,CA
201741329349300909,350868188,IN
201741359349307834,460224600,SD
201633499349301218,596046500,FL
201731359349306803,530196603,DC
201731359349302893,810235407,MT
201721359349313602,310537516,OH
201711359349311656,050258810,RI
201701359349312925,951860996,CA
201711329349300031,430654876,MO
201701329349307365,390806261,WI
201701359349304835,030179403,VT
201741309349303924,210634584,NJ
201731309349301618,141442493,NY
201721329349306287,381359081,MI
201721309349301857,362167725,IL
201721259349300622,640303084,MS
201731359349308603,381374230,MI
201711319349301326,111797182,NY
201721309349300917,060662150,CT
201711329349303671,720423889,LA
201711349349300911,610444780,KY
201711949349300441,111630906,NY
