object_id,ein,DrctrOfSccssrInd,EmplyOfSccssrInd,OwnrOfSccssrInd,RcvCmpnstnInd,AsstsDstrbtdInd,RqrdTNtfyAGInd,AttrnyGnrlNtfdInd,LbltsPdInd,BndsOtstndngInd,BndLbltsDschrgdInd,DrctrOfSccssr2Ind,EmplyOfSccssr2Ind,OwnrOfSccssr2Ind,RcvCmpnstn2Ind
201503209349305010,236408773,false,false,false,false,true,true,true,true,false,-,-,-,-,-
201543149349301889,530174589,-,-,-,-,-,-,-,-,-,-,false,false,false,false
201513289349300401,202184996,false,false,false,false,false,false,-,false,false,-,-,-,-,-
201532589349300923,620548919,1,1,0,0,1,0,0,1,0,-,-,-,-,-
201610409349300941,043349703,0,0,0,0,1,0,0,0,0,-,-,-,-,-
201620369349300532,760796633,0,0,0,0,1,1,1,1,0,-,-,-,-,-
201621379349301857,550370128,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201600479349301495,660379122,-,-,-,-,-,-,-,-,-,-,false,true,false,false
201611379349310701,920041013,false,false,false,false,true,true,true,true,false,false,-,-,-,-
201640469349301534,620819352,1,1,0,0,1,1,1,1,0,-,-,-,-,-
201631019349300203,237022431,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201640489349300729,651230483,true,true,false,false,true,false,-,true,false,false,true,true,false,false
201612219349301726,592548486,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201631699349300228,530174589,false,false,false,false,true,true,true,true,false,-,-,-,-,-
