object_id,ein,NndscrmntryPlcyStmtInd,PlcyStmtInBrchrsEtcInd,PlcyPblczdVBrdcstMdInd,MntnRclCmpRcsInd,MntnSchlrshpsRcsInd,MntnCpyOfBrchrsEtcInd,MntnCpyOfAllSlInd,DscrmntRcStdntsRghtsInd,DscrmntRcAdmssPlcyInd,DscrmntRcEmplmFcltyInd,DscrmntRcSchsInd,DscrmntRcEdcPlcyInd,DscrmntRcUsOfFcltsInd,DscrmntRcAthltPrgInd,DscrmntRcOthrActyInd,GvrnmntFnnclAdRcvdInd,GvrnmntFnnclAdRvkdInd,CmplncWthRvPrc7550Ind
201412379349300321,454620000,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201412469349300551,610470593,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201411359349307171,263763572,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201421299349301817,030486416,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201422669349300042,850164940,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201442749349301019,133916822,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201422749349301027,630338081,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201441349349303199,540784341,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201441509349300029,954003255,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201401399349300200,562057124,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201421679349300807,020332032,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201411409349300326,134204944,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201412189349200021,237178313,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201412029349300321,620481463,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201432179349301233,330499514,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201412609349301006,942245517,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201422169349300037,341037893,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201402769349300805,240795439,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201431979349300818,200932939,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201402559349300200,350715530,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201442559349300864,510205293,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201442269349304709,942933165,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201432179349301198,931226663,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
