object_id,ein,RcptOfIntAnntsRntsRyltsInd,GftGrntOrCpCntrTOthOrgInd,GftGrntCpCntrFrmOthOrgInd,LnsOrGrntsTOthrOrgInd,LnsOrGrntsFrmOthOrgInd,DvRltdOrgnztnInd,AsstSlTOthrOrgInd,AsstPrchsFrmOthrOrgInd,AsstExchngInd,RntlOfFcltsTOthOrgInd,RntlOfFcltsFrmOthOrgInd,PrfrmOfSrvcsFrOthOrgInd,PrfrmOfSrvcsByOthrOrgInd,ShrngOfFcltsInd,PdEmplysShrngInd,RmbrsmntPdTOthrOrgInd,RmbrsmntPdByOthrOrgInd,TrnsfrTOthrOrgInd,TrnsfrFrmOthrOrgInd
201743179349306214,470378779,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
201703179349307400,111635088,true,true,true,true,true,false,false,false,true,true,false,true,true,false,true,true,true,true,true
201733179349306133,226019101,true,false,true,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false
201743189349308204,362166946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201723199349305457,210634462,false,true,true,true,true,false,false,false,false,true,true,true,false,true,true,true,false,false,false
201703189349300745,390830664,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
201713179349305346,570828733,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
201743199349303834,111661359,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
201703479349300920,910615846,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
201703429349300225,750800653,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201713469349300631,943204136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
201713489349300116,390806263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201723199349302842,250965270,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
201743189349305244,208091013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201723199349309022,560554230,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1
201703149349302985,150533577,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
201713199349303801,160743900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
201743189349312639,231352008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
201743179349306289,230973290,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
201703189349310940,420698265,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
201713199349303036,131740127,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
201713199349300126,550753754,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
201733149349303183,131624135,false,false,true,true,false,false,false,false,false,true,true,false,true,false,false,true,true,false,false
201743149349301614,135564934,false,false,true,true,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true
201703179349303905,541547408,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
201733179349302768,362169147,true,false,true,false,false,true,false,false,false,true,true,true,true,false,false,true,true,true,true
201713199349300531,131740115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201733189349309863,111633486,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false
201703189349308985,160743134,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
201703189349308925,480543728,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true
201733179349307748,210662542,false,false,false,true,true,-,false,false,false,false,false,false,false,true,true,false,true,true,true
201703149349302475,363196629,false,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true,true,true,true
201713199349319176,566049935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201743189349311234,472578950,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201713189349311031,370661223,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
201723429349300542,660498051,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false
201723479349300722,470385129,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1
201723489349300207,620548913,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201723199349317017,271503981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201723389349300157,590624459,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201743189349302884,112868878,false,false,true,false,false,-,false,false,false,false,false,false,false,false,false,true,false,false,false
201733189349311103,421351526,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
201723429349300512,560530240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201713149349301601,136171197,false,false,true,false,false,false,false,false,true,true,false,false,true,true,true,true,true,false,true
201743189349306854,310785684,false,true,true,true,true,false,false,false,false,true,false,false,false,false,true,false,true,true,false
201703179349301205,560767736,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201703179349301200,221487173,false,false,true,true,true,false,false,false,false,true,false,false,false,true,true,true,true,true,false
201733149349304118,941570130,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
201713189349310926,810994377,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
201733189349310803,420680452,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
201723389349300437,540575812,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201743459349300439,840442429,false,false,true,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false
201733189349311053,362739299,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0
201703189349312335,430654874,false,false,false,true,true,false,false,false,false,false,false,false,true,true,true,true,true,true,true
201743199349316699,221487307,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
201723199349310852,710236856,true,false,true,true,false,false,false,false,false,true,true,false,false,false,false,true,true,false,false
201723329349300802,560530251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201723329349300722,350868101,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false
201743199349318069,112626155,false,false,false,false,false,-,false,false,false,false,false,false,false,false,false,true,false,false,false
201713199349309136,350892672,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false
201723259349300002,041843040,true,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,false,false
201713189349305446,416011702,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1
201743199349302999,160743102,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
201743199349307739,231352626,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
201723329349300637,750808791,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
