object_id,ein,DrctrOfSccssrInd,EmplyOfSccssrInd,OwnrOfSccssrInd,RcvCmpnstnInd,AsstsDstrbtdInd,RqrdTNtfyAGInd,AttrnyGnrlNtfdInd,LbltsPdInd,BndsOtstndngInd,BndLbltsDschrgdInd,DrctrOfSccssr2Ind,EmplyOfSccssr2Ind,OwnrOfSccssr2Ind,RcvCmpnstn2Ind
201743429349300309,386080947,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201733459349301168,910654200,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201743559349300029,460385443,0,1,0,0,1,0,0,1,0,-,-,-,-,-
201830389349301263,582533742,false,false,false,false,false,false,-,false,false,-,-,-,-,-
201800169349300400,383589120,0,0,0,0,1,1,1,1,0,-,-,-,-,-
201840529349301114,340877803,-,-,-,-,-,-,-,-,-,-,false,false,false,false
201810559349300621,263550133,-,-,-,-,-,-,-,-,-,-,false,false,false,false
201841359349305014,470384159,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201841359349314544,591113963,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201800689349200510,263550133,false,false,false,false,true,true,true,true,false,false,-,-,-,-
201821349349306132,463697983,-,-,-,-,-,-,-,-,-,-,0,1,0,0
201821459349300547,273438569,false,false,false,false,true,true,true,true,false,false,-,-,-,-
201821349349306977,461378910,0,0,0,0,0,0,0,0,0,-,-,-,-,-
201810829349300641,900755265,0,0,0,0,1,1,1,1,0,-,-,-,-,-
201821359349306202,870641318,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201831349349304568,550394213,-,-,-,-,-,-,-,-,-,-,false,false,false,false
201821369349301402,410789402,-,-,-,-,true,false,-,true,false,false,true,false,false,false
201811349349303656,462192790,0,0,0,0,0,0,0,0,0,-,-,-,-,-
201812469349200206,273586404,0,0,0,0,0,0,0,0,0,-,-,-,-,-
201842409349200219,352530088,false,false,false,false,true,false,false,true,false,false,-,-,-,-
201832569349300723,237022431,0,0,0,0,1,1,1,1,0,-,-,-,-,-
201833129349301553,208939971,0,0,0,0,1,1,1,1,0,-,-,-,-,-
