object_id,ein,RgnTxt,OffcsCnt,EmplyCnt,OfActvtsCndctdTxt,RgnTtlExpndtrsAmt
201643149349302579,912120259,NORTH AMERICA,0,1,PROGRAM SERVICES,EDUCATIONAL SERVICES,13000
201603129349302435,136171197,East Asia and the Pacific,0,0,Program Services,CLINICAL,97197
201603129349302435,136171197,Europe (Including Iceland and Greenland),0,0,Program Services,CLINICAL,169308
201603129349302435,136171197,North America,0,0,Program Services,CLINICAL,46964
201603129349302435,136171197,Middle East and North Africa,0,0,Program Services,CLINICAL,750
201603129349302435,136171197,Europe (Including Iceland and Greenland),0,0,Grantmaking,INDIV. ASSISTANCE,72182
201603129349302435,136171197,North America,0,0,Grantmaking,INDIV. ASSISTANCE,1000
201603129349302435,136171197,South America,0,0,Grantmaking,INDIV. ASSISTANCE,2000
201603149349301725,480543766,Europe (Including Iceland and Greenland),Program Services,STUDY ABROAD AWARDS,172464
201603149349301725,480543766,Central America and the Caribbean,Investments,1461519
201623099349301137,540129860,CENTRAL AMERICA AND THE CARIBBEAN -,0,0,INVESTMENTINVESTMENTS,ENDOWMENT,3900163
201623099349301137,540129860,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIUM",0,0,PROGRAM SERVICES,STUDY ABROAD,10319
201623099349301137,540129860,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIUM",0,1,PROGRAM SERVICES,RECRUITMENT,7000
201603099349300500,362167792,Europe,0,0,Program Service,Study Abroad,541937
201603099349300500,362167792,Middle East,0,0,Program Service,Study Abroad,253022
201603099349300500,362167792,Sub-Saharan Africa,0,0,Program Service,Radio Training,14709
201603199349308345,910615846,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIUM",0,0,PROGRAM SERVICES,DEBATE TRIP,7010
201603199349308345,910615846,NORTH AMERICA,0,0,PROGRAM SERVICES,MISSION TRIP,13120
201603199349308345,910615846,MIDDLE EAST AND NORTH AFRICA,0,0,PROGRAM SERVICES,INSTRUCTIONAL STUDY TRIP,47412
201603199349308345,910615846,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,PROGRAM SERVICES,INSTRUCTIONAL STUDY TRIP,47891
201603199349308345,910615846,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,PROGRAM SERVICES,INSTRUCTIONALSTUDY TOUR,55848
201603199349308345,910615846,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,PROGRAM SERVICES,INSTRUCTIONAL STUDY TOUR,75034
201603199349308345,910615846,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,PROGRAM SERVICES,INSTRUCTIONAL STUDY TOUR,10170
201603199349308345,910615846,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,PROGRAM SERVICES,INSTRUCTIONAL STUDY TOUR,16088
201603199349308345,910615846,CENTRAL AMERICA AND THE CARIBBEAN,0,0,PROGRAM SERVICES,INSTRUCTIONAL STUDY TOUR,22353
201603199349308345,910615846,RUSSIA AND NEIGHBORING STATES,0,0,PROGRAM SERVICES,NURSING INTERNATIONAL STUDY TOUR,14426
201603199349308345,910615846,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,NURSING INTERNATIONAL STUDY TOUR,11087
201603199349308345,910615846,SOUTH ASIA,0,0,PROGRAM SERVICES,NURSING INTERNATIONAL STUDY TOUR,31542
201603199349308345,910615846,SUB-SAHARAN AFRICA,0,0,PROGRAM SERVICES,NURSING INTERNATIONAL STUDY TRIP,33486
201603199349308345,910615846,RUSSIA AND NEIGHBORING STATES,0,0,PROGRAM SERVICES,NURSING INTERNATIONAL STUDY TRIP,19354
201603199349308345,910615846,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,NURSING INTERNATIONAL STUDY TOUR,34103
201603199349308345,910615846,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,RECRUITING TRIP,3712
201603199349308345,910615846,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,RECRUITING TRIP,5322
201603199349308345,910615846,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,RECRUITING TRIP,9515
201603199349308345,910615846,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,RECRUITING TRIP,7518
201603199349308345,910615846,NORTH AMERICA,0,0,PROGRAM SERVICES,CONFERENCE SPEAKER,1000
201603199349308345,910615846,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,STUDENT SERVICES,MISSION TRIP,38021
201603199349308345,910615846,EAST ASIA AND THE PACIFIC,0,0,STUDENT SERVICES,MISSION TRIP,13967
201603199349308345,910615846,SOUTH AMERICA,0,0,STUDENT SERVICES,MISSION TRIP,256
201603199349308345,910615846,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,STUDENT SERVICES,MISSION TRIP,256
201603199349308345,910615846,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,STUDENT SERVICES,MISSION TRIP,12686
201603199349308345,910615846,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,STUDENT SERVICES,MISSION TRIP,598
201603199349308345,910615846,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,STUDENT SERVICES,MISSION TRIP,256
201603199349308345,910615846,CENTRAL AMERICA AND THE CARIBBEAN,0,0,STUDENT SERVICES,MISSION TRIP,25247
201633129349300918,150532053,CENTRAL AMERICA AND THE CARIBBEAN,0,0,INVESTMENT HOLDINGS IN HEDGE FUNDS THAT ARE LEGALLY INCORPORATED IN THIS REGION.,2740311
201632889349301163,161476258,Central America and the Caribbean,0,0,Program Services,Faculty Led Study Abroad,17600
201632889349301163,161476258,Central America and the Caribbean,0,0,Program Services,Fieldwork,16700
201632889349301163,161476258,East Asia and the Pacific,0,0,Program Services,Student International Recruitment,33300
201632889349301163,161476258,East Asia and the Pacific,0,0,Program Services,Student International Recruitment/Study Aboard,9400
201632889349301163,161476258,Europe (including Iceland and Greenland),0,0,Program Services,Conference Attendance,4300
201632889349301163,161476258,Europe (including Iceland and Greenland),0,0,Speaking at Seminars or Conferences,Conference Attendance and Presentation,17200
201632889349301163,161476258,Europe (including Iceland and Greenland),0,0,Program Services,Faculty Exchange,19100
201632889349301163,161476258,Europe (including Iceland and Greenland),0,0,Program Services,Faculty Led Study Abroad,58400
201632889349301163,161476258,Europe (including Iceland and Greenland),0,0,Program Services,Fieldwork,10700
201632889349301163,161476258,Europe (including Iceland and Greenland),0,0,Program Services,Student International Recruitment,1700
