object_id,ein,RgnTxt,OffcsCnt,EmplyCnt,OfActvtsCndctdTxt,RgnTtlExpndtrsAmt
201443189349300214,410698301,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,INVESTMENTS,N/A,245521
201433189349304123,390821861,SUB-SAHARAN AFRICA - MALAWI,0,0,GRANTS AND SCHOLARSHIPS,AID US MALAWI PROGRAM - EDUCATE STUDENTS SELECTED BY AGENCY FOR INTERNATIONAL DEVELOPMENT (AID) TO FULLFILL A MASTERS OF EDUCATION DEGREE WITH AN EMPHASIS IN EARLY GRADE READING AND INSTRUCTION.,64210
201433189349304123,390821861,"SUB-SAHARAN AFRICA - GHANA, KENYA, UGANDA",0,0,GRANTS AND SCHOLARSHIPS,"ZAWADI AFRICA EDUCATION FUND - SPONSORSHIP OF 4 STUDENTS FOR THEIR EDUCATION, BOOKS AND LIVING EXPENSES FOR 4 YEARS TO GRADUATION.",145422
201433189349304123,390821861,SUB-SAHARAN AFRICA - MALAWI,0,0,GRANTS,AID US MALAWI PROGRAM - LAKELAND ALSO PROVIDES FUNDING TO HELP THE MALAWI MINISTRY OF EDUCATION AND LAKELAND'S PROGRAM GRADUATES TO BUILD RURAL SCHOOLS AND OTHER NEEDS.,11260
201423219349310327,430652649,CENTRAL AMERICA,0,2,PROGRAM SERVICES,RECRUITING,53460
201423219349310327,430652649,EUROPE,0,0,PROGRAM SERVICES,STUDY ABROAD TUITION,26333
201423219349310327,430652649,NEW ZEALAND,0,0,PROGRAM SERVICES,STUDY ABROAD TUITION,3250
201433239349300603,750827421,East Asia and the Pacific,Program services,Tuition aid,369462
201433239349300603,750827421,Central America and the Caribbean,Program services,theology book aid,760
201433239349300603,750827421,Middle East and North Africa,Program services,Isreal Study Tour,55000
201433239349300603,750827421,Central America and the Caribbean,Investments,6707752
201433439349300608,410789397,Europe,1,2,PROGRAM SERVICES,THEOLOGICAL TRAINING,13317
201400519349300405,470938240,RUSSIA,1,1,PROGRAM SERVICES,RELIGIOUS TEACHING,286524
201411259349301806,454971921,"South America - Argentina, Bolivia,",0,0,Program Services,Annual educational abroad experience for students.,161856
201442549349300249,010833168,Europe,0,0,Program Services,Meeting/conferences,6000
201442549349300249,010833168,North America,0,0,Program Services,Educ./conferences,75000
201442549349300249,010833168,South America,0,0,Program Services,Meeting/conferences,3500
201442549349300249,010833168,South Asia,0,0,Program Services,Meeting/conferences,3000
201421679349300807,020332032,Central America and the Caribbean,0,0,Investment,885733
