object_id,ein,SttsWhrCpyOfRtrnIsFldCd
201733189349312788,262616570,CA
201703189349300425,742841146,AR
201703179349306700,133459531,NY
201703179349308695,203695075,CA
201713199349318906,113811029,CA
201713469349300626,166031585,NY
201703419349300440,850387957,NM
201703479349300920,910615846,WA
201703479349300920,910615846,CA
201703479349300920,910615846,ID
201713469349300631,943204136,CA
201713189349309806,161359213,NY
201743189349313484,953384325,CA
201713199349318281,463116226,CA
201703189349310400,452880238,GA
201703429349300000,010802914,CA
201703189349308560,581418202,GA
201743249349300234,954469618,CA
201743189349312639,231352008,AK
201743189349312639,231352008,AZ
201743189349312639,231352008,CO
201743189349312639,231352008,KY
201743189349312639,231352008,MD
201743189349312639,231352008,MA
201743189349312639,231352008,MI
201743189349312639,231352008,NH
201743189349312639,231352008,NY
201743189349312639,231352008,OH
201743189349312639,231352008,OK
201743189349312639,231352008,OR
201743189349312639,231352008,WA
201743179349306289,230973290,PA
201733149349303423,042104451,MA
201733149349303423,042104451,MI
201733149349303423,042104451,NH
201733149349303423,042104451,NY
201733149349303423,042104451,OR
201733149349303423,042104451,SC
201713199349313076,260833212,AZ
201733189349306558,231937954,PA
201743259349300804,370661231,IL
201713199349300126,550753754,WV
201743209349301324,237075717,NY
201713179349305811,250965603,PA
201743179349308264,320237828,OR
201743179349308264,320237828,CA
201703179349307890,680298406,CA
201703489349300545,460623034,TX
201723209349300927,830306202,CA
201703189349313305,451171945,CA
201733149349303603,410698301,MN
201733149349303603,410698301,CA
201713189349313481,351358522,IN
201713199349318201,953104298,CA
201713199349319176,566049935,NC
201723489349300207,620548913,TN
201733189349308343,201612906,VA
201743199349313719,204811544,IL
201723479349300827,350869063,IN
201713149349301601,136171197,NY
201723199349310802,274967732,WI
201713149349301516,240795439,PA
201723199349312827,611531458,IL
201713189349310926,810994377,IL
201713189349312621,452494161,CA
201733189349313563,473609601,HI
201743459349300439,840442429,KY
201743459349300439,840442429,MI
201743459349300439,840442429,NH
201743459349300439,840442429,OR
201743459349300439,840442429,SC
201703189349312500,261901554,CA
201723199349310332,770495799,CA
201703179349303590,475138693,OH
201703189349312670,330728290,CA
201703189349306125,020223955,NH
201723329349300802,560530251,NC
201723329349300722,350868101,IN
201713139349300211,200617900,TN
201723259349300002,041843040,MA
201713199349309401,930433696,OR
201743199349307739,231352626,PA
201743189349312319,953921204,CA
201713179349307886,912163512,CA
201713189349303286,390806325,AK
201713189349303286,390806325,CO
201713189349303286,390806325,DC
201713189349303286,390806325,IL
201713189349303286,390806325,IA
201713189349303286,390806325,KY
201713189349303286,390806325,LA
201713189349303286,390806325,MD
201713189349303286,390806325,MA
201713189349303286,390806325,MI
201713189349303286,390806325,MO
201713189349303286,390806325,NV
201713189349303286,390806325,NH
201713189349303286,390806325,NY
201713189349303286,390806325,ND
201713189349303286,390806325,OH
201713189349303286,390806325,OR
201713189349303286,390806325,SC
201713189349303286,390806325,SD
201713189349303286,390806325,WA
201713189349303286,390806325,WI
201723179349306102,263031521,MN
201713199349306141,470938240,IA
201723249349300207,203287316,TN
201713469349300511,201730126,NM
201703129349302310,364500805,MI
201703109349302220,931226663,OR
201733189349312483,273321328,UT
201703189349301430,541863192,VA
201713199349315336,204775521,MI
201713199349315336,204775521,OH
201713199349317246,880320324,NV
201703149349301450,541854399,VA
201713199349314361,112705352,NY
201713199349318536,472856220,CA
201723179349301327,274600814,NY
201723149349303207,472237488,CA
201723149349303207,472237488,GA
201723149349303207,472237488,OR
201723149349303207,472237488,MN
201733469349300323,316064854,OH
201713119349303176,383975568,IL
201713109349300526,150532053,AL
201713109349300526,150532053,AK
201713109349300526,150532053,AZ
201713109349300526,150532053,AR
201713109349300526,150532053,CA
201713109349300526,150532053,CO
201713109349300526,150532053,CT
201713109349300526,150532053,DE
201713109349300526,150532053,FL
201713109349300526,150532053,GA
201713109349300526,150532053,ID
201713109349300526,150532053,IN
201713109349300526,150532053,IA
201713109349300526,150532053,KS
201713109349300526,150532053,KY
201713109349300526,150532053,LA
201713109349300526,150532053,ME
201713109349300526,150532053,MD
201713109349300526,150532053,MA
201713109349300526,150532053,MI
201713109349300526,150532053,MN
201713109349300526,150532053,MS
201713109349300526,150532053,MO
201713109349300526,150532053,MT
201713109349300526,150532053,NE
201713109349300526,150532053,NV
201713109349300526,150532053,NH
201713109349300526,150532053,NJ
201713109349300526,150532053,NM
201713109349300526,150532053,ND
201713109349300526,150532053,OH
201713109349300526,150532053,OK
201713109349300526,150532053,OR
201713109349300526,150532053,PA
201713109349300526,150532053,RI
201713109349300526,150532053,SC
201713109349300526,150532053,SD
201713109349300526,150532053,TN
201713109349300526,150532053,TX
201713109349300526,150532053,UT
201713109349300526,150532053,VT
201713109349300526,150532053,VA
201713109349300526,150532053,WA
201713109349300526,150532053,WV
201713109349300526,150532053,WI
201713109349300526,150532053,WY
201713109349300526,150532053,IL
201713109349300526,150532053,HI
201713109349300526,150532053,NC
201713109349300526,150532053,NY
201743199349301919,820538478,MD
201723179349305542,541919810,CO
201723179349305542,541919810,HI
201723179349305542,541919810,KY
201723179349305542,541919810,MD
201723179349305542,541919810,MN
201723179349305542,541919810,MS
201723179349305542,541919810,NH
201723179349305542,541919810,NY
201723179349305542,541919810,OR
201723179349305542,541919810,SC
201723179349305542,541919810,VA
201723179349305542,541919810,WI
201703319349300450,260030436,NY
201743429349300619,410970173,MN
201733389349300373,383771471,CA
201733409349300858,610492351,KY
201743049349301874,452940053,NY
201703119349302980,350886846,IN
201723149349302147,275006096,CA
201713329349300326,580619030,GA
201703119349302515,540129860,VA
201733199349318633,912132082,FL
201703049349300120,350715530,IN
201703079349300225,237275328,WA
201703329349300735,586055244,GA
201743429349300034,710430687,TN
201743429349300034,710430687,NY
201743429349300309,386080947,MI
201743199349309429,942933165,CA
201703139349302080,272918042,VA
201723319349300137,381977050,MI
201800379349300210,042104775,MA
201820329349301602,660177776,FL
201820329349301602,660177776,NY
201820329349301602,660177776,PR
201800399349300300,610444763,KY
201703199349319005,710653475,AR
201820089349300342,010211497,OK
201840429349300159,208765327,SC
201743559349301209,953156658,CA
201810309349300611,951916051,CA
201840389349301314,410693960,AK
201840389349301314,410693960,MA
201840389349301314,410693960,MI
201840389349301314,410693960,MN
201840389349301314,410693960,NM
201840389349301314,410693960,WA
201810359349300001,952906949,CA
201830309349300513,620476666,TN
201800439349300340,391399196,WI
201810239349300501,580644897,GA
201731669349301043,043009002,MA
201810169349301241,330611334,CA
201713499349300956,596046500,FL
201840189349301104,952882724,CA
201810469349301506,930386908,OR
201830389349301263,582533742,GA
201810159349300941,522242995,NJ
201800259349300735,042108346,MA
201800169349300400,383589120,MI
201723079349302042,954559065,CA
201703569349300100,630771624,AL
201820329349300137,344430762,OH
201810389349300641,350868127,IN
201741659349300744,730590036,OK
201701719349300330,451859686,CT
201810459349301626,610444650,AK
201810459349301626,610444650,AR
201810459349301626,610444650,HI
201810459349301626,610444650,KY
201810459349301626,610444650,MD
201810459349301626,610444650,MA
201810459349301626,610444650,MI
201810459349301626,610444650,NH
201810459349301626,610444650,NJ
201810459349301626,610444650,ND
201810459349301626,610444650,OH
201810459349301626,610444650,OK
201810459349301626,610444650,OR
201810459349301626,610444650,SC
201810459349301626,610444650,WA
201810459349301626,610444650,NV
201810459349301626,610444650,CO
201810459349300646,056015988,MA
201830449349300723,530199507,AK
201830449349300723,530199507,CO
201830449349300723,530199507,DC
201830449349300723,530199507,KY
201830449349300723,530199507,MD
201830449349300723,530199507,MA
201830449349300723,530199507,NH
201830449349300723,530199507,NY
201830449349300723,530199507,ND
201830449349300723,530199507,OR
201830449349300723,530199507,SC
201830449349300723,530199507,WA
201820249349301457,311048513,IN
201810269349301031,912056120,WA
201721719349300042,472702558,AK
201743049349301514,237456795,MN
201840369349301014,382333042,MI
201743549349300414,750827421,MD
201743549349300414,750827421,MI
201743549349300414,750827421,NH
201743549349300414,750827421,PA
201743549349300414,750827421,SC
201820369349300447,150532239,AK
201820369349300447,150532239,MD
201820369349300447,150532239,MN
201820369349300447,150532239,ND
201820369349300447,150532239,NH
201820369349300447,150532239,NY
201820369349300447,150532239,SC
201820369349300447,150532239,WA
201741709349300519,270404689,CA
201820159349300002,461192687,NC
201810379349301191,730579264,OK
201820099349300002,204499806,MD
201723559349300027,232215278,PA
201701739349301200,952988463,CA
201800449349301825,390806154,WI
201840449349300234,042152671,MA
201800329349300120,271870108,CA
201733529349300038,474548573,NY
201820439349300337,310747997,CA
201820439349300337,310747997,OH
201820439349300202,042104258,MA
201743199349302244,954366755,CA
201830119349301263,952113260,CA
201703549349300335,300639724,MA
201703229349300400,800454615,IL
201800389349301260,222041389,NJ
201713109349301871,043250289,MA
201840459349301189,222586208,NY
201840459349301189,222586208,VT
201810119349300206,205400381,TN
201830169349300628,560532303,NC
201713569349300306,208939971,OH
201713119349302696,570314415,SC
201830449349301708,951744369,CA
201733199349318898,943200772,CA
201800449349301385,591237047,CA
201800249349301300,420680466,MD
201800249349301300,420680466,MI
201800249349301300,420680466,NH
201820129349300117,410695509,MN
201820399349301307,410696906,MN
201742839349301309,350868181,IN
201840389349300309,362170142,IL
201713189349305806,251065148,AK
201713189349305806,251065148,CO
201713189349305806,251065148,KY
201713189349305806,251065148,ME
201713189349305806,251065148,MD
201713189349305806,251065148,MA
201713189349305806,251065148,MI
201713189349305806,251065148,NH
201713189349305806,251065148,NY
201713189349305806,251065148,OH
201713189349305806,251065148,OK
201713189349305806,251065148,OR
201713189349305806,251065148,SC
201713189349305806,251065148,WA
201820249349300732,270989006,MD
201800469349301425,134349811,MS
201800549349300820,150532204,CA
201810609349300711,420707114,CA
201820519349300527,060647016,CT
201820519349300617,461812625,FL
201800589349300410,310970262,IN
201820859349301112,640428676,AK
201820859349301112,640428676,CO
201820859349301112,640428676,DC
201820859349301112,640428676,KY
201820859349301112,640428676,MD
201820859349301112,640428676,MA
201820859349301112,640428676,MI
201820859349301112,640428676,NH
201820859349301112,640428676,NJ
201820859349301112,640428676,NY
201820859349301112,640428676,OH
201820859349301112,640428676,OK
201820859349301112,640428676,OR
201820859349301112,640428676,SC
201820859349301112,640428676,WA
201820859349301112,640428676,WI
201810549349300436,440589787,AL
201810549349300436,440589787,AK
201810549349300436,440589787,AR
201810549349300436,440589787,CA
201810549349300436,440589787,CO
201810549349300436,440589787,CT
201810549349300436,440589787,DC
201810549349300436,440589787,FL
201810549349300436,440589787,GA
201810549349300436,440589787,HI
201810549349300436,440589787,LA
201810549349300436,440589787,ME
201810549349300436,440589787,MD
201810549349300436,440589787,MA
201810549349300436,440589787,MI
201810549349300436,440589787,MN
201810549349300436,440589787,MS
201810549349300436,440589787,NH
201810549349300436,440589787,NC
201810549349300436,440589787,OH
201810549349300436,440589787,OR
201810549349300436,440589787,SC
201810549349300436,440589787,UT
201810549349300436,440589787,VA
201810549349300436,440589787,WA
201810549349300436,440589787,WV
201810419349300101,231424055,PA
201820689349301257,951644035,CA
201830439349300918,620484185,TN
201810549349300036,231365953,PA
201820669349300807,910473310,AK
201820669349300807,910473310,CA
201820669349300807,910473310,CO
201820669349300807,910473310,MA
201820669349300807,910473310,NH
201820669349300807,910473310,SC
201820669349300807,910473310,WA
201820689349300707,042002060,MA
201800619349300335,344431169,CO
201800619349300335,344431169,KY
201800619349300335,344431169,AK
201800619349300335,344431169,MD
201800619349300335,344431169,MA
201800619349300335,344431169,MI
201800619349300335,344431169,NH
201800619349300335,344431169,OH
201800619349300335,344431169,OK
201800619349300335,344431169,OR
201800619349300335,344431169,SC
201800619349300335,344431169,WA
201800889349300500,251120678,PA
201800889349300500,251120678,AK
201800889349300500,251120678,WA
201800889349300500,251120678,CO
201800889349300500,251120678,KY
201800889349300500,251120678,MD
201800889349300500,251120678,MA
201800889349300500,251120678,MI
201800889349300500,251120678,NH
201800889349300500,251120678,OH
201800889349300500,251120678,OK
201800889349300500,251120678,OR
201800889349300500,251120678,SC
201800889349300500,251120678,NV
201800889349300500,251120678,NY
201800679349301100,240795441,PA
201830509349300808,452586013,OR
201830669349300508,591407629,FL
201840689349301029,611124267,AL
