object_id,ein,BndRfrncCd,PrcdrsCrrctvActnInd
201443159349302919,042104451,A,1
201443189349301799,410693962,RetDoc1053100001,A,0
201443189349301799,410693962,RetDoc1053100001,B,0
201443189349301799,410693962,RetDoc1053100001,C,0
201443189349301799,410693962,RetDoc1053100001,D,0
201403529349300205,580566143,A,0
201403529349300205,580566143,B,0
201423529349300412,370661211,A,0
201423529349300412,370661211,B,0
201443189349300214,410698301,A,1
201443189349300214,410698301,B,1
201443189349300214,410698301,C,1
201443189349300214,410698301,D,1
201443229349301409,237424429,A,0
201433189349304123,390821861,A,1
201433189349304123,390821861,B,1
201433239349300603,750827421,A,true
201433239349300603,750827421,B,true
201412469349300551,610470593,A,0
201412469349300551,610470593,B,0
201412469349300551,610470593,C,0
201422749349301027,630338081,A,0
201432259349301133,541744996,A,0
201432259349301133,541744996,B,0
201402559349300200,350715530,A,false
201402869349300200,480548361,A,0
201412879349300241,344429091,IRS990ScheduleK,A,true
201412879349301026,630329409,A,0
201412879349301026,630329409,B,0
201412879349301026,630329409,C,0
201442879349300724,350868095,A,false
201442879349300724,350868095,B,false
201423149349302187,420686467,RetDoc1053100001,A,1
201423149349302187,420686467,RetDoc1053100001,B,1
201423149349302187,420686467,RetDoc1053100001,C,1
201423149349302187,420686467,RetDoc1053100001,D,1
201413289349300436,610466713,A,0
201433149349301113,390978445,A,0
201443159349300804,350885591,A,true
201433179349304333,250965603,RetDoc1053100001,A,1
201433179349304333,250965603,RetDoc1053100001,B,1
201433179349304333,250965603,RetDoc1053100001,C,1
201433179349304333,250965603,RetDoc1053100001,D,1
201433179349305423,391620530,A,1
201423169349304852,810231774,A,0
201443159349301729,450231180,A,0
201443159349301729,450231180,B,0
201443159349301729,450231180,C,0
201433179349304828,362167773,A,0
201433179349304828,362167773,B,0
201423169349304367,541666531,A,1
201413009349301051,420680460,A,1
201413009349301051,420680460,B,1
201412959349300126,480543782,A,0
201412959349301051,350868181,RetDoc1053100001,A,0
201412959349301051,350868181,RetDoc1053100001,B,0
201412959349301051,350868181,RetDoc1053100001,C,0
201412959349301051,350868181,RetDoc1053100001,D,0
201443429349300414,166031585,A,1
201443429349300414,166031585,B,1
201443429349300414,166031585,C,1
201403579349300325,521010577,A,0
201413449349300111,530196583,A,true
201413449349300111,530196583,B,true
201443219349309969,510305893,A,0
201443219349309969,510305893,B,0
201443219349309969,510305893,C,0
201413569349300716,560532296,A,true
201413569349300716,560532296,B,true
201413569349300716,560532296,C,true
201433499349301358,720467515,A,0
201433499349301358,720467515,B,0
201403529349300320,620475691,A,0
201403529349300320,620475691,B,0
201403579349300505,200258004,A,0
201413469349300116,570324915,A,1
201423389349300602,630329409,A,0
201423389349300602,630329409,B,0
201423389349300602,630329409,C,0
201413369349300501,420680408,A,1
201413369349300501,420680408,B,1
201403219349306900,201612906,A,0
201403219349306900,201612906,B,0
201433189349306488,362167855,A,0
201433189349306488,362167855,B,0
201433169349302723,480543766,A,true
201423179349304652,136171197,IRS990ScheduleK,A,false
201423179349304652,136171197,IRS990ScheduleK,B,false
201423179349304652,136171197,IRS990ScheduleK,C,false
201423179349304652,136171197,IRS990ScheduleK,D,false
201403219349306950,141423161,A,1
201403219349306950,141423161,B,1
201403219349306950,141423161,C,1
201403219349308850,230973290,A,0
201403219349308850,230973290,B,0
201403169349301835,390806325,A,1
201403179349302875,610444780,A,true
201403149349302850,420730347,A,0
201403149349302850,420730347,B,0
201413149349300801,340737794,A,false
201413149349301236,570314415,A,1
201413149349301236,570314415,B,1
201412879349300846,410694721,A,0
201412879349300846,410694721,B,0
201412879349300846,410694721,C,0
201412879349300846,410694721,D,0
201413169349303271,370706154,A,0
201413169349303271,370706154,B,0
201423179349305002,010275130,A,1
201422909349300622,910615846,A,0
201422959349300427,480556726,A,0
201423189349307402,420681049,RetDoc1053100001,A,1
201423189349307402,420681049,RetDoc1053100001,B,1
201423189349307402,420681049,RetDoc1053100001,C,1
201423189349307402,420681049,RetDoc1053100001,D,1
201422879349301102,391399196,A,0
201422879349301102,391399196,B,0
201423219349300047,020223955,A,0
201442939349300314,596605703,A,1
201433429349300303,620485733,A,0
201433429349300303,620485733,B,0
201433369349300703,590624459,IRS990ScheduleK1,A,true
201433369349300703,590624459,IRS990ScheduleK1,B,true
201433369349300703,590624459,IRS990ScheduleK1,C,true
201433369349300703,590624459,IRS990ScheduleK1,D,true
201433219349310303,410789402,A,0
201432829349301033,610510937,A,0
201432829349301033,610510937,B,0
201432829349301033,610510937,C,0
201433169349301138,430471057,A,false
201433169349301138,430471057,B,false
201433219349308303,541863192,RetDoc1053100001,A,1
201433219349308303,541863192,RetDoc1053100001,B,1
201433219349308303,541863192,RetDoc1053100001,C,1
201433219349308303,541863192,RetDoc1053100001,D,1
201432889349300313,420680323,A,1
201432889349300313,420680323,B,1
201432889349300313,420680323,C,1
201432889349300313,420680323,D,1
201443099349300809,381627600,A,1
201402879349300145,381443369,A,true
201433179349305078,362166964,A,1
