object_id,ein,GrntRcrdsMntndInd,SbttlOffcsCnt,SbttlEmplysCnt,SbttlSpntAmt,CntnttnTtlOffcCnt,CntnttnTtlOffcCnt,CntnttnTtlEmplyCnt,CntnttnTtlEmplyCnt,CntntnSpntAmt,TtlOffcCnt,TtlEmplyCnt,TtlSpntAmt,Ttl501c3OrgCnt,TtlOthrOrgCnt,TrnsfrTFrgnCrpInd,IntrstInFrgnTrstInd,FrgnCrpOwnrshpInd,PssvFrgnInvstmstCInd,FrgnPrtnrshpInd,BycttCntrsInd
201931019349300333,141338498,true,-,-,3651301,-,-,-,-,5304526,0,-,8955827,-,-,true,false,true,true,true,true
201931019349300218,910236600,1,1,53,20636979,0,0,25,25,1122611,1,78,21759590,0,1,1,0,1,1,1,0
201900609349300805,980042539,1,-,-,-,-,-,-,-,-,1,4354,264282264,0,0,0,0,0,0,0,0
201900809349300610,480547702,true,-,-,5078619,-,-,-,-,-,-,-,5078619,-,-,false,false,false,false,false,false
201910189349300636,931071753,true,-,-,-,-,-,-,-,-,-,-,-,1,-,false,false,false,false,false,false
201940089349301129,596046500,false,1,11,112164,-,-,-,-,-,1,11,112164,-,-,false,false,false,false,false,false
201900999349300535,370661494,-,0,0,287331,0,0,0,0,0,0,0,287331,-,-,1,0,0,0,1,0
201940569349300119,470376524,-,0,0,5629298,0,0,0,0,0,0,0,5629298,-,-,1,0,0,0,0,0
201930509349300228,750851900,-,1,1,663700,0,0,0,0,0,1,1,663700,-,-,1,0,0,1,1,0
201930749349300603,840402707,true,-,118,210409,-,-,26,26,1507479,-,144,1717888,-,-,true,false,true,true,true,false
201930459349300823,222586208,-,-,-,-,-,-,-,-,-,0,0,176607,-,-,0,0,0,0,0,0
201930659349300838,520591694,0,0,0,8835774,0,0,0,0,0,0,0,8835774,-,-,1,0,1,0,1,0
201900219349300015,592961536,1,0,4,501743,0,0,0,0,0,0,4,501743,-,-,0,0,0,0,0,0
201940359349301054,231352664,1,-,-,-,-,-,-,-,-,0,3,297879,-,-,1,0,0,1,1,0
201900799349300340,540505922,1,-,-,-,-,-,-,-,-,1,2,656439,-,-,0,0,0,0,0,0
201910429349300411,135596846,1,3,6185,621415790,0,0,0,0,0,3,6185,621415790,-,-,1,1,1,1,1,1
201930869349300133,930386858,1,0,35,44155515,0,0,0,0,30829404,0,35,74984919,-,-,1,0,1,1,1,0
201910919349300316,231352621,1,-,-,-,-,-,-,-,-,0,0,198165487,-,-,1,0,1,1,1,1
201910889349300616,042111203,1,-,-,-,-,-,-,-,-,0,10,3625785,5,1,1,0,0,1,1,0
201900929349300135,452208063,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false
201930949349300013,221487354,true,0,143,746941,0,0,12,12,21861442,0,155,22608383,-,-,true,false,true,true,true,true
201920119349300102,131916574,-,0,0,9705776,0,0,0,0,0,0,0,9705776,-,-,0,0,1,1,0,0
201920919349300307,340714687,-,-,-,70131,-,-,-,-,-,-,-,70131,-,-,false,false,true,true,true,false
