object_id,ein,DrctrOfSccssrInd,EmplyOfSccssrInd,OwnrOfSccssrInd,RcvCmpnstnInd,AsstsDstrbtdInd,RqrdTNtfyAGInd,AttrnyGnrlNtfdInd,LbltsPdInd,BndsOtstndngInd,BndLbltsDschrgdInd,DrctrOfSccssr2Ind,EmplyOfSccssr2Ind,OwnrOfSccssr2Ind,RcvCmpnstn2Ind
201532279349300813,592548486,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201510439349302136,916033434,0,0,0,0,1,0,0,1,0,-,-,-,-,-
201500769349300605,562574128,0,0,0,0,0,1,0,0,0,-,-,-,-,-
201521059349301277,953075415,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201510869349300706,611242765,0,0,0,0,0,1,1,1,0,-,-,-,-,-
201541219349300039,050465628,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201511349349306141,540534607,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201531339349304403,237022431,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201520709349200722,562060526,false,false,false,false,false,false,-,true,false,-,-,-,-,-
201501899349300125,111630820,0,1,0,0,1,1,1,1,1,0,-,-,-,-
201511429349300036,751860688,-,-,-,-,-,-,-,-,-,-,false,false,false,false
201501359349302695,741613878,-,-,-,-,-,-,-,-,-,-,false,true,false,false
201502369349200010,272945207,true,false,false,false,true,false,-,false,false,-,-,-,-,-
201512249349300611,330786166,-,-,-,-,-,-,-,-,-,-,true,false,false,false
201541349349308649,453997908,-,-,-,-,-,-,-,-,-,-,0,0,0,0
