object_id,ein,RgnTxt,PrpsOfGrntTxt,CshGrntAmt,MnnrOfCshDsbrsmntTxt
201510129349300331,366069820,"NORTH AMERICA - CANADA AND MEXICO, BUT BUT NOT THE UNITED STATES","RELIEF, DEVELOPMENT, TRAINING, EDUCATION",46405,CHECK,FMV
201510129349300331,366069820,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIUM","RELIEF, DEVELOPMENT, TRAINING, EDUCATION",169923,WIRE,FMV
201510129349300331,366069820,SOUTH ASIA,"RELIEF, DEVELOPMENT, TRAINING, EDUCATION",218915,WIRE,FMV
201500309349301800,042111203,Europe (including Iceland and Greenland),research,27681,wire transfer,0
201500309349301800,042111203,"North America (including Canada and Mexico, but not the United States)",research,26257,check,0
201500309349301800,042111203,South Asia,research,25816,check,0
201500309349301800,042111203,South America,research,20420,wire transfer,0
201500439349300100,951744369,"Sub-Saharan Africa - Angola, Benin, Botswana, Burkina, Faso,",Foreign studies,1587200,Wire Transfer
201500439349300100,951744369,North America,Foreign Studies,48645,Wire Transfer
201520729349300742,730739626,Central America and the Caribbean,Mission facility fence,20000,Check
201520729349300742,730739626,East Asia and the Pacific,Bible distribution,12500,Check
201520729349300742,730739626,East Asia and the Pacific,Typhoon relief,6000,Check
201520729349300742,730739626,Middle East and North Africa,Food distribution,7482,Check
201520729349300742,730739626,South America,Ministerial housing,8000,Check
201510729349300421,530196549,North America,Subaward,23000,check
201500979349300030,362169145,Europe (Including Iceland and Greenland),Study abroad,13604,WIRE TRANS
201500979349300030,362169145,Europe (Including Iceland and Greenland),Study Abroad,10679,WIRE TRANS
201520919349300232,340714818,EUROPE (INCLUDING ICELAND & GREENLAND),GENERAL SUPPORT,1817197
201511049349301106,750827465,EAST ASIA AND THE PACIFIC,SCIENTIFIC STUDY,87279,CHECK,0,N/A,N/A
201511049349301106,750827465,RUSSIA AND NEIGHBORING STATES,SCIENTIFIC STUDY,8349,WIRE,0,N/A,N/A
201501049349300235,362167048,Europe (Including Iceland and Greenland),General Support,1098334,INTL. TRANS.,N/A,N/A
201511039349301351,910236600,SUB-SAHARAN AFRICA,SUPPORT LIBRARY AND CHURCH HALL PROJECTS,6500,WIRE TRANSFER
201531039349300443,590624458,Central America & the Caribbean,Research,36015,Check,N/A,N/A
201531039349300443,590624458,Central America & the Caribbean,Research,1207852,Wire Transfer,N/A,N/A
201531039349300443,590624458,Central America & the Caribbean,Research,8090,Wire Transfer,N/A,N/A
201531039349300443,590624458,Central America & the Caribbean,Research,9374,Wire Transfer,N/A,N/A
201531039349300443,590624458,East Asia & the Pacific,Research,105224,Check,N/A,N/A
201531039349300443,590624458,Europe,Research,61858,Check,N/A,N/A
201531039349300443,590624458,Europe,Research,24465,Check,N/A,N/A
201531039349300443,590624458,Europe,Research,25641,Check,N/A,N/A
201531039349300443,590624458,Europe,Research,30634,Check,N/A,N/A
201531039349300443,590624458,Europe,Research,40500,Check,N/A,N/A
201531039349300443,590624458,Europe,Research,236462,Check,N/A,N/A
201531039349300443,590624458,Europe,Research,57211,Wire Transfer,N/A,N/A
201531039349300443,590624458,Europe,Research,12960,Wire Transfer,N/A,N/A
201531039349300443,590624458,Europe,Research,25920,Wire Transfer,N/A,N/A
201531039349300443,590624458,Middle East & North Africa,Research,13011,Check,N/A,N/A
201531039349300443,590624458,Middle East & North Africa,Research,101538,Check,N/A,N/A
201531039349300443,590624458,Middle East & North Africa,Research,44948,Wire Transfer,N/A,N/A
201531039349300443,590624458,North America,Research,11701,Check,N/A,N/A
201531039349300443,590624458,North America,Research,207253,Check,N/A,N/A
201531039349300443,590624458,North America,Research,5763,Check,N/A,N/A
201531039349300443,590624458,North America,Research,5763,Check,N/A,N/A
201531039349300443,590624458,North America,Research,13250,Check,N/A,N/A
201531039349300443,590624458,South America,Research,20650,Wire Transfer,N/A,N/A
201531039349300443,590624458,South America,Research,25152,Check,N/A,N/A
201531039349300443,590624458,South America,Research,110776,Check,N/A,N/A
201531039349300443,590624458,South America,Research,17300,Check,N/A,N/A
201531039349300443,590624458,South America,Research,17400,Wire Transfer,N/A,N/A
201531039349300443,590624458,South America,Research,28528,Wire Transfer,N/A,N/A
201531039349300443,590624458,South America,Research,98567,Wire Transfer,N/A,N/A
201531039349300443,590624458,South America,General Support,6015,Wire Transfer,N/A,N/A
201531039349300443,590624458,Sub-Saharan Africa,General Support,5000,Wire Transfer,N/A,N/A
201531039349300443,590624458,Sub-Saharan Africa,Research,100000,Wire Transfer,N/A,N/A
201531039349300443,590624458,Sub-Saharan Africa,Research,9991,Check,N/A,N/A
201531039349300443,590624458,Sub-Saharan Africa,Research,322422,Wire Transfer,N/A,N/A
201531039349300443,590624458,sub-Saharan Africa,Research,102533,Wire Transfer,N/A,N/A
201521219349300137,341018992,EAST ASIA AND THE PACIFIC,RESEARCH,89487,WIRE TRANSFER,0,N/A,N/A
201521219349300137,341018992,EAST ASIA AND THE PACIFIC,RESEARCH,40710,WIRE TRANSFER,0,N/A,N/A
201521219349300137,341018992,EAST ASIA AND THE PACIFIC,RESEARCH,98300,WIRE TRANSFER,0,N/A,N/A
201521219349300137,341018992,EAST ASIA AND THE PACIFIC,RESEARCH,294962,WIRE TRANSFER,0,N/A,N/A
201521219349300137,341018992,EAST ASIA AND THE PACIFIC,RESEARCH,163048,WIRE TRANSFER,0,N/A,N/A
201521219349300137,341018992,EAST ASIA AND THE PACIFIC,RESEARCH,7200,WIRE TRANSFER,0,N/A,N/A
201521219349300137,341018992,EAST ASIA AND THE PACIFIC,RESEARCH,58539,WIRE TRANSFER,0,N/A,N/A
201521219349300137,341018992,EAST ASIA AND THE PACIFIC,RESEARCH,5802,WIRE TRANSFER,0,N/A,N/A
201521219349300137,341018992,EAST ASIA AND THE PACIFIC,RESEARCH,9186,WIRE TRANSFER,0,N/A,N/A
201521219349300137,341018992,EAST ASIA AND THE PACIFIC,RESEARCH,458234,WIRE TRANSFER,0,N/A,N/A
201521219349300137,341018992,EUROPE (INCLUDING ICELAND AND GREENLAND),RESEARCH,6944,WIRE TRANSFER,0,N/A,N/A
201521219349300137,341018992,EUROPE (INCLUDING ICELAND AND GREENLAND),RESEARCH,716330,WIRE TRANSFER,0,N/A,N/A
