object_id,ein,FrgnCntryCd
201641279349301404,041958460,FR
201631309349300433,240795460,BD
201631309349300433,240795460,CJ
201600619349300505,344428219,GM
201601269349301310,741109620,FR
201611349349302486,042103558,GK
201630719349300903,480547702,CJ
201631349349307653,042103547,AS
201631349349307653,042103547,BE
201631349349307653,042103547,FR
201631349349307653,042103547,GM
201631349349307653,042103547,EI
201631349349307653,042103547,IT
201631349349307653,042103547,JA
201631349349307653,042103547,NZ
201631349349307653,042103547,NG
201631349349307653,042103547,SP
201611379349311021,362167921,UK
201611269349300336,420680344,OC
201631139349300028,590936101,GM
201631139349300028,590936101,SN
201611179349300316,310536715,CH
201621339349302607,042108376,UC
201621339349302862,250717890,CJ
201621059349301057,741159753,CJ
201621059349301057,741159753,CH
201621059349301057,741159753,SP
201621059349301057,741159753,UK
201611349349301871,150532081,CI
201611349349301871,150532081,CH
201611349349301871,150532081,FR
201611349349301871,150532081,IT
201611349349301871,150532081,SP
201611349349301871,150532081,TU
201611349349301871,150532081,UK
201621339349304757,350868125,GM
201621339349304757,350868125,UK
201611349349304241,237172306,OC
201611099349300811,710236897,UK
201611379349310576,060731360,UK
201611379349310576,060731360,CJ
201620689349300142,941156599,CJ
201601329349303660,141713034,GM
201621339349303557,410693970,IT
201620409349300827,526056979,FR
201600439349300235,430652675,CJ
201600439349300235,430652675,UK
201621379349300712,381550064,CJ
201621379349300712,381550064,BD
201641329349302024,236002304,UK
201641329349303199,160743140,HR
201600439349303290,941156617,ES
201600439349303290,941156617,UK
201631349349307318,150532082,AS
201631349349307318,150532082,FR
201631349349307318,150532082,HK
201631349349307318,150532082,IT
201631349349307318,150532082,LU
201631349349307318,150532082,NP
201631349349307318,150532082,QA
201631349349307318,150532082,UK
201600719349300405,986001062,AS
201600719349300405,986001062,BE
201600719349300405,986001062,BU
201600719349300405,986001062,CA
201600719349300405,986001062,CB
201600719349300405,986001062,CI
201600719349300405,986001062,EZ
201600719349300405,986001062,FR
201600719349300405,986001062,HU
201600719349300405,986001062,IN
201600719349300405,986001062,LO
201600719349300405,986001062,PE
201600719349300405,986001062,PK
201600719349300405,986001062,RI
201600719349300405,986001062,RS
201600719349300405,986001062,UK
201600719349300405,986001062,UP
201600719349300405,986001062,VM
201621309349301952,042103865,CJ
201610479349300811,362166962,CJ
201610479349300811,362166962,BD
201610479349300811,362166962,SW
201611379349307946,540946734,CJ
201601379349302080,383071514,CA
201601379349302080,383071514,GH
201601379349302080,383071514,HU
201640999349300864,941156628,CH
201640999349300864,941156628,RP
