object_id,ein,SpclRlMtOn3rdSprtTstInd,Orgnztn501cInd,Orgnztn501c3ExmptPFInd,TtCntrRcvdMr1000Ind,TtCntrRcvdUpT1000Ind,Orgnztn527Ind,Orgnztn49471NtPFInd,Orgnztn501c3TxblPFInd,Orgnztn49471TrtdPFInd,GnrlRlInd,TtlUndr1000CntrbtnsAmt
201703349349300500,510109178,-,-,-,-,-,-,-,-,-,-,-
201733179349302873,840166760,-,-,-,-,-,-,-,-,-,-,-
201733329349300768,750851900,-,-,-,-,-,-,-,-,-,-,-
201713189349304606,131740126,-,-,-,-,-,-,-,-,-,-,-
201713199349314361,112705352,-,-,-,-,-,-,-,-,-,-,-
201723149349303207,472237488,-,-,-,-,-,-,-,-,-,-,-
201723179349303037,141338428,-,-,-,-,-,-,-,-,-,-,-
201723179349303777,150532245,-,-,-,-,-,-,-,-,-,-,-
201713119349302906,340714650,-,-,-,-,-,-,-,-,-,-,-
201743129349303704,521266885,-,-,-,-,-,-,-,-,-,-,-
201743359349300434,231352001,-,-,-,-,-,-,-,-,-,-,-
201713199349307426,581581103,-,-,-,-,-,-,-,-,-,-,-
201743429349300619,410970173,-,-,-,-,-,-,-,-,-,-,-
201733389349300333,237360583,-,-,-,-,-,-,-,-,-,-,-
201733409349300858,610492351,-,-,-,-,-,-,-,-,-,-,-
201713199349317036,111631796,-,-,-,-,-,-,-,-,-,-,-
201703129349303405,750957351,-,-,-,-,-,-,-,-,-,-,-
201703119349302980,350886846,-,-,-,-,-,-,-,-,-,-,-
201713329349300326,580619030,-,-,-,-,-,-,-,-,-,-,-
201743199349313644,580073726,-,-,-,-,-,-,-,-,-,-,-
201743069349301814,042702102,-,-,-,-,-,-,-,-,-,-,-
201703119349302515,540129860,-,-,-,-,-,-,-,-,-,-,-
201703119349303165,362310478,-,-,-,-,-,-,-,-,-,-,-
201703049349300120,350715530,-,-,-,-,-,-,-,-,-,-,-
201723179349303902,540506331,-,-,-,-,-,-,-,-,-,-,-
201743199349301474,210634484,-,-,-,-,-,-,-,-,-,-,-
201703129349301355,222325405,-,-,-,-,-,-,-,-,-,-,-
201743199349304204,953797687,-,-,-,-,-,-,-,-,-,-,-
201703139349301520,370706154,-,-,-,-,-,-,-,-,-,-,-
201743429349300309,386080947,-,-,-,-,-,-,-,-,-,-,-
201723179349303177,141338413,-,-,-,-,-,-,-,-,-,-,-
201733459349301168,910654200,-,-,-,-,-,-,-,-,-,-,-
201703139349300605,340909974,-,-,-,-,-,-,-,-,-,-,-
201743059349301984,596605703,-,-,-,-,-,-,-,-,-,-,-
201800379349300210,042104775,-,-,-,-,-,-,-,-,-,-,-
201810239349300321,750959996,-,-,-,-,-,-,-,-,-,-,-
201820329349301602,660177776,-,-,-,-,-,-,-,-,-,-,-
201800399349300300,610444763,-,-,-,-,-,-,-,-,-,-,-
201733209349301023,260069167,-,-,-,-,-,-,-,-,-,-,-
201820089349300342,010211497,-,-,-,-,-,-,-,-,-,-,-
201810309349300611,951916051,-,-,-,-,-,-,-,-,-,-,-
201733529349300313,381619831,-,-,-,-,-,-,-,-,-,-,-
201840389349301209,132619665,-,-,-,-,-,-,-,-,-,-,-
201840389349301314,410693960,-,-,-,-,-,-,-,-,-,-,-
201800449349301720,951958142,-,-,-,-,-,-,-,-,-,-,-
201830309349300513,620476666,-,-,-,-,-,-,-,-,-,-,-
201800439349300340,391399196,-,-,-,-,-,-,-,-,-,-,-
201820099349301307,561388743,-,-,-,-,-,-,-,-,-,-,-
201800129349300520,383364284,-,-,-,-,-,-,-,-,-,-,-
201810239349300501,580644897,-,-,-,-,-,-,-,-,-,-,-
