object_id,ein,DrctrOfSccssrInd,EmplyOfSccssrInd,OwnrOfSccssrInd,RcvCmpnstnInd,AsstsDstrbtdInd,RqrdTNtfyAGInd,AttrnyGnrlNtfdInd,LbltsPdInd,BndsOtstndngInd,BndLbltsDschrgdInd,DrctrOfSccssr2Ind,EmplyOfSccssr2Ind,OwnrOfSccssr2Ind,RcvCmpnstn2Ind
202023299349300432,510581154,0,1,0,0,1,1,1,1,0,-,-,-,-,-
202100429349200300,454563243,false,false,false,false,false,false,-,false,false,-,-,-,-,-
202033299349300503,943477000,0,1,0,0,1,1,1,1,0,-,-,-,-,-
202111329349303741,860105586,0,0,0,0,1,0,0,0,0,-,0,0,0,0
202141339349305074,620544854,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202021979349303712,730685198,-,-,-,-,-,-,-,-,-,-,-,-,-,-
202041909349301649,352358696,-,-,-,-,-,-,-,-,-,-,1,1,0,0
202101009349200530,522441035,-,-,-,-,-,-,-,-,-,-,-,-,-,-
202130139349200343,205649821,-,-,-,-,true,true,true,true,false,-,-,-,-,-
202131379349303468,156019050,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202011979349300726,042452884,0,0,0,0,0,0,0,0,0,-,-,-,-,-
202121369349301457,562247203,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202023179349302877,391894395,-,-,-,-,-,-,-,-,-,-,false,false,false,false
202141319349302724,202834636,1,0,0,0,1,1,1,1,0,-,-,-,-,-
202033099349302398,237008276,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202031899349302083,930309970,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202111339349305271,464993761,1,0,0,0,1,0,0,0,0,-,-,-,-,-
202101249349301105,370864020,-,-,-,-,-,-,-,-,-,-,0,1,0,0
202121379349305807,061614887,0,0,0,0,1,0,0,1,0,-,-,-,-,-
202001369349303480,410854766,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202121379349304012,620475751,0,0,0,0,1,1,1,1,1,0,0,0,0,0
202101379349308420,042452884,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202033299349301103,943477005,0,1,0,0,1,1,1,1,0,-,-,-,-,-
202121329349304987,391596986,-,-,-,-,-,-,-,-,-,-,false,false,false,false
202101059349301665,370661217,0,0,0,0,1,1,1,1,1,1,-,-,-,-
202011829349300306,042104300,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202013569349300851,430764111,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202033189349305873,453247157,false,false,false,false,true,true,true,true,false,false,-,-,-,-
202130829349300018,475684669,false,false,false,false,false,false,-,true,false,-,false,-,false,false
202012559349300536,841123408,1,0,0,0,1,1,1,1,0,-,-,-,-,-
202110149349300326,930634049,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202120859349300227,452543410,-,-,-,-,-,-,-,-,-,-,false,false,false,false
202100859349301535,510174094,false,true,false,false,true,false,-,true,false,-,-,-,-,-
202131329349304293,462558352,0,0,0,0,1,0,0,1,0,-,-,-,-,-
202041969349201959,474856081,-,-,-,-,-,-,-,-,-,-,1,0,0,0
202121319349302797,362167921,-,-,-,-,-,-,-,-,-,-,0,0,0,0
