object_id,ein,GrntRcrdsMntndInd,SbttlOffcsCnt,SbttlEmplysCnt,SbttlSpntAmt,CntnttnTtlOffcCnt,CntnttnTtlOffcCnt,CntnttnTtlEmplyCnt,CntnttnTtlEmplyCnt,CntntnSpntAmt,TtlOffcCnt,TtlEmplyCnt,TtlSpntAmt,Ttl501c3OrgCnt,TtlOthrOrgCnt,TrnsfrTFrgnCrpInd,IntrstInFrgnTrstInd,FrgnCrpOwnrshpInd,PssvFrgnInvstmstCInd,FrgnPrtnrshpInd,BycttCntrsInd
201903199349311450,980149857,true,3,735,96455521,-,-,-,-,-,3,735,96455521,-,-,false,false,false,false,false,false
201912889349300246,344429091,-,-,-,3952157,-,-,-,-,-,-,-,3952157,-,-,true,false,true,true,true,false
201943529349300639,620481463,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0
201913519349300816,750827421,true,-,-,13596559,-,-,-,-,-,-,-,13596559,1,1,true,false,true,true,true,false
201912979349300626,631222148,0,12,0,153100,0,0,0,0,0,12,0,153100,-,-,0,0,0,0,0,0
202020979349300507,221487354,true,-,263,741913,-,-,19,19,27781780,-,282,28523693,-,-,true,false,true,true,true,true
202041979349305184,042103542,true,-,-,1185660812,-,-,-,-,16900,-,-,1185677712,-,-,true,false,true,true,true,true
202041979349307414,951664112,true,-,-,9051772,-,-,-,-,478920217,-,-,487971989,-,-,true,false,false,true,true,false
202031969349302723,580603153,1,0,0,349484,0,0,0,0,0,0,0,349484,-,-,0,0,0,0,0,0
202021929349302767,820200907,-,0,0,150279,0,0,0,0,0,0,0,150279,-,-,0,0,0,0,0,0
201912849349300401,381443369,-,1,1,21828,-,-,-,-,-,1,1,21828,-,-,false,false,false,false,false,false
202031019349301603,231937954,-,-,-,3611,-,-,-,-,-,-,-,3611,-,-,false,false,false,false,false,false
202041069349300824,160743040,true,2,223,65429028,-,-,20,20,270625,2,243,65699653,-,-,true,false,true,true,true,false
202041979349307769,824134296,-,-,-,-,-,-,-,-,-,0,1,25000,-,-,0,0,0,0,0,0
202020699349301007,042111203,1,-,-,-,-,-,-,-,-,0,16,5144438,3,1,1,0,0,1,1,0
202020319349300222,620485733,-,5,7,1916251,0,0,0,0,0,5,7,1916251,-,-,0,0,0,0,0,0
202042249349300309,980391928,-,1,9493,749582424,-,-,-,-,-,1,9493,749582424,-,-,false,false,true,false,false,false
202011689349300911,630312914,true,1,2,58158454,0,0,0,0,0,1,2,58158454,-,-,true,false,true,true,true,false
202001149349301525,951641455,-,0,0,56605050,0,0,0,0,0,0,0,56605050,-,-,1,0,0,1,1,0
202000799349300935,520705392,true,-,-,4984788,-,-,-,-,-,-,-,4984788,-,-,true,false,true,true,true,false
202010569349300701,560657294,-,0,0,84980,0,0,0,0,0,0,0,84980,-,-,0,0,0,0,0,0
201943579349300209,562476876,1,-,-,-,-,-,-,-,-,0,0,2500,-,-,0,0,0,0,0,0
202010079349300536,362216176,false,-,-,57238,-,-,-,-,-,-,-,57238,-,-,false,false,false,false,false,false
202041369349305314,951664123,-,0,0,128780836,0,0,0,0,0,0,0,128780836,-,-,1,0,1,0,1,0
202040949349300014,560556753,-,0,0,18855538,0,0,0,0,0,0,0,18855538,-,-,1,0,1,1,1,0
202000379349300105,131624158,-,0,0,944843305,0,0,0,0,131553,0,0,944974858,-,-,1,0,1,1,1,0
202010919349301701,952962604,-,0,0,4783468,0,0,0,0,0,0,0,4783468,-,-,1,0,1,1,0,0
202021489349300987,420703280,-,0,0,19275121,0,0,0,0,0,0,0,19275121,-,-,1,0,1,0,1,0
202010729349300726,840402707,-,-,125,260641,-,-,30,30,1006479,-,155,1267120,-,-,true,false,true,true,true,false
202041419349301764,941156566,-,0,0,77189597,0,0,0,0,0,0,0,77189597,-,-,true,false,true,true,true,false
202031369349303828,020274509,true,-,107,44013658,-,-,-,-,-,-,107,44013658,-,-,true,false,false,false,true,true
202040839349300359,410694747,-,0,0,238083999,0,0,0,0,2199755,0,0,240283754,-,-,1,0,0,1,1,0
202041359349301949,591023117,-,0,0,791623,0,0,0,0,0,0,0,791623,-,-,true,false,true,false,false,false
202011919349301236,131624067,-,-,-,344386663,-,-,-,-,-,-,-,344386663,-,-,true,false,true,true,true,false
202041979349301854,210634501,true,9,6798,9414211934,0,0,0,0,0,9,6798,9414211934,179,255,true,false,true,true,true,true
202010499349300046,381359083,true,-,-,88681,-,-,-,-,-,-,-,88681,-,-,false,false,false,false,false,false
201913199349319751,541954969,-,0,13,31016,0,0,0,0,0,0,13,31016,-,-,0,0,0,0,0,0
202021409349300347,362181973,-,0,0,11720792,0,0,0,0,0,0,0,11720792,-,-,true,false,true,false,true,false
202030159349300018,420698196,1,-,-,-,-,-,-,-,-,0,0,511773,-,-,0,0,0,0,0,0
201902959349300845,581418202,-,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0
201903179349302475,160743126,-,-,-,5402087,-,-,-,-,-,-,-,5402087,-,-,true,false,false,false,false,false
201903399349301020,237099472,true,1,10927,728690039,-,-,-,-,-,1,10927,728690039,1,-,false,false,false,false,false,false
202021959349303612,050258810,true,-,-,7362090,-,-,1,1,29089968,-,1,36452058,-,-,true,false,true,true,true,true
202001919349303150,951644048,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false
201923609349300112,452208063,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false
202020289349301607,596046500,false,1,13,105102,-,-,-,-,-,1,13,105102,-,-,false,false,false,false,false,false
202000079349302115,131916574,-,0,2,9669638,0,0,0,0,0,0,2,9669638,-,-,0,0,1,1,0,0
202020599349301402,956001907,-,1,8,780533,0,0,0,0,0,1,8,780533,-,-,0,0,0,0,0,0
202012269349301736,203467419,-,-,-,-,-,-,-,-,-,-,-,-,-,5,false,false,false,false,false,false
202030699349301008,986001141,1,-,-,-,-,-,-,-,-,1,16580,4226042000,103,4,0,0,0,0,0,0
202001429349300900,440545813,-,0,0,33145,0,0,0,0,0,0,0,33145,-,-,0,0,0,0,0,0
202041719349300524,381368367,1,0,0,21411,0,0,0,0,0,0,0,21411,-,-,0,0,0,0,0,0
202031689349300528,362593545,-,0,0,11056371,0,0,0,0,0,0,0,11056371,-,-,true,false,true,true,true,false
202000769349300545,350867954,1,0,0,81503,0,0,0,0,0,0,0,81503,-,-,0,0,0,0,0,0
202030429349300313,741400699,-,0,1,66847,0,0,0,0,0,0,1,66847,-,-,0,0,0,0,0,0
201933179349304883,420730347,-,0,0,11437543,0,0,0,0,0,0,0,11437543,-,-,1,0,0,1,1,0
202030489349300103,620535755,1,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0
202011059349300036,160755807,-,1,78,1361652,0,0,0,0,0,1,78,1361652,-,-,1,0,0,1,1,0
202001699349301000,390980974,1,0,0,192480,0,0,0,0,0,0,0,192480,-,-,0,0,0,0,0,0
202041609349301424,340714363,1,0,2,377412698,0,0,0,0,809611,0,2,378222309,-,-,1,0,1,1,1,1
202000339349300250,237032625,false,-,-,201644,-,-,-,-,-,-,-,201644,-,-,false,false,false,false,false,false
202020509349300927,390808497,1,0,0,4787318,0,0,0,0,2353696,0,0,7141014,-,-,0,0,0,0,0,0
202010429349300541,231352664,1,-,-,-,-,-,-,-,-,0,2,254184,-,-,1,0,0,1,1,0
202011269349302156,480547702,true,-,-,5539849,-,-,-,-,-,-,-,5539849,-,-,false,false,true,false,false,false
201903189349305390,461001797,true,-,-,-,-,-,-,-,-,-,-,-,-,7,false,false,false,false,false,false
202010989349300831,930386858,1,0,36,41310521,0,0,0,0,29985819,0,36,71296340,-,-,1,0,1,1,1,0
