object_id,ein,documentId,BndRfrncCd,PrcdrsCrrctvActnInd
202033039349301753,221821292,A,0
202121349349303522,042103552,IRS990ScheduleK,A,true
202121349349303522,042103552,IRS990ScheduleK,B,true
202121349349303522,042103552,IRS990ScheduleK,C,true
202121349349303522,042103552,IRS990ScheduleK,D,true
202001019349301400,340714818,A,1
202030769349301243,530196583,R000010,A,1
202030769349301243,530196583,R000010,B,1
202030769349301243,530196583,R000010,C,1
202030769349301243,530196583,R000010,D,1
202031959349303053,620476822,A,true
202031959349303053,620476822,B,true
202031959349303373,042103578,A,true
202031959349303373,042103578,B,true
202031959349303373,042103578,C,true
202041059349300414,420680404,A,true
202041059349300414,420680404,B,true
202001279349300320,580566116,A,1
202001279349300320,580566116,B,1
202003509349300130,470418641,A,0
202041969349300214,042103552,IRS990ScheduleK,A,true
202041969349300214,042103552,IRS990ScheduleK,B,true
202041969349300214,042103552,IRS990ScheduleK,C,true
202041969349300214,042103552,IRS990ScheduleK,D,true
202041969349301239,042103637,A,true
202041969349301239,042103637,B,true
202041969349301239,042103637,C,true
202111349349303906,560530005,A,1
202111349349303906,560530005,B,1
202021329349302097,250965601,A,1
202140699349301559,930461940,A,0
202111479349300326,720408946,A,1
202111479349300326,720408946,B,1
202121019349300307,231352674,RetDoc1053100001,A,1
202121019349300307,231352674,RetDoc1053100001,B,1
202121019349300307,231352674,RetDoc1053100001,C,1
202121019349300307,231352674,RetDoc1053100001,D,1
202100849349300305,231352620,R000010,A,1
202100849349300305,231352620,R000010,B,1
202100849349300305,231352620,R000010,C,1
202100849349300305,231352620,R000010,D,1
202100849349300905,591023117,A,true
202100849349300905,591023117,B,true
202100849349300905,591023117,C,true
202100849349300905,591023117,D,true
202021979349302142,060761704,A,true
202021979349302142,060761704,B,false
202013189349303356,710236867,A,1
202013189349303356,710236867,B,1
202041119349300514,430662529,A,true
202041119349300514,430662529,B,true
202001339349303270,951667177,A,1
202001339349303270,951667177,B,1
202140999349301114,520591661,A,true
202140999349301114,520591661,B,true
202140999349301114,520591661,C,true
202011969349305526,590668483,A,1
202011969349305526,590668483,B,1
202101339349305120,010211494,A,false
202101339349305120,010211494,B,false
202101339349305120,010211494,C,false
202031819349301673,460224600,A,0
202043189349304149,470724387,A,1
202041139349301229,630288878,A,false
202111279349301021,480543715,A,false
202111279349301021,480543715,B,true
202041969349302774,540505940,A,0
202031969349302758,381359081,A,1
202111049349301136,231352654,A,1
202111049349301136,231352654,B,1
202111049349300726,420680400,A,1
202111049349300726,420680400,B,1
202111049349301026,060653264,R000011,A,0
202111049349301026,060653264,R000011,B,0
202111049349301026,060653264,R000011,C,0
202111049349301026,060653264,R000011,D,0
202003239349301515,362169147,RetDoc1053100001,A,1
202003239349301515,362169147,RetDoc1053100001,B,1
202003239349301515,362169147,RetDoc1053100001,C,1
202003239349301515,362169147,RetDoc1053100001,D,1
202011299349301501,420680335,A,1
202011299349301501,420680335,B,1
202043379349300424,362310478,A,false
202002879349300805,381443369,A,true
202101329349304880,010211497,A,1
202110909349300531,570324906,A,1
202110909349300531,570324906,B,1
202131309349301523,362167773,A,true
202131309349301523,362167773,B,true
202131309349301523,362167773,C,true
202131329349304783,361408475,A,true
202111379349301906,132501829,A,0
202111379349301906,132501829,B,0
202111379349301906,132501829,C,0
202111379349303921,362169157,A,true
202111379349303921,362169157,B,true
202111379349303921,362169157,C,true
202111379349303921,362169157,D,true
202141339349301724,591083502,A,1
202141339349301724,591083502,B,1
202141339349301724,591083502,C,1
202041969349303414,041679980,IRS990ScheduleK,A,true
202041969349303414,041679980,IRS990ScheduleK,B,true
202041969349303414,041679980,IRS990ScheduleK,C,true
202041969349303414,041679980,IRS990ScheduleK,D,true
202121309349302407,362167048,RetDoc1053100001,A,1
202121309349302407,362167048,RetDoc1053100001,B,1
202121309349302407,362167048,RetDoc1053100001,C,1
202121309349302407,362167048,RetDoc1053100001,D,1
202031969349300013,041081650,IRS990ScheduleK,A,true
202031969349300013,041081650,IRS990ScheduleK,B,true
202031969349300013,041081650,IRS990ScheduleK,C,true
202031969349300013,041081650,IRS990ScheduleK,D,true
202141319349303834,340714363,A,1
202141319349303834,340714363,B,1
202101379349302530,042103578,A,true
202101379349302530,042103578,B,true
202002949349301345,221487322,A,true
202002949349301345,221487322,B,true
202111329349303671,344428219,A,true
202111319349302911,231352354,A,0
202141339349302799,951644035,A,1
202141339349302799,951644035,B,1
202041969349304299,560532296,A,true
202041969349304299,560532296,B,true
202041969349304299,560532296,C,true
202041969349304554,042105769,A,true
202121309349301552,141423161,A,1
202121309349301552,141423161,B,1
202141329349301349,350868149,A,true
202141329349301349,350868149,B,true
202141329349301349,350868149,C,true
202111329349300341,020222111,IRS990ScheduleK1,A,true
202111329349300341,020222111,IRS990ScheduleK1,B,true
202111329349300341,020222111,IRS990ScheduleK1,C,true
202111329349300341,020222111,IRS990ScheduleK1,D,true
202111379349307901,956002998,A,1
202041969349305454,381360586,A,1
202041969349305454,381360586,B,1
202131349349307773,590936101,IRS990ScheduleK,A,true
202131349349307773,590936101,IRS990ScheduleK,B,true
202131349349307773,590936101,IRS990ScheduleK,C,true
202131349349307773,590936101,IRS990ScheduleK,D,true
202041969349305854,042103629,RetDoc1053100001,A,1
202041969349305854,042103629,RetDoc1053100001,B,1
202041969349305854,042103629,RetDoc1053100001,C,1
202041969349305854,042103629,RetDoc1053100001,D,1
202011979349300006,237227990,A,1
202011979349300006,237227990,B,1
202011979349300006,237227990,C,1
202111379349302186,341695897,A,true
202101379349300770,610470593,A,0
