object_id,ein,NndscrmntryPlcyStmtInd,PlcyStmtInBrchrsEtcInd,PlcyPblczdVBrdcstMdInd,MntnRclCmpRcsInd,MntnSchlrshpsRcsInd,MntnCpyOfBrchrsEtcInd,MntnCpyOfAllSlInd,DscrmntRcStdntsRghtsInd,DscrmntRcAdmssPlcyInd,DscrmntRcEmplmFcltyInd,DscrmntRcSchsInd,DscrmntRcEdcPlcyInd,DscrmntRcUsOfFcltsInd,DscrmntRcAthltPrgInd,DscrmntRcOthrActyInd,GvrnmntFnnclAdRcvdInd,GvrnmntFnnclAdRvkdInd,CmplncWthRvPrc7550Ind
201542269349301474,650000627,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,true
201532279349300813,592548486,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201530129349300863,410695509,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510159349300611,042105776,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510159349301406,350867954,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510099349301501,592139553,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500149349300810,560530240,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500129349300710,131916574,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530129349300133,620475751,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540149349301429,943116985,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201520099349300747,330606003,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201520139349301112,370661231,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201540099349301174,750859801,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510099349301271,560547478,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500129349301310,390806297,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510159349300311,420707124,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520149349301257,560532303,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520149349301262,620518288,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510129349300731,620548913,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520129349301462,710239383,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530149349300748,370661217,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500089349300400,610444825,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500139349300035,560554199,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520129349301107,240795495,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540219349300119,610444671,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510209349300866,860671074,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201500219349300605,420698196,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500169349300030,042720310,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510139349301301,042596491,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201500129349300125,582533742,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201520229349300902,131740285,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510199349300201,020309681,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201540209349300429,980426561,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201530219349300203,133800725,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201530219349300213,391201561,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530219349300503,381977050,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201520169349300027,362216176,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201530229349300913,381393841,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520169349300922,480623882,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201530139349301413,480914282,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201540229349301114,650621012,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520099349301152,310970262,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520099349301257,460224589,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500219349300245,610444788,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500129349301275,382333042,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201520299349300737,510175975,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520299349300007,430653369,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520239349300007,951716809,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530299349300113,541251090,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
201530299349300718,452459482,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520239349300722,430655867,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510269349200606,464091111,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201500239349300505,800477644,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520279349300217,440545280,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500239349300105,952592468,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201500239349300145,460229820,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201530269349300908,912037146,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540239349300839,111733439,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500289349301350,042325504,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520289349300407,941021164,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510239349300106,363005527,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500359349300125,131632522,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500309349301800,042111203,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520369349300042,231608264,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201540339349300639,942401323,true,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201500279349200200,830459992,true,true,true,true,true,true,true,-,-,-,-,-,-,-,-,true,-,true
201510309349300546,340868798,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500349349300965,910473310,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530369349300718,362181973,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201500309349300205,350845258,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510369349301501,930309970,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500349349300345,742599785,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500349349300510,310544271,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500339349300905,233069199,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201500339349300705,470377991,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500339349300735,250912618,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510359349300401,030213180,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201530309349301008,231382408,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201530309349301108,420680351,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530309349301318,620479365,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530309349301658,381369604,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510339349300726,161476258,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520419349301407,150533545,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500409349300625,860294012,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520419349301982,540505922,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530409349300408,420772559,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520419349300217,340714629,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201530439349302343,930845182,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500439349302555,364479457,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520439349301372,510413351,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
201540429349301964,010271210,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540429349301289,231352652,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530429349300843,930461940,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530429349301023,440545271,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530429349301108,237373765,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510429349301656,721226741,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510429349301836,043349703,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530439349301208,440545286,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540429349301729,061013935,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201510409349300646,370864020,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530409349300913,310536647,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530379349301253,470378777,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530419349301803,042104778,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530439349301003,640303805,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201530439349301108,560657294,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510419349300416,440545914,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530429349301473,941585735,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500439349301035,042104258,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510409349300126,237032625,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540409349300919,911559533,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201500439349301630,660379122,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201500409349301105,952882724,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520419349300632,660350945,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510429349300816,042103701,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530439349301688,590949880,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201530439349301828,150532239,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540419349301529,231352236,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520379349301037,941698615,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201500409349301010,233102135,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201510379349300531,836007943,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201520429349300812,620484185,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540379349301234,620570060,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520439349301002,930634049,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510419349301561,341226547,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510439349300711,390806263,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
201500429349301255,440556862,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201540439349301559,951644048,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520409349300407,980072997,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201530419349300023,470376525,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520409349300862,391024723,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510379349301001,237067667,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520429349300032,430652675,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201530419349300438,135647700,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500419349300505,591237047,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510439349301791,956001907,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201520419349301562,540505892,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540409349301259,581438873,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510409349300951,362177133,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530429349300323,382410852,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500409349300435,540505945,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530439349302123,591146751,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500409349300005,030179299,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520379349301252,381374230,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201510419349301001,820200906,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500439349302020,131628149,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520429349301992,770342669,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201500419349301715,390477970,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500439349300400,860949264,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201510439349301551,261221063,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520429349301712,630288850,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500379349301315,530199507,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500419349301300,540575812,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1
201500419349301315,610445823,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500439349300100,951744369,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510439349301681,204734568,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1
201520409349301312,221912028,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520479349301397,620550981,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201540459349300014,560529982,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540449349301939,941312349,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530509349300018,620475690,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510459349300701,042152671,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510479349302316,950549600,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201530479349301653,750917417,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,true,true
201510479349301931,760057699,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520479349301632,570314374,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510449349302496,530196640,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530479349301393,362593545,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201530459349300613,030179419,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201540449349301824,620502739,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540499349300029,941156485,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530479349301843,570314408,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530479349301933,351148835,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520449349302667,431007642,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510479349301421,941156617,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201530449349302668,430610813,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540449349302909,480547846,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201510479349301641,391894395,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520449349302342,430356250,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520449349302387,370661227,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500489349301365,610444763,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540449349301184,750827409,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201530489349300713,620483210,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201540489349300814,270725461,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1
201530449349300408,620488046,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500569349300300,540505977,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201530449349301713,540506306,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520559349300512,131740469,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500559349300700,660362666,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500479349200400,271823146,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201520449349301512,043250289,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201530479349300633,300639724,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201530489349302063,630328640,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201530489349302068,310971599,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201500449349301160,160743126,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510449349300026,141468399,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201540449349301429,410747165,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520449349301697,741180151,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
201520489349302187,620814498,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201520449349300407,231433899,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201520489349302232,931022351,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201510519349300311,480543736,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500449349301620,381624684,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520489349300717,860711495,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201530449349301608,314379435,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201500479349301110,846024048,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
201540579349300229,730774245,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201540579349300304,344428219,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201520449349200817,237395606,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201500559349300515,420680466,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
