object_id,ein,GrntRcrdsMntndInd,SbttlOffcsCnt,SbttlEmplysCnt,SbttlSpntAmt,CntnttnTtlOffcCnt,CntnttnTtlOffcCnt,CntnttnTtlEmplyCnt,CntnttnTtlEmplyCnt,CntntnSpntAmt,TtlOffcCnt,TtlEmplyCnt,TtlSpntAmt,Ttl501c3OrgCnt,TtlOthrOrgCnt,TrnsfrTFrgnCrpInd,IntrstInFrgnTrstInd,FrgnCrpOwnrshpInd,PssvFrgnInvstmstCInd,FrgnPrtnrshpInd,BycttCntrsInd
202121349349303522,042103552,true,-,-,5251524,-,-,-,-,414417850,-,-,419669374,-,-,true,false,true,true,true,false
202001019349301400,340714818,1,1,22,6687187,0,0,0,0,16815445,1,22,23502632,1,0,1,0,1,1,1,0
202030769349301243,530196583,1,-,-,-,-,-,-,-,-,1,34,3145593,1,0,1,0,1,1,0,0
202031959349303053,620476822,true,0,29,834951617,2,2,1986,1986,5113687,2,2015,840065304,15,8,true,false,true,true,true,false
202031959349303373,042103578,true,1,1,247234268,-,-,-,-,4616907,1,1,251851175,-,-,true,false,true,true,true,true
202041059349300924,363005527,-,0,3,38927,0,0,0,0,0,0,3,38927,-,-,0,0,0,0,0,0
202041969349300214,042103552,true,-,-,293558048,-,-,-,-,4852395,-,-,298410443,-,-,true,false,true,true,true,false
202041969349300229,042104230,true,-,-,96655,-,-,-,-,-,-,-,96655,3,-,false,false,false,false,false,true
202041969349301239,042103637,true,2,12,474033747,1,1,6,6,4142224,3,18,478175971,-,-,true,false,true,true,true,false
202021329349302097,250965601,1,0,0,1206167,0,0,0,0,27211519,0,0,28417686,-,-,1,0,0,1,1,0
202021329349302117,540506306,-,0,0,1666096,0,0,0,0,0,0,0,1666096,-,-,1,0,0,1,1,0
202111479349300326,720408946,-,-,-,-,-,-,-,-,-,0,1,146278,-,-,0,0,0,0,0,0
202121019349300307,231352674,-,0,0,853130,0,0,0,0,0,0,0,853130,-,-,1,0,1,0,1,0
202100849349300305,231352620,1,-,-,-,-,-,-,-,-,12,65,27651000,-,-,0,0,0,0,0,0
202100849349300905,591023117,-,0,0,743038,0,0,0,0,0,0,0,743038,-,-,true,false,true,false,false,false
202023309349300032,650216638,true,5,399,11941026,-,-,-,-,-,5,399,11941026,-,-,false,false,false,false,false,false
202021979349302142,060761704,true,2,36,8945175,-,-,-,-,-,2,36,8945175,-,-,false,false,false,false,false,true
202031779349301703,131632522,-,0,0,4168784,0,0,0,0,0,0,0,4168784,-,-,0,0,1,0,0,0
202041119349300514,430662529,true,9,263,13503478,-,-,-,-,-,9,263,13503478,-,-,true,false,true,true,false,false
202001339349303270,951667177,-,0,0,56899350,0,0,0,0,0,0,0,56899350,-,-,1,0,1,1,1,0
202140999349301114,520591661,true,-,678,18849162,-,-,-,-,-,-,678,18849162,-,-,true,false,true,true,true,false
202131379349308773,060646936,0,0,0,5894366,0,0,0,0,641515,0,0,6535881,-,-,0,0,0,0,0,1
