object_id,ein,TxImpsdAmt,TxRmbrsdAmt,TtlBlncDAmt
201612439349300026,042964630,-,-,-
201612449349300216,204212837,-,-,71000
201632529349300833,201811745,-,-,-
201632519349301153,364592698,-,-,13100
201602399349300900,631063961,-,-,-
201602439349300045,454436148,-,-,85000
201602449349301090,830389694,-,-,-
201602459349300345,272865980,-,-,-
201641599349300219,222762623,-,-,-
201622109349300627,860796748,-,-,-
201612569349200726,462845792,-,-,13284
201602259349303350,131635294,-,-,-
201632229349302013,954703838,-,-,-
201642229349300884,237175375,-,-,-
201642169349301589,943173571,-,-,8700
201632169349300528,260615175,-,-,-
201642289349203804,462831609,-,-,10000
201642289349201074,061298954,-,-,21816
201602589349200520,208711934,-,-,11797
201612259349302576,912187143,-,-,-
201602079349300950,260847220,-,-,-
201612259349301956,016048322,-,-,161374
201602259349301840,300126510,-,-,-
201602259349302660,411606979,-,-,22000
201622249349303002,300027036,-,-,-
201622229349301197,540445205,-,-,-
201622239349301852,043372500,-,-,-
201632289349306638,841559406,-,-,135573
201642249349301549,237088770,-,-,60000
201642229349300839,571192504,-,-,-
201642249349300729,264008029,-,-,-
201642229349301324,352100501,-,-,-
201642229349301054,200069906,-,-,-
201602569349300315,043119557,-,-,-
201602579349300315,274279738,-,-,-
201602569349300110,520986261,-,-,92648
201602569349301265,951725190,-,-,-
201612349349200251,541186437,-,-,301807
201612369349300001,364070694,-,-,107000
201612369349300011,226074979,-,-,-
201612369349300611,450514840,-,-,-
201612389349300001,200685300,-,-,-
201612389349300631,454720014,-,-,-
201642449349300544,912025454,-,-,500000
201642509349300219,391438843,-,-,-
201642469349300624,270152494,-,-,-
201612389349300816,943205114,-,-,-
