object_id,ein,SttsWhrGmngCndctdCd
201403469349300145,596046500,FL
201441509349300029,954003255,CA
201433169349304513,381357020,MI
201423029349300442,340714585,OH
201433189349302143,810231777,MT
201443159349303059,250965576,PA
201403179349302875,610444780,KY
201422139349301142,208991580,IL
object_id,ein,SttsWhrGmngCndctdCd
201403469349300145,596046500,FL
201441509349300029,954003255,CA
201433169349304513,381357020,MI
201423029349300442,340714585,OH
201433189349302143,810231777,MT
201443159349303059,250965576,PA
201403179349302875,610444780,KY
201422139349301142,208991580,IL
