object_id,ein,DrctrOfSccssrInd,EmplyOfSccssrInd,OwnrOfSccssrInd,RcvCmpnstnInd,AsstsDstrbtdInd,RqrdTNtfyAGInd,AttrnyGnrlNtfdInd,LbltsPdInd,BndsOtstndngInd,BndLbltsDschrgdInd,DrctrOfSccssr2Ind,EmplyOfSccssr2Ind,OwnrOfSccssr2Ind,RcvCmpnstn2Ind
201622519349301112,756064033,true,false,false,false,true,true,true,true,false,false,-,-,-,-
201643199349201439,363447685,0,0,0,0,1,1,1,1,0,-,-,-,-,-
201612959349300701,208757406,0,0,0,0,0,0,0,0,0,-,-,-,-,-
201642579349300429,200258004,1,1,0,1,1,1,1,0,1,0,-,-,-,-
201602779349300310,451732585,false,false,false,false,true,true,true,true,false,-,-,-,-,-
201602779349300030,742226269,0,0,0,0,0,0,0,0,0,-,-,-,-,-
201643199349303609,470489031,1,0,0,0,1,1,1,1,0,-,-,-,-,-
201643199349300934,341479317,-,-,-,-,-,-,-,-,-,-,false,false,false,false
201710139349301306,010388637,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201720469349302672,042720310,0,0,0,0,1,1,1,1,0,-,-,-,-,-
201700459349200720,463232848,1,0,0,0,0,0,0,0,0,-,-,-,-,-
201740469349200804,391146331,false,false,false,false,true,false,false,true,false,false,-,-,-,-
201741359349313769,273739336,1,0,0,0,0,1,1,1,0,-,-,-,-,-
201741329349302334,383589120,0,0,0,0,1,1,1,1,0,-,-,-,-,-
201721089349300637,042126597,1,1,0,0,1,1,1,1,1,1,-,-,-,-
201731089349200708,455476484,0,0,0,0,0,0,0,0,0,-,-,-,-,-
201710759349300716,111802808,true,false,false,false,true,true,true,true,false,false,-,-,-,-
201740459349301474,560530003,-,-,-,-,-,-,-,-,-,-,true,false,false,false
201731329349302058,131624225,-,-,-,-,-,-,-,-,-,-,true,true,false,false
201701329349306895,880190091,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201741359349304579,741339050,-,-,-,-,-,-,-,-,-,-,false,false,false,false
201711959349300831,900790361,-,-,-,-,-,-,-,-,-,-,false,false,false,false
201702759349301060,383064555,0,0,0,0,1,1,1,1,0,-,-,-,-,-
201733049349302013,540505972,-,-,-,-,-,-,-,-,-,-,0,0,0,0
