object_id,ein,GrntRcrdsMntndInd,SbttlOffcsCnt,SbttlEmplysCnt,SbttlSpntAmt,CntnttnTtlOffcCnt,CntnttnTtlOffcCnt,CntnttnTtlEmplyCnt,CntnttnTtlEmplyCnt,CntntnSpntAmt,TtlOffcCnt,TtlEmplyCnt,TtlSpntAmt,Ttl501c3OrgCnt,TtlOthrOrgCnt,TrnsfrTFrgnCrpInd,IntrstInFrgnTrstInd,FrgnCrpOwnrshpInd,PssvFrgnInvstmstCInd,FrgnPrtnrshpInd,BycttCntrsInd
201810389349300641,350868127,1,-,-,-,-,-,-,-,-,0,0,2027197,-,-,0,0,0,0,0,0
201810459349301626,610444650,true,0,0,183847496,0,0,0,0,0,0,0,183847496,-,-,true,false,true,true,true,false
201830449349300723,530199507,-,-,-,39372094,-,-,-,-,-,-,-,39372094,-,-,true,false,true,true,true,false
201743549349300414,750827421,true,-,-,14497356,-,-,-,-,-,-,-,14497356,-,-,true,false,true,true,true,false
201722869349300927,440552049,-,1,3,302854,-,-,-,-,-,1,3,302854,-,-,false,false,false,false,false,false
201820369349300447,150532239,1,-,-,-,-,-,-,-,-,4,22,2637469,-,-,1,0,0,1,1,0
201810379349301191,730579264,-,0,0,244101,0,0,0,0,0,0,0,244101,-,-,0,0,0,0,0,0
201800449349301825,390806154,1,0,0,280152,0,0,0,0,0,0,0,280152,-,-,0,0,0,0,0,0
201810449349301386,203467419,-,-,-,-,-,-,-,-,-,-,-,-,-,3,false,false,false,false,false,false
201840449349300234,042152671,-,0,4,137487,0,0,0,0,0,0,4,137487,-,-,0,0,0,0,0,0
201820439349300202,042104258,1,-,-,-,-,-,-,-,-,1,20,5932816,-,-,0,0,0,0,0,0
201713499349300606,237069575,1,-,-,-,-,-,-,-,-,1,10089,697434481,224,0,0,0,0,0,0,0
201703549349300400,237099472,true,1,10425,643318808,-,-,-,-,-,1,10425,643318808,1,-,false,false,false,false,false,false
201830119349301263,952113260,-,0,0,40626,0,0,0,0,0,0,0,40626,-,-,0,0,0,0,0,0
201820119349301017,381498763,true,-,5,1969935,-,-,-,-,-,-,5,1969935,-,-,false,false,true,false,false,true
201743499349301509,980042539,1,-,-,-,-,-,-,-,-,1,4213,266061101,0,0,0,0,0,0,0,0
201840459349301189,222586208,-,-,-,-,-,-,-,-,-,0,0,139441,-,-,0,0,0,0,0,0
201830169349300628,560532303,-,0,0,7371652,0,0,0,0,0,0,0,7371652,-,-,true,false,false,false,false,false
201820369349300712,480547702,true,-,-,2504615,-,-,-,-,-,-,-,2504615,-,-,false,false,false,false,false,false
201713119349302721,420681049,-,0,0,2419259,0,0,0,0,0,0,0,2419259,-,-,1,0,0,0,1,0
201830449349301708,951744369,1,1,0,1705499,0,0,0,0,0,1,0,1705499,2,0,0,0,1,0,0,0
201810379349300811,160743989,-,0,429,153050,0,0,0,0,0,0,429,153050,-,-,0,0,0,0,0,0
201840379349300034,430653369,-,-,-,6638263,-,-,-,-,-,-,-,6638263,-,-,true,false,true,true,true,false
201800449349301385,591237047,true,-,-,1356711,-,-,-,-,-,-,-,1356711,-,-,false,false,false,false,false,false
201800249349301300,420680466,-,0,0,15209781,0,0,0,0,0,0,0,15209781,-,-,1,0,0,1,1,0
201820129349300117,410695509,1,0,0,73330,0,0,0,0,331371,0,0,404701,-,-,0,0,0,0,0,0
201742839349301309,350868181,-,1,2,1190786,0,0,0,0,0,1,2,1190786,-,-,0,0,0,0,0,0
201713189349305806,251065148,0,0,2,759146,0,0,0,0,0,0,2,759146,-,-,0,0,0,0,0,0
