object_id,ein,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
201510159349300311,420707124,Electric Innovations,2300 7th St,Sioux City,IA,51105,IT/Network Consulting,363057
201510159349300311,420707124,Arthur J Gallagher Risk Mgmt Svc,39746 Treasury Center,Chicago,IL,60694,Insurance,191724
201520149349301257,560532303,ROBERT AM STERN ARCHITECTS,460 WEST 34TH STREET,NEW YORK,NY,10001,ARCHITECT,1250885
201520149349301257,560532303,SOUTHSIDE BUILDERS,3027 ISLEY DRIVE,SNOW CAMP,NC,27349,CONSTRUCTION CONTRACTOR,678914
201520149349301257,560532303,LAKELAND TOURS LLC,218 WEST WATER STREET STE 400,CHARLOTTESVILLE,VA,22902,TRAVEL AGENT,483133
201520149349301257,560532303,SPILLMAN FARMER ARCHITECTS,1720 SPILLMAN DRIVE 200,BETHLEHEM,PA,18015,ARCHITECT,283687
201520149349301257,560532303,WOMBLE CARLYLE,150 FAYETTEVILLE STREET 2100,RALEIGH,NC,27601,ATTORNEY,179568
201520129349301462,710239383,ERWIN & COMPANY,6311 RANCH DRIVE,LITTLE ROCK,AR,72223,AUDIT,104750
201500089349300400,610444825,Sodexo,16415 Northcross Drive Suite B,Huntersville,NC,28078,food service provider,2468706
201500089349300400,610444825,Randy Walker Electric,601 Lagonda Avenue,Lexington,KY,40505,Electrical contractor,516256
201500089349300400,610444825,Davis & Plomin Inc,949 Contract,Lexington,KY,40505,Architects,505131
201500089349300400,610444825,Kiefer Specialty Flooring Inc,2910 Falling Waters Blvd,Lindenhurst,IL,60046,Flooring contractor,423320
201500089349300400,610444825,Bluegrass Contracting Corporation,1075 Red Mile Road,Lexington,KY,40504,Building Contractor,389606
201500139349300035,560554199,PIONEER SCHOOL CATERERS INC,303 GLENROSE AVENUE,NASHVILLE,TN,37210,FOOD SERVICE,1819307
201500139349300035,560554199,ROSE BROTHERS PAVING CO INC,PO BOX 806,AHOSKIE,NC,27910,PAVING,917535
201500139349300035,560554199,B&M CONTRACTORS INC,790 PITTS CHAPEL RD,ELIZABETH CITY,NC,27909,CONTRACTOR,821885
201500139349300035,560554199,DAVID DRYE CONTRUCTION COMPANY,175 DAVIDSON HWY,CONCORD,NC,28027,STUDENT HOUSING CONSTRUCTION,572837
201500139349300035,560554199,PRECISION WALLS INC,104 STATON COURT,GREENVILLE,NC,27834,CONTRACTOR,487267
201520129349301107,240795495,ARAMARK,C/O UNIVERSITY OF SCRANTON,SCRANTON,PA,18510,FOOD SERVICE PROVIDER,11247261
201520129349301107,240795495,TIAA-CREFF,PO BOX 1259,CHARLOTTE,NC,28201,PENSION PLAN PROVIDER,5946096
201520129349301107,240795495,THE QUANDEL GROUP INC,4755 LINGESTOWN ROAD,HARRISBURG,PA,17112,GENERAL CONTRACTOR,2876493
201520129349301107,240795495,HEMMLER & CAMAYD ARTHITECTS,409 LACKAWANNA AVE,SCRANTON,PA,18503,ARCHITECT,1978005
201520129349301107,240795495,PETTINATO & MERCANTI CONSTRUCTON CO,723 S STATE STREET,CLARKS SUMMIT,PA,18411,CONSTRUCTION CONTRACTOR,681243
201540219349300119,610444671,SODEXO INC AFFILIATES,PO BOX 70060,CHICAGO,IL,60673,FOOD SERVICE,3390217
201540219349300119,610444671,MCCOY CONSTRUCTION CO INC,101 THOROUGHBRED DR,DANVILLE,KY,40422,CONTRACTOR,697960
201540219349300119,610444671,BAIN CAPITAL,200 CLARENDON STREET FL 41,BOSTON,MA,021165016,INVESTMENT MANAGEMENT,444460
201540219349300119,610444671,RICOH USA INC,PO BOX 534777,ATLANTA,GA,30353,PRINTING CENTER & SOLUTIONS,341201
201540219349300119,610444671,EBSCO,PO BOX 830625,BIRMINGHAM,AL,35283,LIBRARY SUBSCRIPTION SERVICES,244825
201520229349300902,131740285,Eric T Galbreath,7650 E Linden Street,Tucson,AZ,85715,Graphic Design,115931
201520229349300902,131740285,Lori Kupfer,60 Sutton Place South 3GS,New York,NY,10022,Architect,127179
